benchmark_population,run_id,repeat,fold,role,partition,row_count,keyhole_count,non_keyhole_count,keyhole_fraction
primary_common,primary_common__r01_f03,1,3,untouched_test,old-data-local,38,0,38,0.0
primary_common,primary_common__r01_f03,1,3,untouched_test,old-data-remote-clean,11,0,11,0.0
primary_common,primary_common__r01_f03,1,3,untouched_test,all,81,14,67,0.1728395061728395
primary_common,primary_common__r01_f04,1,4,training_pool,new-data,133,52,81,0.39097744360902253
primary_common,primary_common__r01_f04,1,4,training_pool,old-data-local,144,5,139,0.034722222222222224
primary_common,primary_common__r01_f04,1,4,training_pool,old-data-remote-clean,47,2,45,0.0425531914893617
primary_common,primary_common__r01_f04,1,4,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r01_f04,1,4,untouched_test,new-data,31,11,20,0.3548387096774194
primary_common,primary_common__r01_f04,1,4,untouched_test,old-data-local,34,3,31,0.08823529411764706
primary_common,primary_common__r01_f04,1,4,untouched_test,old-data-remote-clean,16,0,16,0.0
primary_common,primary_common__r01_f04,1,4,untouched_test,all,81,14,67,0.1728395061728395
primary_common,primary_common__r01_f05,1,5,training_pool,new-data,127,51,76,0.4015748031496063
primary_common,primary_common__r01_f05,1,5,training_pool,old-data-local,151,6,145,0.039735099337748346
primary_common,primary_common__r01_f05,1,5,training_pool,old-data-remote-clean,46,1,45,0.021739130434782608
primary_common,primary_common__r01_f05,1,5,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r01_f05,1,5,untouched_test,new-data,37,12,25,0.32432432432432434
primary_common,primary_common__r01_f05,1,5,untouched_test,old-data-local,27,2,25,0.07407407407407407
primary_common,primary_common__r01_f05,1,5,untouched_test,old-data-remote-clean,17,1,16,0.058823529411764705
primary_common,primary_common__r01_f05,1,5,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r02_f01,2,1,training_pool,new-data,125,49,76,0.392
primary_common,primary_common__r02_f01,2,1,training_pool,old-data-local,147,8,139,0.05442176870748299
primary_common,primary_common__r02_f01,2,1,training_pool,old-data-remote-clean,52,1,51,0.019230769230769232
primary_common,primary_common__r02_f01,2,1,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r02_f01,2,1,untouched_test,new-data,39,14,25,0.358974358974359
primary_common,primary_common__r02_f01,2,1,untouched_test,old-data-local,31,0,31,0.0
primary_common,primary_common__r02_f01,2,1,untouched_test,old-data-remote-clean,11,1,10,0.09090909090909091
primary_common,primary_common__r02_f01,2,1,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r02_f02,2,2,training_pool,new-data,138,51,87,0.3695652173913043
primary_common,primary_common__r02_f02,2,2,training_pool,old-data-local,139,6,133,0.04316546762589928
primary_common,primary_common__r02_f02,2,2,training_pool,old-data-remote-clean,47,2,45,0.0425531914893617
primary_common,primary_common__r02_f02,2,2,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r02_f02,2,2,untouched_test,new-data,26,12,14,0.46153846153846156
primary_common,primary_common__r02_f02,2,2,untouched_test,old-data-local,39,2,37,0.05128205128205128
primary_common,primary_common__r02_f02,2,2,untouched_test,old-data-remote-clean,16,0,16,0.0
primary_common,primary_common__r02_f02,2,2,untouched_test,all,81,14,67,0.1728395061728395
primary_common,primary_common__r02_f03,2,3,training_pool,new-data,134,52,82,0.3880597014925373
primary_common,primary_common__r02_f03,2,3,training_pool,old-data-local,140,6,134,0.04285714285714286
primary_common,primary_common__r02_f03,2,3,training_pool,old-data-remote-clean,50,1,49,0.02
primary_common,primary_common__r02_f03,2,3,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r02_f03,2,3,untouched_test,new-data,30,11,19,0.36666666666666664
primary_common,primary_common__r02_f03,2,3,untouched_test,old-data-local,38,2,36,0.05263157894736842
primary_common,primary_common__r02_f03,2,3,untouched_test,old-data-remote-clean,13,1,12,0.07692307692307693
primary_common,primary_common__r02_f03,2,3,untouched_test,all,81,14,67,0.1728395061728395
primary_common,primary_common__r02_f04,2,4,training_pool,new-data,127,50,77,0.3937007874015748
primary_common,primary_common__r02_f04,2,4,training_pool,old-data-local,147,6,141,0.04081632653061224
primary_common,primary_common__r02_f04,2,4,training_pool,old-data-remote-clean,50,2,48,0.04
primary_common,primary_common__r02_f04,2,4,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r02_f04,2,4,untouched_test,new-data,37,13,24,0.35135135135135137
primary_common,primary_common__r02_f04,2,4,untouched_test,old-data-local,31,2,29,0.06451612903225806
primary_common,primary_common__r02_f04,2,4,untouched_test,old-data-remote-clean,13,0,13,0.0
primary_common,primary_common__r02_f04,2,4,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r02_f05,2,5,training_pool,new-data,132,50,82,0.3787878787878788
primary_common,primary_common__r02_f05,2,5,training_pool,old-data-local,139,6,133,0.04316546762589928
primary_common,primary_common__r02_f05,2,5,training_pool,old-data-remote-clean,53,2,51,0.03773584905660377
primary_common,primary_common__r02_f05,2,5,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r02_f05,2,5,untouched_test,new-data,32,13,19,0.40625
primary_common,primary_common__r02_f05,2,5,untouched_test,old-data-local,39,2,37,0.05128205128205128
primary_common,primary_common__r02_f05,2,5,untouched_test,old-data-remote-clean,10,0,10,0.0
primary_common,primary_common__r02_f05,2,5,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r03_f01,3,1,training_pool,new-data,123,51,72,0.4146341463414634
primary_common,primary_common__r03_f01,3,1,training_pool,old-data-local,148,5,143,0.033783783783783786
primary_common,primary_common__r03_f01,3,1,training_pool,old-data-remote-clean,53,2,51,0.03773584905660377
primary_common,primary_common__r03_f01,3,1,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r03_f01,3,1,untouched_test,new-data,41,12,29,0.2926829268292683
primary_common,primary_common__r03_f01,3,1,untouched_test,old-data-local,30,3,27,0.1
primary_common,primary_common__r03_f01,3,1,untouched_test,old-data-remote-clean,10,0,10,0.0
primary_common,primary_common__r03_f01,3,1,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r03_f02,3,2,training_pool,new-data,133,50,83,0.37593984962406013
primary_common,primary_common__r03_f02,3,2,training_pool,old-data-local,142,8,134,0.056338028169014086
primary_common,primary_common__r03_f02,3,2,training_pool,old-data-remote-clean,49,1,48,0.02040816326530612
primary_common,primary_common__r03_f02,3,2,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r03_f02,3,2,untouched_test,new-data,31,13,18,0.41935483870967744
primary_common,primary_common__r03_f02,3,2,untouched_test,old-data-local,36,0,36,0.0
primary_common,primary_common__r03_f02,3,2,untouched_test,old-data-remote-clean,14,1,13,0.07142857142857142
primary_common,primary_common__r03_f02,3,2,untouched_test,all,81,14,67,0.1728395061728395
primary_common,primary_common__r03_f03,3,3,training_pool,new-data,137,54,83,0.39416058394160586
primary_common,primary_common__r03_f03,3,3,training_pool,old-data-local,139,4,135,0.02877697841726619
primary_common,primary_common__r03_f03,3,3,training_pool,old-data-remote-clean,48,1,47,0.020833333333333332
primary_common,primary_common__r03_f03,3,3,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r03_f03,3,3,untouched_test,new-data,27,9,18,0.3333333333333333
primary_common,primary_common__r03_f03,3,3,untouched_test,old-data-local,39,4,35,0.10256410256410256
primary_common,primary_common__r03_f03,3,3,untouched_test,old-data-remote-clean,15,1,14,0.06666666666666667
primary_common,primary_common__r03_f03,3,3,untouched_test,all,81,14,67,0.1728395061728395
primary_common,primary_common__r03_f04,3,4,training_pool,new-data,131,48,83,0.366412213740458
primary_common,primary_common__r03_f04,3,4,training_pool,old-data-local,144,8,136,0.05555555555555555
primary_common,primary_common__r03_f04,3,4,training_pool,old-data-remote-clean,49,2,47,0.04081632653061224
primary_common,primary_common__r03_f04,3,4,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r03_f04,3,4,untouched_test,new-data,33,15,18,0.45454545454545453
primary_common,primary_common__r03_f04,3,4,untouched_test,old-data-local,34,0,34,0.0
primary_common,primary_common__r03_f04,3,4,untouched_test,old-data-remote-clean,14,0,14,0.0
primary_common,primary_common__r03_f04,3,4,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r03_f05,3,5,training_pool,new-data,132,49,83,0.3712121212121212
primary_common,primary_common__r03_f05,3,5,training_pool,old-data-local,139,7,132,0.050359712230215826
primary_common,primary_common__r03_f05,3,5,training_pool,old-data-remote-clean,53,2,51,0.03773584905660377
primary_common,primary_common__r03_f05,3,5,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r03_f05,3,5,untouched_test,new-data,32,14,18,0.4375
primary_common,primary_common__r03_f05,3,5,untouched_test,old-data-local,39,1,38,0.02564102564102564
primary_common,primary_common__r03_f05,3,5,untouched_test,old-data-remote-clean,10,0,10,0.0
primary_common,primary_common__r03_f05,3,5,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r04_f01,4,1,training_pool,new-data,135,48,87,0.35555555555555557
primary_common,primary_common__r04_f01,4,1,training_pool,old-data-local,143,8,135,0.055944055944055944
primary_common,primary_common__r04_f01,4,1,training_pool,old-data-remote-clean,46,2,44,0.043478260869565216
primary_common,primary_common__r04_f01,4,1,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r04_f01,4,1,untouched_test,new-data,29,15,14,0.5172413793103449
primary_common,primary_common__r04_f01,4,1,untouched_test,old-data-local,35,0,35,0.0
primary_common,primary_common__r04_f01,4,1,untouched_test,old-data-remote-clean,17,0,17,0.0
primary_common,primary_common__r04_f01,4,1,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r04_f02,4,2,training_pool,new-data,129,51,78,0.3953488372093023
primary_common,primary_common__r04_f02,4,2,training_pool,old-data-local,144,5,139,0.034722222222222224
primary_common,primary_common__r04_f02,4,2,training_pool,old-data-remote-clean,51,2,49,0.0392156862745098
primary_common,primary_common__r04_f02,4,2,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r04_f02,4,2,untouched_test,new-data,35,12,23,0.34285714285714286
primary_common,primary_common__r04_f02,4,2,untouched_test,old-data-local,34,3,31,0.08823529411764706
primary_common,primary_common__r04_f02,4,2,untouched_test,old-data-remote-clean,12,0,12,0.0
primary_common,primary_common__r04_f02,4,2,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r04_f03,4,3,training_pool,new-data,134,51,83,0.3805970149253731
primary_common,primary_common__r04_f03,4,3,training_pool,old-data-local,141,6,135,0.0425531914893617
primary_common,primary_common__r04_f03,4,3,training_pool,old-data-remote-clean,49,2,47,0.04081632653061224
primary_common,primary_common__r04_f03,4,3,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r04_f03,4,3,untouched_test,new-data,30,12,18,0.4
primary_common,primary_common__r04_f03,4,3,untouched_test,old-data-local,37,2,35,0.05405405405405406
primary_common,primary_common__r04_f03,4,3,untouched_test,old-data-remote-clean,14,0,14,0.0
primary_common,primary_common__r04_f03,4,3,untouched_test,all,81,14,67,0.1728395061728395
primary_common,primary_common__r04_f04,4,4,training_pool,new-data,129,51,78,0.3953488372093023
primary_common,primary_common__r04_f04,4,4,training_pool,old-data-local,142,7,135,0.04929577464788732
primary_common,primary_common__r04_f04,4,4,training_pool,old-data-remote-clean,53,0,53,0.0
primary_common,primary_common__r04_f04,4,4,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r04_f04,4,4,untouched_test,new-data,35,12,23,0.34285714285714286
primary_common,primary_common__r04_f04,4,4,untouched_test,old-data-local,36,1,35,0.027777777777777776
primary_common,primary_common__r04_f04,4,4,untouched_test,old-data-remote-clean,10,2,8,0.2
primary_common,primary_common__r04_f04,4,4,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r04_f05,4,5,training_pool,new-data,129,51,78,0.3953488372093023
primary_common,primary_common__r04_f05,4,5,training_pool,old-data-local,142,6,136,0.04225352112676056
primary_common,primary_common__r04_f05,4,5,training_pool,old-data-remote-clean,53,2,51,0.03773584905660377
primary_common,primary_common__r04_f05,4,5,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r04_f05,4,5,untouched_test,new-data,35,12,23,0.34285714285714286
primary_common,primary_common__r04_f05,4,5,untouched_test,old-data-local,36,2,34,0.05555555555555555
primary_common,primary_common__r04_f05,4,5,untouched_test,old-data-remote-clean,10,0,10,0.0
primary_common,primary_common__r04_f05,4,5,untouched_test,all,81,14,67,0.1728395061728395
secondary_g3_common,secondary_g3_common__r01_f01,1,1,training_pool,new-data,128,50,78,0.390625
secondary_g3_common,secondary_g3_common__r01_f01,1,1,training_pool,old-data-local,144,6,138,0.041666666666666664
secondary_g3_common,secondary_g3_common__r01_f01,1,1,training_pool,old-data-remote-clean,51,2,49,0.0392156862745098
secondary_g3_common,secondary_g3_common__r01_f01,1,1,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r01_f01,1,1,untouched_test,new-data,36,13,23,0.3611111111111111
secondary_g3_common,secondary_g3_common__r01_f01,1,1,untouched_test,old-data-local,33,2,31,0.06060606060606061
secondary_g3_common,secondary_g3_common__r01_f01,1,1,untouched_test,old-data-remote-clean,12,0,12,0.0
secondary_g3_common,secondary_g3_common__r01_f01,1,1,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r01_f02,1,2,training_pool,new-data,131,51,80,0.3893129770992366
secondary_g3_common,secondary_g3_common__r01_f02,1,2,training_pool,old-data-local,139,6,133,0.04316546762589928
secondary_g3_common,secondary_g3_common__r01_f02,1,2,training_pool,old-data-remote-clean,53,2,51,0.03773584905660377
secondary_g3_common,secondary_g3_common__r01_f02,1,2,training_pool,all,323,59,264,0.1826625386996904
secondary_g3_common,secondary_g3_common__r01_f02,1,2,untouched_test,new-data,33,12,21,0.36363636363636365
secondary_g3_common,secondary_g3_common__r01_f02,1,2,untouched_test,old-data-local,38,2,36,0.05263157894736842
secondary_g3_common,secondary_g3_common__r01_f02,1,2,untouched_test,old-data-remote-clean,10,0,10,0.0
secondary_g3_common,secondary_g3_common__r01_f02,1,2,untouched_test,all,81,14,67,0.1728395061728395
secondary_g3_common,secondary_g3_common__r01_f03,1,3,training_pool,new-data,132,52,80,0.3939393939393939
secondary_g3_common,secondary_g3_common__r01_f03,1,3,training_pool,old-data-local,137,6,131,0.043795620437956206
secondary_g3_common,secondary_g3_common__r01_f03,1,3,training_pool,old-data-remote-clean,54,0,54,0.0
secondary_g3_common,secondary_g3_common__r01_f03,1,3,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r01_f03,1,3,untouched_test,new-data,32,11,21,0.34375
secondary_g3_common,secondary_g3_common__r01_f03,1,3,untouched_test,old-data-local,40,2,38,0.05
secondary_g3_common,secondary_g3_common__r01_f03,1,3,untouched_test,old-data-remote-clean,9,2,7,0.2222222222222222
secondary_g3_common,secondary_g3_common__r01_f03,1,3,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r01_f04,1,4,training_pool,new-data,132,49,83,0.3712121212121212
secondary_g3_common,secondary_g3_common__r01_f04,1,4,training_pool,old-data-local,146,7,139,0.04794520547945205
secondary_g3_common,secondary_g3_common__r01_f04,1,4,training_pool,old-data-remote-clean,45,2,43,0.044444444444444446
secondary_g3_common,secondary_g3_common__r01_f04,1,4,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r01_f04,1,4,untouched_test,new-data,32,14,18,0.4375
secondary_g3_common,secondary_g3_common__r01_f04,1,4,untouched_test,old-data-local,31,1,30,0.03225806451612903
secondary_g3_common,secondary_g3_common__r01_f04,1,4,untouched_test,old-data-remote-clean,18,0,18,0.0
secondary_g3_common,secondary_g3_common__r01_f04,1,4,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r01_f05,1,5,training_pool,new-data,133,50,83,0.37593984962406013
secondary_g3_common,secondary_g3_common__r01_f05,1,5,training_pool,old-data-local,142,7,135,0.04929577464788732
secondary_g3_common,secondary_g3_common__r01_f05,1,5,training_pool,old-data-remote-clean,49,2,47,0.04081632653061224
secondary_g3_common,secondary_g3_common__r01_f05,1,5,training_pool,all,324,59,265,0.18209876543209877
secondary_g3_common,secondary_g3_common__r01_f05,1,5,untouched_test,new-data,31,13,18,0.41935483870967744
secondary_g3_common,secondary_g3_common__r01_f05,1,5,untouched_test,old-data-local,35,1,34,0.02857142857142857
secondary_g3_common,secondary_g3_common__r01_f05,1,5,untouched_test,old-data-remote-clean,14,0,14,0.0
secondary_g3_common,secondary_g3_common__r01_f05,1,5,untouched_test,all,80,14,66,0.175
secondary_g3_common,secondary_g3_common__r02_f01,2,1,training_pool,new-data,132,49,83,0.3712121212121212
secondary_g3_common,secondary_g3_common__r02_f01,2,1,training_pool,old-data-local,150,7,143,0.04666666666666667
secondary_g3_common,secondary_g3_common__r02_f01,2,1,training_pool,old-data-remote-clean,41,2,39,0.04878048780487805
secondary_g3_common,secondary_g3_common__r02_f01,2,1,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r02_f01,2,1,untouched_test,new-data,32,14,18,0.4375
secondary_g3_common,secondary_g3_common__r02_f01,2,1,untouched_test,old-data-local,27,1,26,0.037037037037037035
secondary_g3_common,secondary_g3_common__r02_f01,2,1,untouched_test,old-data-remote-clean,22,0,22,0.0
secondary_g3_common,secondary_g3_common__r02_f01,2,1,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r02_f02,2,2,training_pool,new-data,128,51,77,0.3984375
secondary_g3_common,secondary_g3_common__r02_f02,2,2,training_pool,old-data-local,144,6,138,0.041666666666666664
secondary_g3_common,secondary_g3_common__r02_f02,2,2,training_pool,old-data-remote-clean,51,1,50,0.0196078431372549
secondary_g3_common,secondary_g3_common__r02_f02,2,2,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r02_f02,2,2,untouched_test,new-data,36,12,24,0.3333333333333333
secondary_g3_common,secondary_g3_common__r02_f02,2,2,untouched_test,old-data-local,33,2,31,0.06060606060606061
secondary_g3_common,secondary_g3_common__r02_f02,2,2,untouched_test,old-data-remote-clean,12,1,11,0.08333333333333333
secondary_g3_common,secondary_g3_common__r02_f02,2,2,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r02_f03,2,3,training_pool,new-data,133,51,82,0.38345864661654133
secondary_g3_common,secondary_g3_common__r02_f03,2,3,training_pool,old-data-local,137,7,130,0.051094890510948905
secondary_g3_common,secondary_g3_common__r02_f03,2,3,training_pool,old-data-remote-clean,53,1,52,0.018867924528301886
secondary_g3_common,secondary_g3_common__r02_f03,2,3,training_pool,all,323,59,264,0.1826625386996904
secondary_g3_common,secondary_g3_common__r02_f03,2,3,untouched_test,new-data,31,12,19,0.3870967741935484
secondary_g3_common,secondary_g3_common__r02_f03,2,3,untouched_test,old-data-local,40,1,39,0.025
secondary_g3_common,secondary_g3_common__r02_f03,2,3,untouched_test,old-data-remote-clean,10,1,9,0.1
secondary_g3_common,secondary_g3_common__r02_f03,2,3,untouched_test,all,81,14,67,0.1728395061728395
secondary_g3_common,secondary_g3_common__r02_f04,2,4,training_pool,new-data,130,50,80,0.38461538461538464
secondary_g3_common,secondary_g3_common__r02_f04,2,4,training_pool,old-data-local,139,7,132,0.050359712230215826
secondary_g3_common,secondary_g3_common__r02_f04,2,4,training_pool,old-data-remote-clean,55,2,53,0.03636363636363636
secondary_g3_common,secondary_g3_common__r02_f04,2,4,training_pool,all,324,59,265,0.18209876543209877
secondary_g3_common,secondary_g3_common__r02_f04,2,4,untouched_test,new-data,34,13,21,0.38235294117647056
secondary_g3_common,secondary_g3_common__r02_f04,2,4,untouched_test,old-data-local,38,1,37,0.02631578947368421
secondary_g3_common,secondary_g3_common__r02_f04,2,4,untouched_test,old-data-remote-clean,8,0,8,0.0
secondary_g3_common,secondary_g3_common__r02_f04,2,4,untouched_test,all,80,14,66,0.175
secondary_g3_common,secondary_g3_common__r02_f05,2,5,training_pool,new-data,133,51,82,0.38345864661654133
secondary_g3_common,secondary_g3_common__r02_f05,2,5,training_pool,old-data-local,138,5,133,0.036231884057971016
secondary_g3_common,secondary_g3_common__r02_f05,2,5,training_pool,old-data-remote-clean,52,2,50,0.038461538461538464
secondary_g3_common,secondary_g3_common__r02_f05,2,5,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r02_f05,2,5,untouched_test,new-data,31,12,19,0.3870967741935484
secondary_g3_common,secondary_g3_common__r02_f05,2,5,untouched_test,old-data-local,39,3,36,0.07692307692307693
secondary_g3_common,secondary_g3_common__r02_f05,2,5,untouched_test,old-data-remote-clean,11,0,11,0.0
secondary_g3_common,secondary_g3_common__r02_f05,2,5,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r03_f01,3,1,training_pool,new-data,131,50,81,0.3816793893129771
secondary_g3_common,secondary_g3_common__r03_f01,3,1,training_pool,old-data-local,139,6,133,0.04316546762589928
secondary_g3_common,secondary_g3_common__r03_f01,3,1,training_pool,old-data-remote-clean,53,2,51,0.03773584905660377
secondary_g3_common,secondary_g3_common__r03_f01,3,1,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r03_f01,3,1,untouched_test,new-data,33,13,20,0.3939393939393939
secondary_g3_common,secondary_g3_common__r03_f01,3,1,untouched_test,old-data-local,38,2,36,0.05263157894736842
secondary_g3_common,secondary_g3_common__r03_f01,3,1,untouched_test,old-data-remote-clean,10,0,10,0.0
secondary_g3_common,secondary_g3_common__r03_f01,3,1,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r03_f02,3,2,training_pool,new-data,130,51,79,0.3923076923076923
secondary_g3_common,secondary_g3_common__r03_f02,3,2,training_pool,old-data-local,142,6,136,0.04225352112676056
secondary_g3_common,secondary_g3_common__r03_f02,3,2,training_pool,old-data-remote-clean,51,2,49,0.0392156862745098
secondary_g3_common,secondary_g3_common__r03_f02,3,2,training_pool,all,323,59,264,0.1826625386996904
secondary_g3_common,secondary_g3_common__r03_f02,3,2,untouched_test,new-data,34,12,22,0.35294117647058826
secondary_g3_common,secondary_g3_common__r03_f02,3,2,untouched_test,old-data-local,35,2,33,0.05714285714285714
secondary_g3_common,secondary_g3_common__r03_f02,3,2,untouched_test,old-data-remote-clean,12,0,12,0.0
secondary_g3_common,secondary_g3_common__r03_f02,3,2,untouched_test,all,81,14,67,0.1728395061728395
secondary_g3_common,secondary_g3_common__r03_f03,3,3,training_pool,new-data,130,52,78,0.4
secondary_g3_common,secondary_g3_common__r03_f03,3,3,training_pool,old-data-local,141,5,136,0.03546099290780142
secondary_g3_common,secondary_g3_common__r03_f03,3,3,training_pool,old-data-remote-clean,52,1,51,0.019230769230769232
secondary_g3_common,secondary_g3_common__r03_f03,3,3,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r03_f03,3,3,untouched_test,new-data,34,11,23,0.3235294117647059
secondary_g3_common,secondary_g3_common__r03_f03,3,3,untouched_test,old-data-local,36,3,33,0.08333333333333333
secondary_g3_common,secondary_g3_common__r03_f03,3,3,untouched_test,old-data-remote-clean,11,1,10,0.09090909090909091
secondary_g3_common,secondary_g3_common__r03_f03,3,3,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r03_f04,3,4,training_pool,new-data,134,49,85,0.3656716417910448
secondary_g3_common,secondary_g3_common__r03_f04,3,4,training_pool,old-data-local,142,8,134,0.056338028169014086
secondary_g3_common,secondary_g3_common__r03_f04,3,4,training_pool,old-data-remote-clean,48,2,46,0.041666666666666664
secondary_g3_common,secondary_g3_common__r03_f04,3,4,training_pool,all,324,59,265,0.18209876543209877
secondary_g3_common,secondary_g3_common__r03_f04,3,4,untouched_test,new-data,30,14,16,0.4666666666666667
secondary_g3_common,secondary_g3_common__r03_f04,3,4,untouched_test,old-data-local,35,0,35,0.0
secondary_g3_common,secondary_g3_common__r03_f04,3,4,untouched_test,old-data-remote-clean,15,0,15,0.0
secondary_g3_common,secondary_g3_common__r03_f04,3,4,untouched_test,all,80,14,66,0.175
secondary_g3_common,secondary_g3_common__r03_f05,3,5,training_pool,new-data,131,50,81,0.3816793893129771
secondary_g3_common,secondary_g3_common__r03_f05,3,5,training_pool,old-data-local,144,7,137,0.04861111111111111
secondary_g3_common,secondary_g3_common__r03_f05,3,5,training_pool,old-data-remote-clean,48,1,47,0.020833333333333332
secondary_g3_common,secondary_g3_common__r03_f05,3,5,training_pool,all,323,58,265,0.17956656346749225
secondary_g3_common,secondary_g3_common__r03_f05,3,5,untouched_test,new-data,33,13,20,0.3939393939393939
secondary_g3_common,secondary_g3_common__r03_f05,3,5,untouched_test,old-data-local,33,1,32,0.030303030303030304
secondary_g3_common,secondary_g3_common__r03_f05,3,5,untouched_test,old-data-remote-clean,15,1,14,0.06666666666666667
secondary_g3_common,secondary_g3_common__r03_f05,3,5,untouched_test,all,81,15,66,0.18518518518518517
secondary_g3_common,secondary_g3_common__r04_f01,4,1,training_pool,new-data,132,50,82,0.3787878787878788
secondary_g3_common,secondary_g3_common__r04_f01,4,1,training_pool,old-data-local,144,7,137,0.04861111111111111
secondary_g3_common,secondary_g3_common__r04_f01,4,1,training_pool,old-data-remote-clean,47,2,45,0.0425531914893617
secondary_g3_common,secondary_g3_common__r04_f01,4,1,training_pool,all,323,59,264,0.1826625386996904
secondary_g3_common,secondary_g3_common__r04_f01,4,1,untouched_test,new-data,32,13,19,0.40625
secondary_g3_common,secondary_g3_common__r04_f01,4,1,untouched_test,old-data-local,33,1,32,0.030303030303030304
