benchmark_population,formulation,model,boundary_subset,primary_metric,run_count,mean_error,std_error,median_error
primary_common,binary,logistic,q10,False,20,0.28888888888888886,0.16282113268112144,0.2777777777777778
primary_common,binary,logistic,q20,True,20,0.1764705882352941,0.1079603453508526,0.17647058823529413
primary_common,binary,logistic,q30,True,20,0.12400000000000003,0.07556105931106662,0.12
primary_common,binary,matern32_gpc,q10,False,20,0.3111111111111111,0.13774381773508573,0.3333333333333333
primary_common,binary,matern32_gpc,q20,True,20,0.1764705882352941,0.08951598944149201,0.17647058823529413
primary_common,binary,matern32_gpc,q30,True,20,0.12600000000000003,0.06394076205857716,0.12
primary_common,binary,matern52_gpc,q10,False,20,0.3,0.14008258958140965,0.3333333333333333
primary_common,binary,matern52_gpc,q20,True,20,0.17352941176470588,0.09047719462003753,0.17647058823529413
primary_common,binary,matern52_gpc,q30,True,20,0.12600000000000003,0.06524447950028536,0.12
primary_common,binary,prevalence,q10,False,20,0.4444444444444445,0.12997725597013374,0.4444444444444444
primary_common,binary,prevalence,q20,True,20,0.39117647058823524,0.08593492601814011,0.35294117647058826
primary_common,binary,prevalence,q30,True,20,0.32800000000000007,0.051257862041374995,0.32
primary_common,binary,rbf_gpc,q10,False,20,0.2777777777777778,0.15505349220541348,0.2222222222222222
primary_common,binary,rbf_gpc,q20,True,20,0.1588235294117647,0.09172659365731278,0.14705882352941177
primary_common,binary,rbf_gpc,q30,True,20,0.11400000000000002,0.06777672322063318,0.12
primary_common,max_depth,linear_ridge,q10,False,20,0.3888888888888889,0.13727128180474274,0.3333333333333333
primary_common,max_depth,linear_ridge,q20,True,20,0.32352941176470584,0.10188534162169866,0.29411764705882354
primary_common,max_depth,linear_ridge,q30,True,20,0.2800000000000001,0.07786628214276603,0.24
primary_common,max_depth,matern32_gpr,q10,False,20,0.27222222222222225,0.11667362830802898,0.3333333333333333
primary_common,max_depth,matern32_gpr,q20,True,20,0.2,0.07728784533315133,0.17647058823529413
primary_common,max_depth,matern32_gpr,q30,True,20,0.152,0.06169534657876301,0.12
primary_common,max_depth,matern52_gpr,q10,False,20,0.2944444444444444,0.10978743712978714,0.3333333333333333
primary_common,max_depth,matern52_gpr,q20,True,20,0.21470588235294114,0.07699273984414892,0.20588235294117646
primary_common,max_depth,matern52_gpr,q30,True,20,0.16,0.055059776128934826,0.14
primary_common,max_depth,mean,q10,False,20,0.4444444444444445,0.12997725597013374,0.4444444444444444
primary_common,max_depth,mean,q20,True,20,0.39117647058823524,0.08593492601814011,0.35294117647058826
primary_common,max_depth,mean,q30,True,20,0.32800000000000007,0.051257862041374995,0.32
primary_common,max_depth,polynomial2_ridge,q10,False,20,0.25555555555555554,0.12010391861657357,0.2222222222222222
primary_common,max_depth,polynomial2_ridge,q20,True,20,0.2,0.0903261054058723,0.17647058823529413
primary_common,max_depth,polynomial2_ridge,q30,True,20,0.158,0.0783782998969539,0.16
primary_common,max_depth,rbf_gpr,q10,False,20,0.28888888888888886,0.12694234901721763,0.3333333333333333
primary_common,max_depth,rbf_gpr,q20,True,20,0.21176470588235294,0.0903261054058723,0.23529411764705882
primary_common,max_depth,rbf_gpr,q30,True,20,0.15600000000000006,0.060732372361299865,0.16
secondary_g3_common,binary,binary_matern32_gpc_g3_common,q10,False,20,0.2694444444444445,0.1570960686612619,0.2222222222222222
secondary_g3_common,binary,binary_matern32_gpc_g3_common,q20,True,20,0.16893382352941178,0.09515915694136096,0.125
secondary_g3_common,binary,binary_matern32_gpc_g3_common,q30,True,20,0.12258333333333335,0.06883847311000557,0.10166666666666666
secondary_g3_common,g3,g3_matern32_gpr,q10,False,20,0.3090277777777778,0.14453965317009557,0.3333333333333333
secondary_g3_common,g3,g3_matern32_gpr,q20,True,20,0.22224264705882352,0.08795649807767764,0.23529411764705882
secondary_g3_common,g3,g3_matern32_gpr,q30,True,20,0.15483333333333335,0.06350139290271352,0.16
secondary_g3_common,max_depth,matern32_gpr_g3_common,q10,False,20,0.29999999999999993,0.13483860349637453,0.3333333333333333
secondary_g3_common,max_depth,matern32_gpr_g3_common,q20,True,20,0.23455882352941176,0.0719311594199741,0.23529411764705882
secondary_g3_common,max_depth,matern32_gpr_g3_common,q30,True,20,0.16708333333333336,0.04888485994828811,0.16
