benchmark_population,run_id,method,formulation,budget,selected_set_diagnostic_only,bootstrap_resamples,valid_resamples,ci_low,median,ci_high,status
primary_common,primary_common__r01_f01,max_depth_random,max_depth,12,True,1000,1000,95.16403500000001,101.421515,103.01101499999999,PASS
primary_common,primary_common__r01_f01,max_depth_random,max_depth,20,True,1000,1000,95.16403500000001,101.421515,193.46374,PASS
primary_common,primary_common__r01_f01,max_depth_random,max_depth,40,True,1000,1000,101.18785,104.965995,108.895745,PASS
primary_common,primary_common__r01_f01,max_depth_random,max_depth,60,True,1000,1000,99.34905,103.127195,106.55549500000001,PASS
primary_common,primary_common__r01_f01,max_depth_random,max_depth,80,True,1000,1000,99.58271500000001,105.431785,111.200335,PASS
primary_common,primary_common__r01_f01,max_depth_boundary_proximity,max_depth,12,True,1000,1000,95.16403500000001,101.421515,103.01101499999999,PASS
primary_common,primary_common__r01_f01,max_depth_boundary_proximity,max_depth,20,True,1000,1000,93.06289,103.30859000000001,107.24709,PASS
primary_common,primary_common__r01_f01,max_depth_boundary_proximity,max_depth,40,True,1000,1000,103.30859000000001,106.86789999999999,115.3295,PASS
primary_common,primary_common__r01_f01,max_depth_boundary_proximity,max_depth,60,True,1000,1000,104.921585,108.14150000000001,113.80425,PASS
primary_common,primary_common__r01_f01,max_depth_boundary_proximity,max_depth,80,True,1000,1000,104.921585,108.14150000000001,113.80425,PASS
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,12,True,1000,1000,91.15071499999999,101.421515,103.01101499999999,PASS
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,20,True,1000,1000,97.00138999999999,113.74000000000001,134.97379999999998,PASS
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,40,True,1000,1000,103.30859000000001,104.956025,115.3295,PASS
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,60,True,1000,1000,103.81879,106.86789999999999,115.3295,PASS
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,80,True,1000,1000,104.921585,108.14150000000001,115.3295,PASS
primary_common,primary_common__r01_f01,max_depth_randomized_straddle,max_depth,12,True,1000,1000,91.15071499999999,101.421515,103.01101499999999,PASS
primary_common,primary_common__r01_f01,max_depth_randomized_straddle,max_depth,20,True,1000,1000,95.41189,113.74000000000001,115.36590000000001,PASS
primary_common,primary_common__r01_f01,max_depth_randomized_straddle,max_depth,40,True,1000,1000,103.30859000000001,104.956025,115.36590000000001,PASS
primary_common,primary_common__r01_f01,max_depth_randomized_straddle,max_depth,60,True,1000,1000,104.955164,108.14150000000001,113.80425,PASS
