policy_id,policy,target_column,interpretation,sample_size,target_min,target_q25,target_median,target_q75,target_max,suspicious_transition_simulations,screenshot_bug_affected_simulations,pretransition_bug_affected_simulations,persistent_comparison_available,persistent_differs_from_first_observed,P_unique,P_min,P_max,VX_unique,VX_min,VX_max,LS_unique,LS_min,LS_max,ST_unique,ST_min,ST_max
1,Policy 1 — Clean first observed onset,first_observed_conduction_timestep,Exact observed target under current labels; reduced input-space coverage,91,4840.0,10285.5,13933.0,23643.5,42436.0,22,0,0,73,1,91,52.5445860993,246.882256304,91,0.201002332148,0.998321353283,65,4.5e-05,8.97039861056e-05,65,300.0,399.457924021
2,Policy 2 — Broad first observed onset,first_observed_conduction_timestep,Bug-affected values retained as first observed / possible upper bounds,238,4840.0,19420.75,29019.0,44656.75,95798.0,169,147,147,220,2,238,52.5445860993,248.695097131,229,0.201002332148,0.998321353283,212,4.5e-05,8.97039861056e-05,212,300.0,399.457924021
3,Policy 3 — Clean persistent onset,first_persistent_conduction_timestep,More conservative diagnostic; excludes clean runs without a persistent onset,73,4840.0,11568.0,16402.0,26532.0,42436.0,4,0,0,73,1,73,52.5445860993,246.882256304,73,0.201002332148,0.98622838083,47,4.5e-05,8.97039861056e-05,47,300.0,398.693210886
4,Policy 4 — Broad persistent onset diagnostic,first_persistent_conduction_timestep,All persistent onsets retained; Screenshot Bug ambiguity remains,220,4840.0,23396.0,30279.5,48447.75,95798.0,151,147,147,220,2,220,52.5445860993,248.695097131,211,0.201002332148,0.995509859725,194,4.5e-05,8.97039861056e-05,194,300.0,399.182507166
