simulation_id,numeric_simulation_id,huggingface_revision,P,VX,LS,ST,melt_pool_width_selected_primary_scalar_target_m,melt_pool_length_selected_primary_scalar_target_m,melt_pool_depth_below_surface_selected_primary_scalar_target_m,width_target_um,length_target_um,depth_target_um,flag_primary_window_unstable,selected_window_start_row_index,selected_window_end_row_index,selected_window_start_iteration,selected_window_end_iteration,selected_window_start_time_s,selected_window_end_time_s
sim_00001,1,0e859b748fdbc8454f66e58e101e333ac0479d42,101.127472137,0.52394730996,4.5e-05,300.0,0.00012626144,0.0002625708499999,5.071019e-05,126.26144,262.5708499999,50.71019,False,55052,68795,55052.0,68795.0,0.001000422,0.001250006
sim_00002,2,0e859b748fdbc8454f66e58e101e333ac0479d42,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,0.000126328725,0.0002977007,2.6660185e-05,126.32872499999999,297.7007,26.660185000000002,True,54593,65498,54593.0,65498.0,0.0009920863,0.00119013
sim_00003,3,0e859b748fdbc8454f66e58e101e333ac0479d42,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,0.0001279412249999,0.0002618447,3.4838855e-05,127.94122499989999,261.8447,34.838855,False,58064,68795,58064.0,68795.0,0.001055122,0.001250006
sim_00004,4,0e859b748fdbc8454f66e58e101e333ac0479d42,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,0.00020332255,0.00028807835,4.6715575e-05,203.32255,288.07835,46.715575,False,98314,115599,98314.0,115599.0,0.001786094,0.002100003
sim_00005,5,0e859b748fdbc8454f66e58e101e333ac0479d42,109.759946449,0.241926176876,4.5e-05,300.0,0.000166993245,0.0002363840299999,6.661901499999999e-05,166.993245,236.38402999989998,66.61901499999999,False,55050,68795,55050.0,68795.0,0.001000386,0.001250006
sim_00006,6,0e859b748fdbc8454f66e58e101e333ac0479d42,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,0.00012806481,0.0002921034,2.6879505e-05,128.06481,292.1034,26.879504999999998,True,57682,69275,57682.0,69275.0,0.001048185,0.001258723
sim_00007,7,0e859b748fdbc8454f66e58e101e333ac0479d42,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,0.00020228875,0.0002624155,5.078583e-05,202.28875,262.4155,50.78583,False,99232,115599,99232.0,115599.0,0.001802766,0.002100003
sim_00008,8,0e859b748fdbc8454f66e58e101e333ac0479d42,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,0.0001333735999999,0.0002917725,3.868263e-05,133.3735999999,291.7725,38.68263,False,70867,85177,70867.0,85177.0,0.001287635,0.001547516
sim_00009,9,0e859b748fdbc8454f66e58e101e333ac0479d42,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,0.00012716849,0.00026421325,5.458924e-05,127.16849,264.21325,54.58924,False,58620,68795,58620.0,68795.0,0.00106522,0.001250006
sim_00010,10,0e859b748fdbc8454f66e58e101e333ac0479d42,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,0.00013394807,0.00027771595,4.68229e-05,133.94807,277.71594999999996,46.822900000000004,False,58392,68795,58392.0,68795.0,0.001061079,0.001250006
sim_00011,11,0e859b748fdbc8454f66e58e101e333ac0479d42,114.820217584,0.948189613582,6.03705790634e-05,353.560035146,0.00011563943,0.0003042165999999,3.480239e-05,115.63943,304.21659999990004,34.802389999999995,False,52688,63310,52688.0,63310.0,0.0009574899,0.001150394
sim_00012,12,0e859b748fdbc8454f66e58e101e333ac0479d42,115.281467344,0.424433079834,5.4086019252e-05,352.652659088,0.00015777781,0.0002946805,5.470013e-05,157.77781,294.68050000000005,54.700129999999994,False,96939,115599,96939.0,115599.0,0.001761123,0.002100003
sim_00013,13,0e859b748fdbc8454f66e58e101e333ac0479d42,116.440418649,0.621036488786,7.33150072515e-05,327.034160515,0.00015141887,0.0002987764,3.869279e-05,151.41887,298.77639999999997,38.69279,False,80398,96679,80398.0,96679.0,0.001460725,0.001756401
sim_00014,14,0e859b748fdbc8454f66e58e101e333ac0479d42,116.693370328,0.231004403842,8.2871053211e-05,317.198938228,0.0002174983,0.0002464534,5.081113e-05,217.4983,246.45340000000002,50.81113,False,100353,115599,100353.0,115599.0,0.001823124,0.002100003
sim_00015,15,0e859b748fdbc8454f66e58e101e333ac0479d42,118.4900546,0.535113778256,4.79907961621e-05,385.412174328,0.00013591084,0.0002886902,4.677987e-05,135.91084,288.6902,46.77987,False,93343,112209,93343.0,112209.0,0.001695817,0.002038438
sim_00016,16,0e859b748fdbc8454f66e58e101e333ac0479d42,119.65849417,0.305673131798,5.10692886867e-05,393.327897391,0.00017073953,0.0002596157499999,5.4776695e-05,170.73953,259.6157499999,54.776695,False,98634,115599,98634.0,115599.0,0.001791906,0.002100003
sim_00017,17,0e859b748fdbc8454f66e58e101e333ac0479d42,122.148440758,0.768953415756,4.5e-05,300.0,0.00011261138,0.0002989081999999,5.05307e-05,112.61138,298.90819999990003,50.5307,False,55047,68795,55047.0,68795.0,0.001000331,0.001250006
