target_population,variable,unit,n,minimum,q25,median,q75,maximum,mean,std
width,P,W,40,102.928146519,198.7408775635,265.691804896,370.3338236445,449.762375807,276.908647324875,104.56558061758379
width,VX,m/s,40,0.20359066256,0.37556247191325,0.6044809881385,0.7082414655745,0.98992750487,0.566814484557125,0.22200964989965566
width,LS,um,40,40.2949716673,44.333152910425,56.179604265950005,71.81102866277499,88.7652204691,59.15849608444,15.385928271839035
width,ST,K,40,301.171019532,323.30074972225,335.460786154,367.31340398175,399.080626763,344.350350002925,29.88942255403571
width,width,um,40,114.61676,142.4786725,177.136355,203.7054875,281.37294999999995,178.8352365,42.245167164091605
depth,P,W,40,102.928146519,198.7408775635,265.691804896,370.3338236445,449.762375807,276.908647324875,104.56558061758379
depth,VX,m/s,40,0.20359066256,0.37556247191325,0.6044809881385,0.7082414655745,0.98992750487,0.566814484557125,0.22200964989965566
depth,LS,um,40,40.2949716673,44.333152910425,56.179604265950005,71.81102866277499,88.7652204691,59.15849608444,15.385928271839035
depth,ST,K,40,301.171019532,323.30074972225,335.460786154,367.31340398175,399.080626763,344.350350002925,29.88942255403571
depth,depth,um,40,38.589385,69.82938250000001,74.74146999999999,95.03642500000001,244.2168,96.41548049999999,54.34650927341927
total_height,P,W,40,102.928146519,198.7408775635,265.691804896,370.3338236445,449.762375807,276.908647324875,104.56558061758379
total_height,VX,m/s,40,0.20359066256,0.37556247191325,0.6044809881385,0.7082414655745,0.98992750487,0.566814484557125,0.22200964989965566
total_height,LS,um,40,40.2949716673,44.333152910425,56.179604265950005,71.81102866277499,88.7652204691,59.15849608444,15.385928271839035
total_height,ST,K,40,301.171019532,323.30074972225,335.460786154,367.31340398175,399.080626763,344.350350002925,29.88942255403571
total_height,total_height,um,40,61.817415,91.84143,101.13284250000001,119.84684,260.48550000000006,119.39812124999999,52.15961211196057
kinetic_energy,P,W,40,102.928146519,198.7408775635,265.691804896,370.3338236445,449.762375807,276.908647324875,104.56558061758379
kinetic_energy,VX,m/s,40,0.20359066256,0.37556247191325,0.6044809881385,0.7082414655745,0.98992750487,0.566814484557125,0.22200964989965566
kinetic_energy,LS,um,40,40.2949716673,44.333152910425,56.179604265950005,71.81102866277499,88.7652204691,59.15849608444,15.385928271839035
kinetic_energy,ST,K,40,301.171019532,323.30074972225,335.460786154,367.31340398175,399.080626763,344.350350002925,29.88942255403571
kinetic_energy,kinetic_energy,nJ,40,0.7339642,2.2014077500000004,3.2658275,4.577482375,6.897984,3.3855589850000003,1.629689857665436
