target,target_label,target_unit,input,input_meaning,input_unit,spearman_rho,p_value,ci_low,ci_high,confidence_level,bootstrap_resamples,bootstrap_seed,simulation_count,resample_unit,analysis_type,causal_claim
width,T0 melt-pool width,um,P,laser power,W,0.039212007504690435,0.8101544525938914,-0.3016267431999205,0.4382962841897471,0.95,200,913171031,40,simulation,marginal association diagnostic,False
width,T0 melt-pool width,um,VX,scan speed,m/s,-0.7343339587242026,6.923972495890201e-08,-0.8475620622286486,-0.547322917658847,0.95,200,3385049431,40,simulation,marginal association diagnostic,False
width,T0 melt-pool width,um,LS,laser spot radius,um,0.5838649155722327,7.655537376416803e-05,0.32497578490701695,0.7571632448013454,0.95,200,398051281,40,simulation,marginal association diagnostic,False
width,T0 melt-pool width,um,ST,substrate temperature,K,0.34333958724202635,0.03008059615232276,0.12170712166589806,0.5829844735462244,0.95,200,2129542746,40,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,P,laser power,W,0.8433395872420263,8.50372469611857e-12,0.7022013610648734,0.9234175821399699,0.95,200,3554454655,40,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,VX,scan speed,m/s,-0.2812382739212008,0.0787508082783895,-0.5271457119937277,-0.03966467590124454,0.95,200,3549255198,40,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,LS,laser spot radius,um,-0.3801125703564729,0.015546140796562007,-0.6221762375195976,-0.08900077206919631,0.95,200,1764497737,40,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,ST,substrate temperature,K,0.17542213883677302,0.27893772240766646,-0.16861773237526145,0.4613860395423766,0.95,200,1223818582,40,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,P,laser power,W,0.8033771106941839,4.3972499367226435e-10,0.5789364634765195,0.9364832413303319,0.95,200,306510186,40,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,VX,scan speed,m/s,-0.1879924953095685,0.24537367241921135,-0.4912888407504302,0.1370446845945787,0.95,200,2838602453,40,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,LS,laser spot radius,um,-0.226078799249531,0.16069289097205086,-0.46981374864873054,0.06792577607925189,0.95,200,3211803690,40,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,ST,substrate temperature,K,0.12363977485928707,0.44719844490057037,-0.22681449282392838,0.4221240146517719,0.95,200,1339891316,40,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,P,laser power,W,0.9343339587242028,1.290316839833784e-18,0.8296282704574901,0.9806464541348547,0.95,200,3195366627,40,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,VX,scan speed,m/s,0.13039399624765483,0.42257268103142365,-0.1272590995005727,0.4022438475411,0.95,200,3769820766,40,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,LS,laser spot radius,um,-0.24652908067542217,0.12514694730435946,-0.5313294338788147,0.09130535252734472,0.95,200,3839738322,40,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,ST,substrate temperature,K,0.08367729831144466,0.6077121746246894,-0.22616371725039885,0.4477647895454708,0.95,200,2266843931,40,simulation,marginal association diagnostic,False
