target,input,week6_spearman_rho,week6_simulation_count,week6_ci_low,week6_ci_high,new_data_spearman_rho,new_data_ci_low,new_data_ci_high,new_data_simulation_count,same_sign,new_data_ci_includes_zero,absolute_magnitude_change,comparison_status
width,P,0.503091457768938,241,0.3984665263541857,0.5948746447700105,0.039212007504690435,-0.3016267431999205,0.4382962841897471,40,True,True,-0.4638794502642476,INCONCLUSIVE_CI_INCLUDES_ZERO
width,VX,-0.6886744229080755,241,-0.7455073784657738,-0.6190395689710564,-0.7343339587242026,-0.8475620622286486,-0.547322917658847,40,True,False,0.04565953581612714,SAME_SIGN_SIMILAR
width,LS,0.4691680529025124,241,0.3591535479960093,0.5708095267643162,0.5838649155722327,0.32497578490701695,0.7571632448013454,40,True,False,0.11469686266972035,SAME_SIGN_STRONGER
width,ST,0.1997853997857262,241,0.0668366882492598,0.3276465170996394,0.34333958724202635,0.12170712166589806,0.5829844735462244,40,True,False,0.14355418745630014,SAME_SIGN_STRONGER
depth,P,0.7888421178971916,241,0.7290979226830009,0.8326980492725904,0.8433395872420263,0.7022013610648734,0.9234175821399699,40,True,False,0.05449746934483468,SAME_SIGN_STRONGER
depth,VX,-0.4378353829161571,241,-0.5259121017732498,-0.3390334294733103,-0.2812382739212008,-0.5271457119937277,-0.03966467590124454,40,True,False,-0.15659710899495627,SAME_SIGN_WEAKER
depth,LS,-0.0192155130431078,241,-0.1540861129952191,0.1158244059801479,-0.3801125703564729,-0.6221762375195976,-0.08900077206919631,40,True,False,0.3608970573133651,SAME_SIGN_STRONGER
depth,ST,0.0514609935877212,241,-0.0780568884451429,0.1808463486824821,0.17542213883677302,-0.16861773237526145,0.4613860395423766,40,True,True,0.12396114524905182,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,P,0.9680952299303868,241,0.9398755264672412,0.982112120825936,0.9343339587242028,0.8296282704574901,0.9806464541348547,40,True,False,-0.033761271206183996,SAME_SIGN_SIMILAR
kinetic_energy,VX,-0.0155027627933266,241,-0.1337717600744683,0.1063325072295214,0.13039399624765483,-0.1272590995005727,0.4022438475411,40,False,True,0.11489123345432822,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,LS,0.2232733146037548,241,0.0940200803279036,0.3461575113220249,-0.24652908067542217,-0.5313294338788147,0.09130535252734472,40,False,True,0.023255766071667378,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,ST,0.1327730353196936,241,0.0063988032731344,0.2516865190583691,0.08367729831144466,-0.22616371725039885,0.4477647895454708,40,True,True,-0.04909573700824893,INCONCLUSIVE_CI_INCLUDES_ZERO
total_height,P,0.8010673502280444,241,0.7420432509043907,0.8478045894967374,0.8033771106941839,0.5789364634765195,0.9364832413303319,40,True,False,0.00230976046613951,SAME_SIGN_SIMILAR
total_height,VX,-0.3096583206692034,241,-0.4113672176716718,-0.1973905644811752,-0.1879924953095685,-0.4912888407504302,0.1370446845945787,40,True,True,-0.12166582535963491,INCONCLUSIVE_CI_INCLUDES_ZERO
total_height,LS,0.1333375414176651,241,0.0026365416947939,0.263031766116794,-0.226078799249531,-0.46981374864873054,0.06792577607925189,40,False,True,0.0927412578318659,INCONCLUSIVE_CI_INCLUDES_ZERO
total_height,ST,0.0799067818710647,241,-0.0515342562485526,0.2091099226480382,0.12363977485928707,-0.22681449282392838,0.4221240146517719,40,True,True,0.04373299298822236,INCONCLUSIVE_CI_INCLUDES_ZERO
