target,configuration,configuration_label,kernel_family,noise_treatment,training_population,training_sample_size,optimized_kernel,support_distance_threshold,fit_warning_count,fit_warnings,runtime_seconds,interpretive_fit_not_out_of_sample_evaluation,new_model_family_introduced
width,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matérn 3/2,learned shared nugget,new-data target-ready only,40,"5.72**2 * Matern(length_scale=20.7, nu=1.5) + WhiteKernel(noise_level=1e-08)",1.7564819764965023,1,The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-08. Decreasing the bound and calling fit again may find a better value.,0.06596360000548884,True,False
depth,matern32_no_nugget,"Matérn 3/2, numerical jitter",Matérn 3/2,numerical jitter only,new-data target-ready only,40,"1.09**2 * Matern(length_scale=1.67, nu=1.5)",1.7564819764965023,0,,0.02471590001368895,True,False
total_height,matern32_no_nugget,"Matérn 3/2, numerical jitter",Matérn 3/2,numerical jitter only,new-data target-ready only,40,"1.12**2 * Matern(length_scale=1.65, nu=1.5)",1.7564819764965023,0,,0.018571300024632365,True,False
kinetic_energy,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matérn 3/2,learned shared nugget,new-data target-ready only,40,"2.39**2 * Matern(length_scale=7.12, nu=1.5) + WhiteKernel(noise_level=0.012)",1.7564819764965023,0,,0.03519069997128099,True,False
