target,target_label,target_unit,varying_input,input_unit,profile,grid_index,input_value,predicted_mean,predictive_std,interval_lower_95,interval_upper_95,nearest_training_distance_standardized,support_distance_threshold,within_observed_support,reference_P,reference_VX,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
width,T0 melt-pool width,um,P,W,median_reference,0,102.928146519,132.9682292044806,2.5151912745187146,128.03845430642392,137.89800410253727,0.5658517868207239,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,1,106.39648881187999,134.03200349981864,2.411444823957626,129.3055716448617,138.7584353547756,0.5401798490178639,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,2,109.86483110476,135.09248265739328,2.312684596866966,130.55962084753403,139.62534446725252,0.5154193314044055,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,3,113.33317339764,136.14905493451596,2.2187997144628238,131.80020749416883,140.4979023748631,0.49170794009189367,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,4,116.80151569051999,137.20107932351277,2.1297425152229703,133.02678399367576,141.37537465334978,0.46920475570598025,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,5,120.26985798339999,138.2478873407024,2.045546777927858,134.2386156559638,142.25715902544098,0.4480918437870188,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,6,123.73820027628,139.28878515670593,1.966341833852162,135.43475516235569,143.14281515105617,0.42857472093374555,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,7,127.20654256915999,140.32305598580072,1.8923596669557816,136.6140310385674,144.03208093303405,0.4108808533408099,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,8,130.67488486204,141.34996265067298,1.8239319331382806,137.77505606172195,144.924869239624,0.39525517469648974,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
width,T0 melt-pool width,um,P,W,median_reference,9,134.14322715492,142.36875025499148,1.7614741376875735,138.91626094512384,145.82123956485913,0.3819515988581269,1.7564819764965023,True,265.691804896,0.6044809881385,56.179604265950005,335.460786154,matern32_learned_nugget,40,True
