target,target_label,input,model_configuration,median_standardized_local_sensitivity,q25_standardized_local_sensitivity,q75_standardized_local_sensitivity,iqr_standardized_local_sensitivity,fraction_positive,fraction_negative,valid_supported_evaluations,population_size,finite_difference_step_fraction_input_sd,interpretation,causal_claim
width,T0 melt-pool width,P,matern32_learned_nugget,0.44131352766726084,0.23509113692853703,0.5937825200749091,0.35869138314637206,1.0,0.0,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
width,T0 melt-pool width,VX,matern32_learned_nugget,-0.6144524518163075,-0.8419023357032525,-0.4228472180943796,0.4190551176088729,0.0,1.0,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
width,T0 melt-pool width,LS,matern32_learned_nugget,0.5274510607137031,0.46930844537712246,0.6405013995873787,0.17119295421025627,1.0,0.0,36,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
width,T0 melt-pool width,ST,matern32_learned_nugget,0.024924004660535137,-0.02454257961289528,0.04663882028580404,0.07118139989869932,0.6216216216216216,0.3783783783783784,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
depth,T0 penetration depth,P,matern32_no_nugget,0.409279057838214,0.22531479300378404,0.7601628087182648,0.5348480157144808,0.9459459459459459,0.05405405405405406,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
depth,T0 penetration depth,VX,matern32_no_nugget,-0.19554541908252818,-0.4024531209191368,-0.1004378665549802,0.3020152543641566,0.21621621621621623,0.7837837837837838,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
depth,T0 penetration depth,LS,matern32_no_nugget,-0.025288086233343533,-0.15584072718201358,0.10570757761355586,0.26154830479556945,0.4444444444444444,0.5555555555555556,36,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
depth,T0 penetration depth,ST,matern32_no_nugget,-0.022129578596475893,-0.1462580426656481,0.10100854724812164,0.24726658991376974,0.4864864864864865,0.5135135135135135,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
total_height,T0 total vertical melt-pool height,P,matern32_no_nugget,0.4137178589898331,0.25554653876465927,0.7607370363167638,0.5051904975521045,0.9459459459459459,0.05405405405405406,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
total_height,T0 total vertical melt-pool height,VX,matern32_no_nugget,-0.21408725071946796,-0.42452936422823845,0.0004984070588534791,0.4250277712870919,0.2702702702702703,0.7297297297297297,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
total_height,T0 total vertical melt-pool height,LS,matern32_no_nugget,0.022405913197115046,-0.15973000559310246,0.15761534730374271,0.3173453528968452,0.5833333333333334,0.4166666666666667,36,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
total_height,T0 total vertical melt-pool height,ST,matern32_no_nugget,-0.024328886690429815,-0.15907604846049664,0.09522554707221906,0.2543015955327157,0.4864864864864865,0.5135135135135135,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
kinetic_energy,T0 melt kinetic energy,P,matern32_learned_nugget,1.0873267400447102,0.8756828359831563,1.314476716300413,0.43879388031725663,1.0,0.0,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
kinetic_energy,T0 melt kinetic energy,VX,matern32_learned_nugget,-0.05475693666937874,-0.12259503714844489,0.08809446542102542,0.2106895025694703,0.32432432432432434,0.6756756756756757,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
kinetic_energy,T0 melt kinetic energy,LS,matern32_learned_nugget,0.16118381424924183,0.06168110321297532,0.295055384699519,0.23337428148654366,0.9166666666666666,0.08333333333333333,36,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
kinetic_energy,T0 melt kinetic energy,ST,matern32_learned_nugget,-0.014820588650649037,-0.04888910139172438,0.08938158905891692,0.1382706904506413,0.4594594594594595,0.5405405405405406,37,40,0.05,predicted target SD per one input SD on fitted GP mean surface,False
