target,input,week6_standardized_coefficient,week6_simulation_count,week6_selected_alpha,new_data_standardized_coefficient,new_data_ci_low,new_data_ci_high,new_data_simulation_count,new_data_selected_alpha,same_sign,new_data_ci_includes_zero,absolute_magnitude_change,comparison_status
width,P,0.4749867526441971,241,1e-06,0.3717098104224388,0.2479329038343964,0.531051905718981,40,1e-06,True,False,-0.10327694222175832,SAME_SIGN_WEAKER
width,VX,-0.7481354128372115,241,1e-06,-0.666787533981409,-0.8396927760800302,-0.5244991612831715,40,1e-06,True,False,-0.08134787885580252,SAME_SIGN_WEAKER
width,LS,0.3730581392954688,241,1e-06,0.6862078297623573,0.5900987244783267,0.8453805292251109,40,1e-06,True,False,0.31314969046688845,SAME_SIGN_STRONGER
width,ST,0.0262198960731801,241,1e-06,0.0022051112510321305,-0.12498709451221489,0.10044960008914718,40,1e-06,True,True,-0.02401478482214797,INCONCLUSIVE_CI_INCLUDES_ZERO
depth,P,0.8187176048603785,241,1.0,0.5654092113014518,0.48135217651062834,0.6401242838060467,40,10.0,True,False,-0.25330839355892665,SAME_SIGN_WEAKER
depth,VX,-0.4997797649322764,241,1.0,-0.19719650299746705,-0.373018604855774,-0.022445088639492048,40,10.0,True,False,-0.30258326193480933,SAME_SIGN_WEAKER
depth,LS,-0.2141664210530731,241,1.0,-0.21491570707681523,-0.30914273179185603,-0.12379417812795795,40,10.0,True,False,0.000749286023742135,SAME_SIGN_SIMILAR
depth,ST,-0.0487558712248503,241,1.0,0.019167820862532176,-0.15342582757714499,0.1997834020608243,40,10.0,False,True,-0.02958805036231812,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,P,0.9725668726693808,241,1e-06,0.9854146286160036,0.9327934110234961,1.0751226481062006,40,1e-06,True,False,0.012847755946622796,SAME_SIGN_SIMILAR
kinetic_energy,VX,-0.0941003238970966,241,1e-06,0.035716632711665613,-0.13806236671959612,0.1978099247810519,40,1e-06,False,True,-0.05838369118543099,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,LS,0.0174181893094601,241,1e-06,0.16325571753575735,0.05049671262230741,0.30318713187649293,40,1e-06,True,False,0.14583752822629725,SAME_SIGN_STRONGER
kinetic_energy,ST,-0.0208541503525669,241,1e-06,0.04106947259647071,-0.051965105400875684,0.17249143065079595,40,1e-06,False,True,0.020215322243903808,INCONCLUSIVE_CI_INCLUDES_ZERO
total_height,P,0.79302715821418,241,1.0,0.7044195574609942,0.6013314614510589,0.8683401375290534,40,1.0,True,False,-0.08860760075318586,SAME_SIGN_WEAKER
total_height,VX,-0.3774459689396791,241,1.0,-0.24529501862474026,-0.5591144851686808,0.01682453363470807,40,1.0,True,True,-0.13215095031493881,INCONCLUSIVE_CI_INCLUDES_ZERO
total_height,LS,-0.0353322462849893,241,1.0,-0.1632498241513121,-0.35778302393144373,-0.018787897465704258,40,1.0,True,False,0.1279175778663228,SAME_SIGN_STRONGER
total_height,ST,-0.0500049657285354,241,1.0,0.006544497940897398,-0.25636131746412744,0.19912033671207413,40,1.0,False,True,-0.043460467787638,INCONCLUSIVE_CI_INCLUDES_ZERO
