experiment_name,partition,dataset_revision,P,VX,LS,ST,observed_depth_um,T0_depth_cv,T0_depth_valid_sample_count,T0_sample_count,flag_primary_window_unstable_week6_rule,flag_depth_bounding_box_ambiguity_candidate,recording_ends_before_90pct_domain,has_keyhole,keyhole_frame_count,keyhole_frames_before_T0,keyhole_frames_inside_T0,keyhole_frames_after_T0,keyhole_overlaps_T0,keyhole_timing_relative_to_T0,G3_persistent_depth_um,R3_persistent_depth_width_ratio,G3_event_row_index,max_depth_um,max_depth_minus_G3_um,max_depth_over_G3,max_depth_relative_to_T0,T0_start_row_index,T0_end_row_index,T0_start_time_s,T0_end_time_s,prediction__matern32_no_nugget,residual__matern32_no_nugget,absolute_residual__matern32_no_nugget,squared_error__matern32_no_nugget,residual_rank__matern32_no_nugget,prediction__matern32_learned_nugget,residual__matern32_learned_nugget,absolute_residual__matern32_learned_nugget,squared_error__matern32_learned_nugget,residual_rank__matern32_learned_nugget,prediction__matern52_no_nugget,residual__matern52_no_nugget,absolute_residual__matern52_no_nugget,squared_error__matern52_no_nugget,residual_rank__matern52_no_nugget,top20_configuration_count,consensus_mean_residual_rank,consensus_max_residual_rank,consensus_hard_case,mean_absolute_residual_across_models,keyhole_segment_count,maximum_keyhole_segment_frames,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,102.928146519,0.633805217924,52.939436669900005,318.223787128,38.97961,0.0693851413488955,15892.0,15892.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,42.87279,0.3434062066658582,78597.0,43.09636,0.2235699999999951,1.0052147294356162,before_T0,78840.0,94731.0,0.001432431,0.001721024,41.93293276537405,-2.953322765374047,2.953322765374047,8.722115356476607,112,41.681814994984464,-2.702204994984463,2.702204994984463,7.301911834918981,109,43.15385538033222,-4.174245380332216,4.174245380332216,17.424324495224848,108,0,109.66666666666667,112.0,False,3.276591046896909,0,0,False,False,False
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,109.741517589,0.915030812968,79.97596624090001,303.804431165,26.90932,0.0033751806166917,10971.0,10971.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,27.06171,0.2349188794358042,54010.0,27.37239,0.3106800000000014,1.011480427511787,before_T0,54636.0,65606.0,0.0009928672,0.001192091,40.25418499075677,-13.344864990756768,13.344864990756768,178.08542162152563,44,37.22452834799249,-10.315208347992488,10.315208347992488,106.40352326249392,51,48.72966282264762,-21.820342822647618,21.820342822647618,476.1273608978694,29,0,41.333333333333336,51.0,False,15.160138720465625,0,0,False,False,False
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,111.098510779,0.492021331775,48.0108469254,345.911753718,46.872595,0.0579041828212107,19218.0,19218.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,54.67908,0.4051871163927301,64037.0,54.88141,0.2023300000000034,1.0037003182935778,before_T0,96382.0,115599.0,0.001751008,0.002100003,47.6899429063037,-0.8173479063037021,0.8173479063037021,0.6680575999390455,148,48.59199836239711,-1.7194033623971094,1.7194033623971094,2.9563479226224856,132,47.44149196912698,-0.5688969691269818,0.5688969691269818,0.3236437614818661,156,0,145.33333333333334,156.0,False,1.035216079275931,0,0,False,False,False
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,113.729503671,0.646987288946,82.8088886776,328.878079062,34.473155000000006,0.05348987036007,15594.0,15594.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,34.874810000000004,0.2280766144011019,37312.0,35.401709999999994,0.5268999999999906,1.0151083260381917,before_T0,77207.0,92800.0,0.001402774,0.001685956,38.78395784130053,-4.310802841300529,4.310802841300529,18.58302113656471,86,38.33742992493332,-3.864274924933312,3.864274924933312,14.932620695468357,90,40.62166900095575,-6.148514000955743,6.148514000955743,37.8042244199488,79,0,85.0,90.0,False,4.774530589063194,0,0,False,False,False
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,115.973342836,0.629021136955,58.1694798744,308.264473639,42.71745,0.070208239895626,16061.0,16061.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,46.86994,0.3474605610893356,65119.0,47.09942,0.2294800000000023,1.004896101851208,before_T0,79392.0,95452.0,0.001442456,0.001734118,41.55076004370309,1.1666899562969064,1.1666899562969064,1.3611654541240774,143,42.74107259871148,-0.0236225987114764,0.0236225987114764,0.0005580271698834,164,40.55578574326178,2.16166425673822,2.16166425673822,4.672792358859601,132,0,146.33333333333334,164.0,False,1.1173256039155344,0,0,False,False,False
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,117.204089079,0.299188895548,66.1946140465,399.004242061,54.719100000000005,0.0018986851080289,16940.0,16940.0,False,False,True,False,0,0.0,0.0,0.0,False,no_Keyhole,54.809000000000005,0.2942614195170074,102242.0,54.9824,0.1733999999999937,1.0031637139885785,before_T0,98660.0,115599.0,0.001792378,0.002100003,61.8978023620481,-7.178702362048099,7.178702362048099,51.53376760287496,62,57.94548511820393,-3.226385118203929,3.226385118203929,10.40956093096778,98,72.04451942561724,-17.325419425617234,17.325419425617234,300.170158273555,40,0,66.66666666666667,98.0,False,9.24350230195642,0,0,False,False,False
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,118.239150472,0.728951155133,55.9862781201,395.421202378,42.71263,0.0370748928444051,13851.0,13851.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,46.76281,0.3674138030538265,55373.0,46.944770000000005,0.1819600000000036,1.0038911263031456,before_T0,68512.0,82362.0,0.001244866,0.001496393,42.91243847191546,-0.1998084719154604,0.1998084719154604,0.0399234254491913,160,41.0191198067539,1.693510193246098,1.693510193246098,2.8679767746284366,133,46.100590335416406,-3.387960335416409,3.387960335416409,11.478275234354866,119,0,137.33333333333334,160.0,False,1.760426333525989,0,0,False,False,False
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,119.523515535,0.859779155666,67.0931710444,392.874711106,38.07826,0.04729581901328,11737.0,11737.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,38.77427,0.3044454526543478,44811.0,38.90503,0.1307600000000093,1.0033723394405625,before_T0,58088.0,69824.0,0.001055558,0.001268693,41.19583011945562,-3.117570119455621,3.117570119455621,9.719243449722535,109,40.52906506549738,-2.450805065497377,2.450805065497377,6.006445469067604,118,43.6681975976039,-5.5899375976039,5.5899375976039,31.24740234510565,85,0,104.0,118.0,False,3.719437594185633,0,0,False,False,False
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,120.079917874,0.610410046914,82.9242579558,398.6729924,38.589385,0.0496437117075846,16576.0,16576.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,38.92551,0.2417858911879544,55187.0,39.06833,0.1428200000000004,1.0036690591850947,inside_T0,81788.0,98363.0,0.001485969,0.001786984,46.18418509273806,-7.594800092738062,7.594800092738062,57.68098844865408,61,44.27291512426389,-5.683530124263889,5.683530124263889,32.3025146734151,71,51.708312270727085,-13.118927270727085,13.118927270727085,172.1062527346268,50,0,60.666666666666664,71.0,False,8.799085829243012,0,0,False,False,False
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,120.906267006,0.64748664338,60.3748750968,359.518818343,43.11279,0.0654887781649824,15618.0,15618.0,False,False,False,False,0,0.0,0.0,0.0,False,no_Keyhole,46.904770000000006,0.3383151796770374,71160.0,47.09125,0.1864799999999888,1.0039757150498765,before_T0,77112.0,92729.0,0.001401049,0.001684666,43.57355317026718,-0.4607631702671853,0.4607631702671853,0.2123026990746671,154,42.69845263143186,0.4143373685681339,0.4143373685681339,0.1716754549919656,149,45.1842633882711,-2.0714733882711016,2.0714733882711016,4.291001998315358,133,0,145.33333333333334,154.0,False,0.9821913090354736,0,0,False,False,False
