grouping,group,model,n,MAE,RMSE,median_absolute_error,q75_absolute_error,q90_absolute_error,q95_absolute_error,maximum_absolute_error,observed_depth_min_um,observed_depth_max_um
observed_depth_quantile,Q1_shallow,matern32_no_nugget,41,4.647361963034823,8.466408436329134,3.2956830473651593,5.383698100235385,8.496320728202733,10.07410413452056,45.219903729935005,26.90932,58.74257
observed_depth_quantile,Q2,matern32_no_nugget,41,5.166177634530898,9.511410071583283,2.3421593252862607,4.29813631347109,16.513705178552897,19.947461200744712,43.265557790215766,58.764745,74.73733
observed_depth_quantile,Q3,matern32_no_nugget,41,12.632290368057328,19.90587004897397,6.731317396499833,13.491846794704259,35.23922182646072,46.52247271917267,63.4183562050916,74.74561,100.2409
observed_depth_quantile,Q4_deep,matern32_no_nugget,41,25.00862648858895,34.88643863253399,17.16758023537278,32.159451435887604,61.305260244467945,68.32493570257542,121.56615235514471,102.2477,300.5299
observed_depth_quantile,Q1_shallow,matern32_learned_nugget,41,4.357058174184672,9.662547617856651,2.734989306169389,4.123401688065201,6.828709460420619,8.985543715324859,56.608977984130426,26.90932,58.74257
observed_depth_quantile,Q2,matern32_learned_nugget,41,5.055335626602192,9.51690519157244,2.5924252417179616,4.003029590451675,15.79525958864668,20.50635949427989,43.602584273636296,58.764745,74.73733
observed_depth_quantile,Q3,matern32_learned_nugget,41,13.48172465818249,22.958255963200738,6.176529105942365,14.490766264550714,35.431758809873386,43.81660100353534,82.51511956936784,74.74561,100.2409
observed_depth_quantile,Q4_deep,matern32_learned_nugget,41,24.85574533229375,34.51622738969652,17.13859627477035,31.341578829383906,60.19627330030724,64.26430842614086,122.11549332935994,102.2477,300.5299
observed_depth_quantile,Q1_shallow,matern52_no_nugget,41,5.980869760937782,8.220401813417272,4.333911334282682,7.063995314352738,13.871196557849949,17.325419425617234,24.661912754954777,26.90932,58.74257
observed_depth_quantile,Q2,matern52_no_nugget,41,5.792121422056521,9.828566478114448,3.526787003397885,5.543862204154706,18.121112775857668,21.10858781437034,42.170596698509115,58.764745,74.73733
observed_depth_quantile,Q3,matern52_no_nugget,41,12.610915744152537,18.42420659369763,7.955874300611626,14.211398663055718,33.85708412908156,47.73193662449995,50.64553863691904,74.74561,100.2409
observed_depth_quantile,Q4_deep,matern52_no_nugget,41,26.15697091648922,35.655027789622686,21.621179358571226,33.8733640369596,64.0379949197798,74.1307976676304,118.50114559371713,102.2477,300.5299
