target,target_label,target_unit,grid_index,P,VX,predicted_mean,predictive_std,nearest_training_distance_standardized,inside_pairwise_convex_hull,within_observed_support,plot_value_masked_outside_support,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
depth,T0 penetration depth,um,0,102.928146519,0.20359066256,65.8072473556264,34.02369059854876,0.866150585774488,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,1,114.48928749526667,0.20359066256,66.04849064365759,33.14030107165283,0.8437295921443767,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,2,126.05042847153334,0.20359066256,66.43494379231792,32.55530429155278,0.8358336513864021,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,3,137.61156944779998,0.20359066256,66.96381632296678,32.265593798800325,0.8428710705837024,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,4,149.17271042406668,0.20359066256,67.63048389935682,32.231200375412584,0.8644772242061032,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,5,160.73385140033332,0.20359066256,68.42943419801666,32.38378546101428,0.899603013235529,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,6,172.2949923766,0.20359066256,69.35561543467622,32.64201855887157,0.94674482960351,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,7,183.85613335286666,0.20359066256,70.40613273549094,32.9276267211744,1.004211852173981,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,8,195.41727432913333,0.20359066256,71.58223945047484,33.177404872105235,1.070342280029896,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,9,206.9784153054,0.20359066256,72.89160020054061,33.349661180587724,1.1436342201506902,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,10,218.53955628166668,0.20359066256,74.35082370543466,33.42580293355825,1.1372931325873135,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
depth,T0 penetration depth,um,11,230.10069725793335,0.20359066256,75.98824083534817,33.40840084961472,1.084927175113341,False,False,,56.179604265950005,335.460786154,matern32_no_nugget,40,True
