experiment_name,P,VX,LS,ST,observed_depth_um,primary_absolute_depth_error_um,primary_depth_error_rank,nearest_neighbor_distance_standardized,median_3nn_distance_standardized,median_5nn_distance_standardized,local_5nn_depth_std_um,local_5nn_depth_range_um,consensus_hard_case
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,102.928146519,0.633805217924,52.939436669900005,318.223787128,38.97961,2.702204994984463,109,0.49160638790048805,0.6896032365044062,0.7193014012133201,6.293005293867946,15.782539999999997,False
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,109.741517589,0.915030812968,79.97596624090001,303.804431165,26.90932,10.315208347992488,51,1.0345808523685058,1.0691789915785588,1.4716925298807626,10.501100046151475,24.269414999999995,False
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,111.098510779,0.492021331775,48.0108469254,345.911753718,46.872595,1.7194033623971094,132,0.7955987906095248,0.974168002049832,1.008686139243876,10.02294839403082,23.437374999999996,False
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,113.729503671,0.646987288946,82.8088886776,328.878079062,34.473155000000006,3.864274924933312,90,0.6743383079925411,0.7631729232467489,0.9945327946741886,4.209473252742557,8.836020000000005,False
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,115.973342836,0.629021136955,58.1694798744,308.264473639,42.71745,0.0236225987114764,164,0.49160638790048805,0.8569786709320215,0.8673405828937047,8.079454735656979,19.56339,False
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,117.204089079,0.299188895548,66.1946140465,399.004242061,54.719100000000005,3.226385118203929,98,0.9484421872661607,1.286418812591964,1.2910572927912758,14.468429839327504,31.681255,False
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,118.239150472,0.728951155133,55.9862781201,395.421202378,42.71263,1.693510193246098,133,0.936194441294209,0.9473178553336974,1.0156514172969795,10.688945250171436,28.036485,False
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,119.523515535,0.859779155666,67.0931710444,392.874711106,38.07826,2.450805065497377,118,0.7398786770264457,0.936194441294209,1.0531142775832867,6.823600088728457,15.867275,False
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,120.079917874,0.610410046914,82.9242579558,398.6729924,38.589385,5.683530124263889,71,0.9806315323965388,1.0104202003830989,1.2213369112372585,12.787808148237618,31.970805,False
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,120.906267006,0.64748664338,60.3748750968,359.518818343,43.11279,0.4143373685681339,149,0.5696314848549981,0.9880703692450763,1.0533179285680718,2.199277187493656,4.908105000000006,False
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,122.181848607,0.882188233955,49.840839933400005,370.38962934,42.580775,6.828709460420619,62,0.7433989751923479,1.1040651314270453,1.1479025781248682,8.026725860833919,15.967880000000001,False
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,124.08408212,0.537482635976,53.6452858207,384.350705088,46.98435,5.433098531542214,72,0.5342530842146668,0.9473178553336974,1.0533179285680718,17.403117157953847,39.627715,False
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,126.384227376,0.205870034079,45.5514058242,348.956388187,58.710765,56.608977984130426,8,1.0923321022256482,1.2378806683919483,1.305770024584352,14.185443396704684,35.46775,True
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,129.716882801,0.574107735504,55.5330779174,369.509713723,47.43797,1.004165713474606,144,0.5342530842146668,0.5696314848549981,0.9067697821771665,16.73998017037767,39.227555,False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,131.192514944,0.432823544687,67.22366832659999,324.578264519,54.79085,6.297500837049789,64,0.8303858892108038,0.9173086666727783,1.117695693233529,14.399571531759028,39.929,False
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,132.334528879,0.441351904611,80.5471929698,380.80221881,50.87139500000001,5.695325748484137,70,0.6030359588401377,0.6601349544695259,0.849437406375803,17.33904815240178,40.07622,False
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,132.644034819,0.797235702485,46.520297442,303.62522115,46.68914,3.7340353589222985,92,0.3909105217503049,0.7102477180548483,0.7149808072660777,6.482911570557631,15.817410000000002,False
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,140.236446589,0.550532928497,79.18651650460001,370.758962256,46.6948,0.2175565480978107,161,0.3529267889622644,0.6030359588401377,0.7613198177492624,9.810616348757351,23.972460000000005,False
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,143.707582907,0.952433280409,88.09489228390001,329.530804101,34.780725,0.3843143736213577,151,0.6165233087001075,0.9792006933549935,1.0353179579851246,13.10609275667142,32.04099,False
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,144.087720513,0.415546267467,50.2923295381,327.07537462,62.416985,4.003029590451675,86,0.7903309759761459,0.7955987906095248,1.086868936877584,39.939741293879145,99.59628999999998,False
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,148.299467422,0.674162518859,57.557139752000005,331.520012414,51.7807,2.79256059405526,105,0.6652683811674431,0.6773739519891729,0.6924128559373506,10.382964284008926,26.394264999999997,False
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,150.071418192,0.423845414489,86.7749479825,322.128190627,58.764745,0.3198055617612283,156,0.9671735603323909,1.0094306470059773,1.0259736602845417,22.11167438172412,55.94180499999999,False
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,155.252053768,0.916931554055,73.5634948929,366.816583574,42.78011,2.4873935894001846,117,0.6574194236123476,0.6691831988097838,0.7016698634768195,7.370796664793434,20.369790000000002,False
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,155.610380822,0.863747905944,48.2199969556,303.817651114,50.43674,0.7393518963981407,146,0.3909105217503049,0.48096387814509844,0.792296953381709,7.08602430489763,15.969729999999991,False
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,157.183722649,0.714259673467,73.8607203139,347.368293375,50.11429,2.0127717076035765,126,0.7558015311045087,0.9018301413921468,0.9413709126640649,6.929917206256867,14.720275,False
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,160.605564338,0.585171267024,48.921808400100005,323.833105745,58.49999,6.894686633556631,61,0.6883916278194542,0.6896032365044062,0.7455598524947413,9.734401777388275,23.80279,False
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,162.142815649,0.926926325143,64.92348915369999,377.454931887,46.77227,0.2801421010462093,157,0.657861835769141,0.6691831988097838,0.7398786770264457,8.064297392774215,20.369790000000002,False
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,163.562272254,0.729793018519,51.0150522361,318.261957537,54.79702,3.878037213471551,89,0.4976826862483179,0.6486594784611522,0.6773739519891729,6.442889413018044,16.09326,False
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,164.187091551,0.507792014735,69.21641679759999,301.020288893,58.543,6.208200583906866,65,0.28600188924427145,0.9173086666727783,1.048445644399915,17.70129827226325,47.697509999999994,False
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,164.607131174,0.867199563125,53.2762751968,314.058214573,50.78344,1.8352756286329068,130,0.48096387814509844,0.6486594784611522,0.7149808072660777,7.145031652771031,15.969729999999991,False
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,166.111836501,0.454755470987,71.3150844087,303.391516497,66.5654,4.822726665432185,79,0.28600188924427145,0.8303858892108038,1.0630732125723266,14.185675744466666,35.624109999999995,False
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,167.350234557,0.509305540745,77.92842608950001,367.465417979,58.61101,2.734989306169389,108,0.3529267889622644,0.6345224379459494,0.6601349544695259,11.307438372180943,28.077340000000007,False
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,168.279672268,0.662944494492,85.1138696034,361.222757169,50.79968,0.3346265275835662,154,0.3271260130300392,0.7613198177492624,0.8584594368563757,5.977663424924492,14.00047,False
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,172.471893954,0.300060565388,54.5268436948,394.546009672,70.71863,15.79525958864668,38,0.7276537322147748,0.9484421872661607,1.2160433315706358,68.36446018337035,167.16135,False
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,173.043282634,0.866796851528,69.63906836139999,349.021338305,50.6536,0.3819587378792732,152,0.7016698634768195,0.7558015311045087,0.769122818744226,8.022451810125133,19.953850000000003,False
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,173.906668607,0.677544388934,86.2016404031,334.396108383,50.79225,0.2186660179638764,160,0.5076786464841194,0.5620726952490976,0.6743383079925411,10.094451200719133,24.477154999999996,False
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,177.821134596,0.63969291749,87.6195222961,320.228793407,54.66565,1.584876375965095,134,0.5076786464841194,0.7631729232467489,0.8073088015692316,13.361716379036507,36.20068499999999,False
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,185.872045369,0.416268682161,71.55646921440001,371.982346013,74.77214000000001,12.891264976579464,43,0.6345224379459494,0.849437406375803,0.8573652568182233,14.00380295691254,31.970805,False
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,187.255870651,0.828194463092,46.4611349328,375.783913497,58.45098,8.985543715324859,54,0.7433989751923479,0.9292802816692622,0.9389372537207815,13.344850010485038,28.062725,False
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,198.376734591,0.636800402216,84.0585875992,361.411435367,60.69527,1.045798918115686,143,0.3271260130300392,0.5971041673557143,0.7878997683732022,13.22179487195101,28.23593000000001,False
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,199.601335125,0.449852506485,57.030843283,364.706449651,82.340345,1.2412051450211692,139,0.7784845157311139,0.8575259030133915,0.8949395632242707,14.787126158599243,39.262575000000005,False
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,203.030488295,0.654564663741,63.9602473907,333.568221635,65.373875,2.621839511674388,111,0.4327083287624155,0.6215846046266426,0.6924128559373506,8.969656376393829,22.816034999999992,False
P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,203.317554156,0.724937635215,54.0301996917,325.306920736,62.7824,2.9286055420231776,103,0.4976826862483179,0.6561172958692412,0.6652683811674431,9.007415076592727,22.74017,False
P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,204.071587815,0.957219619336,88.582220221,334.090301355,46.86536,3.136090173891155,100,0.6165233087001075,0.6543726988203451,0.8755042695453522,9.813994107657827,24.169585000000005,False
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,207.432942583,0.674802143379,57.4396795379,382.34582068,66.114745,7.665298100630942,58,0.4517753685751303,0.5895737934511861,0.6923873362116543,15.336309153755673,31.355520000000006,False
