benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,12,0.3956,0.8491,0.144633993620371,0.04001869999956398,0.474,1000,0.832,0.14393192460819812,0.462,2000,0.837,0.14484734292825024,0.447,3000,0.837,0.14447990491772272
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,13,0.3374,0.9264,0.17411152427461363,0.03935099999944214,0.487,1000,0.95,0.1792104140544989,0.4585,2000,0.9405,0.17947245567706158,0.447,3000,0.9343333333333333,0.17905614657877028
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,14,0.3267,0.9052,0.16363114347076216,0.03903159999936179,0.484,1000,0.947,0.17463242875782176,0.457,2000,0.9385,0.17436588653549914,0.43966666666666665,3000,0.9326666666666666,0.17334235062986045
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,15,0.3346,0.8975,0.15702774157754135,0.039138599999205326,0.485,1000,0.944,0.1655301559063438,0.459,2000,0.9355,0.1658051009126515,0.43733333333333335,3000,0.9276666666666666,0.16460782233193744
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,16,0.3355,0.864,0.1459847815773844,0.039953899999090936,0.485,1000,0.907,0.1506305107153726,0.461,2000,0.9005,0.15152031362316573,0.439,3000,0.8926666666666667,0.15078248180891587
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,17,0.3398,0.8349,0.13710044421809256,0.038775999999415944,0.484,1000,0.881,0.1414666116716698,0.4615,2000,0.87,0.14285059451146326,0.44,3000,0.865,0.14202360879737116
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,18,0.309,0.9048,0.16174970972871358,0.052561700000296696,0.473,1000,0.932,0.16639836288719678,0.449,2000,0.9225,0.16676528967301096,0.43033333333333335,3000,0.9156666666666666,0.16639196693816824
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,19,0.2682,0.8821,0.15392670872304862,0.04883719999997993,0.462,1000,0.929,0.16791112881730147,0.4295,2000,0.9195,0.16746132527716265,0.4063333333333333,3000,0.9136666666666666,0.16602423516573678
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,20,0.298,0.9087,0.1631167682207049,0.05114010000033886,0.465,1000,0.931,0.16995988728591763,0.44,2000,0.928,0.1711002689659755,0.4206666666666667,3000,0.925,0.1697091000962748
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,21,0.2949,0.8873,0.1567539513387874,0.053708400000687107,0.463,1000,0.926,0.16473311131482324,0.4375,2000,0.9185,0.16583462094156523,0.4186666666666667,3000,0.9143333333333333,0.16425700928427103
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,22,0.2888,0.8675,0.15057401144431065,0.05305369999950926,0.468,1000,0.899,0.15557496343946411,0.4385,2000,0.893,0.15721578685435497,0.4166666666666667,3000,0.8913333333333333,0.1558769096380212
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,23,0.2875,0.8349,0.1402847613561673,0.04584459999932733,0.463,1000,0.884,0.14913753025277005,0.4385,2000,0.8805,0.15032645718378762,0.413,3000,0.8756666666666667,0.1481303386426814
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,24,0.2789,0.7696,0.12596336102704161,0.04846390000056999,0.456,1000,0.818,0.13658370340111822,0.431,2000,0.821,0.1370370416828325,0.404,3000,0.8136666666666666,0.13385475938660266
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,25,0.273,0.7466,0.12182152725427509,0.0531369000000268,0.455,1000,0.797,0.13329266538208856,0.4315,2000,0.7995,0.13376039580959354,0.4026666666666667,3000,0.7916666666666666,0.13036976071824577
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,26,0.2672,0.6938,0.10934346671194999,0.04535109999960696,0.463,1000,0.781,0.1230242455389313,0.432,2000,0.777,0.12378214642726605,0.407,3000,0.7663333333333333,0.12034473320228718
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,27,0.2639,0.6502,0.10121364208002312,0.048773200000141514,0.462,1000,0.745,0.1163173650102176,0.434,2000,0.742,0.11691176345919226,0.4066666666666667,3000,0.725,0.11328702720323729
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,28,0.2668,0.6619,0.10353885534543548,0.059941299999991315,0.463,1000,0.756,0.11739875257993646,0.434,2000,0.75,0.11812748889493505,0.4093333333333333,3000,0.7353333333333333,0.11478295268327914
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,29,0.2663,0.6348,0.09892155956467448,0.05644639999991341,0.46,1000,0.72,0.11232484338217362,0.432,2000,0.7175,0.11265752321682798,0.4083333333333333,3000,0.7026666666666667,0.10939417391856299
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,30,0.2689,0.6119,0.09542693602770007,0.06267850000040198,0.461,1000,0.705,0.10952378546175646,0.4335,2000,0.704,0.1100343678243754,0.4073333333333333,3000,0.6896666666666667,0.10669625648714177
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,31,0.2452,0.5906,0.08904423072721386,0.06437889999870094,0.462,1000,0.703,0.10988379418661169,0.4295,2000,0.7015,0.11009893950224132,0.4023333333333333,3000,0.688,0.10629208757220408
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,32,0.2464,0.5989,0.09034289362796237,0.06726600000001781,0.462,1000,0.7,0.10839175265323792,0.431,2000,0.7015,0.10907367515048591,0.4053333333333333,3000,0.6883333333333334,0.10560847924204847
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,33,0.2464,0.5559,0.08350371007306012,0.05572079999910784,0.456,1000,0.677,0.1038705619967626,0.4315,2000,0.6765,0.10447374014417031,0.4043333333333333,3000,0.6613333333333333,0.10079191516814595
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,34,0.248,0.5352,0.080481014951033,0.06032750000122178,0.458,1000,0.655,0.09965372964480719,0.433,2000,0.656,0.10027045864419631,0.407,3000,0.6396666666666667,0.0966588404841926
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,35,0.2233,0.6276,0.09396890677268131,0.054090700001324876,0.465,1000,0.756,0.11721417142192851,0.427,2000,0.7585,0.1181617508973047,0.39466666666666667,3000,0.7453333333333333,0.11544728284652446
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,36,0.2182,0.623,0.09313283810508834,0.07206249999944703,0.472,1000,0.759,0.11748719136617661,0.433,2000,0.76,0.11854872402522669,0.40066666666666667,3000,0.75,0.11606401778400285
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,37,0.2162,0.5827,0.08615364034122629,0.07453630000054545,0.476,1000,0.739,0.11343403685781635,0.432,2000,0.7405,0.11435577932379304,0.3993333333333333,3000,0.7273333333333334,0.11141606436591253
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,38,0.2181,0.5559,0.08201784598667777,0.06889500000033877,0.474,1000,0.716,0.10808405189716232,0.434,2000,0.7155,0.10906937248964008,0.4013333333333333,3000,0.6993333333333334,0.1062160914240986
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,39,0.224,0.6652,0.101095948710906,0.06657199999972363,0.483,1000,0.78,0.12434723392437265,0.439,2000,0.7805,0.1251329949798066,0.41133333333333333,3000,0.765,0.12300711529844059
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,40,0.2145,0.6511,0.0983384763100285,0.060597299998335075,0.47,1000,0.783,0.12658190106818928,0.434,2000,0.7815,0.12753222655544477,0.4043333333333333,3000,0.765,0.12523243599082598
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,0,41,0.2162,0.6326,0.09544764442294365,0.0561587000011059,0.468,1000,0.766,0.12360633064089484,0.4335,2000,0.7655,0.12451352324922399,0.405,3000,0.7496666666666667,0.12222160308302904
