effect,budget,subset,metric,mean,ci_lower,ci_upper
TOTAL,16,B1_q20,accuracy,0.05294117647058823,0.028235294117647053,0.07823529411764704
TOTAL,16,B1_q20,balanced_accuracy,0.08446746309246309,0.05865931013431013,0.11134454503829504
TOTAL,16,B1_q20,conduction_recall,-0.055676184926184924,-0.0773473242035742,-0.03421331585081585
TOTAL,16,B1_q20,false_negative,-1.49,-1.7700000000000002,-1.22
TOTAL,16,B1_q20,false_positive,0.59,0.36,0.8400000000000001
TOTAL,16,B1_q20,keyhole_recall,0.2246111111111111,0.18223730158730156,0.26768660714285714
TOTAL,16,B1_q30,accuracy,0.04240000000000001,0.022400000000000007,0.0632
TOTAL,16,B1_q30,balanced_accuracy,0.09120952063502372,0.06773740591355237,0.11633212785773736
TOTAL,16,B1_q30,conduction_recall,-0.044863787012780834,-0.060923237876459625,-0.028340518575851396
TOTAL,16,B1_q30,false_negative,-1.83,-2.1799999999999997,-1.51
TOTAL,16,B1_q30,false_positive,0.77,0.4800000000000001,1.0699999999999998
TOTAL,16,B1_q30,keyhole_recall,0.2272828282828283,0.18739188311688315,0.26978607503607505
TOTAL,16,full81,accuracy,0.01333333333333333,0.005679012345679004,0.02086728395061726
TOTAL,16,full81,balanced_accuracy,0.06292553466434066,0.048727130580861915,0.07795220811526783
TOTAL,16,full81,conduction_recall,-0.014434644957033001,-0.01956360244233376,-0.009163218000904562
TOTAL,16,full81,false_negative,-2.04,-2.4400000000000004,-1.6800000000000002
TOTAL,16,full81,false_positive,0.96,0.61,1.2999999999999998
TOTAL,16,full81,keyhole_recall,0.14028571428571424,0.11490476190476191,0.1684297619047619
TOTAL,20,B1_q20,accuracy,0.05235294117647056,0.03705882352941174,0.06764705882352937
TOTAL,20,B1_q20,balanced_accuracy,0.07078968253968256,0.04721218573093574,0.09277362498612499
TOTAL,20,B1_q20,conduction_recall,5.5555555555570486e-05,-0.02633606254856253,0.026737980769230785
TOTAL,20,B1_q20,false_negative,-0.8899999999999999,-1.2300000000000002,-0.56
TOTAL,20,B1_q20,false_positive,-2.2204460492503132e-17,-0.27,0.27999999999999997
TOTAL,20,B1_q20,keyhole_recall,0.1415238095238095,0.08529285714285714,0.19850158730158723
TOTAL,20,B1_q30,accuracy,0.03720000000000001,0.023600000000000006,0.05
TOTAL,20,B1_q30,balanced_accuracy,0.06317007667684914,0.04218294260456608,0.08506252473876312
TOTAL,20,B1_q30,conduction_recall,-0.011245705232160345,-0.029839131636122736,0.007890143096712364
TOTAL,20,B1_q30,false_negative,-1.1,-1.5199999999999998,-0.7100000000000002
TOTAL,20,B1_q30,false_positive,0.16999999999999996,-0.13999999999999999,0.48999999999999994
TOTAL,20,B1_q30,keyhole_recall,0.13758585858585864,0.08843939393939396,0.19034328102453105
TOTAL,20,full81,accuracy,0.013580246913580247,0.008148148148148161,0.018641975308641954
TOTAL,20,full81,balanced_accuracy,0.04149153582735674,0.027781154293467756,0.05558229550300445
TOTAL,20,full81,conduction_recall,-0.0021121664405246597,-0.007704658525554059,0.0033469583898688223
TOTAL,20,full81,false_negative,-1.2400000000000002,-1.69,-0.8100000000000002
TOTAL,20,full81,false_positive,0.13999999999999996,-0.23000000000000004,0.51
TOTAL,20,full81,keyhole_recall,0.08509523809523808,0.05537976190476191,0.11680952380952381
TOTAL,30,B1_q20,accuracy,0.02588235294117645,0.009999999999999992,0.03999999999999998
TOTAL,30,B1_q20,balanced_accuracy,0.031006854256854254,0.015803110084360084,0.045858157467532454
TOTAL,30,B1_q20,conduction_recall,0.008989898989899003,-0.012302753496503487,0.0299239024864025
TOTAL,30,B1_q20,false_negative,-0.36,-0.5599999999999999,-0.16
TOTAL,30,B1_q20,false_positive,-0.08000000000000002,-0.30000000000000004,0.14999999999999997
TOTAL,30,B1_q20,keyhole_recall,0.05302380952380953,0.022432440476190477,0.08260744047619048
TOTAL,30,B1_q30,accuracy,0.0172,0.005599999999999992,0.0284
TOTAL,30,B1_q30,balanced_accuracy,0.027908702516094154,0.014504419184938715,0.04123447704041744
TOTAL,30,B1_q30,conduction_recall,0.0003928018575851332,-0.0137249129256966,0.01465463167723227
TOTAL,30,B1_q30,false_negative,-0.43,-0.63,-0.22000000000000003
TOTAL,30,B1_q30,false_positive,-8.326672684688674e-18,-0.24,0.24999999999999994
TOTAL,30,B1_q30,keyhole_recall,0.05542460317460317,0.028824864718614722,0.08182238455988454
TOTAL,30,full81,accuracy,0.008765432098765426,0.003827160493827179,0.013827160493827154
TOTAL,30,full81,balanced_accuracy,0.02350865800865801,0.012750893260967887,0.03612112327970536
TOTAL,30,full81,conduction_recall,0.0003030303030302959,-0.0036386250565354967,0.004373586612392568
TOTAL,30,full81,false_negative,-0.69,-1.07,-0.36
TOTAL,30,full81,false_positive,-0.020000000000000004,-0.29000000000000004,0.25
TOTAL,30,full81,keyhole_recall,0.04671428571428572,0.02385595238095239,0.07128690476190476
TOTAL,40,B1_q20,accuracy,0.017058823529411758,0.0035294117647058825,0.029411764705882342
TOTAL,40,B1_q20,balanced_accuracy,0.015830322455322465,0.0010405934343434451,0.029862546481296492
TOTAL,40,B1_q20,conduction_recall,0.014624930624930647,0.0009451028138528344,0.02830572066822067
TOTAL,40,B1_q20,false_negative,-0.15,-0.32999999999999996,0.020000000000000007
TOTAL,40,B1_q20,false_positive,-0.14,-0.28,-5.551115123125783e-18
TOTAL,40,B1_q20,keyhole_recall,0.017035714285714283,-0.011754166666666673,0.04668273809523809
TOTAL,40,B1_q30,accuracy,0.007199999999999998,-0.0012000000000000036,0.0156
TOTAL,40,B1_q30,balanced_accuracy,0.009075275708983145,-0.0017355895974510438,0.02060621333162451
TOTAL,40,B1_q30,conduction_recall,0.0025185167859316376,-0.006574092896267829,0.012040367616344782
TOTAL,40,B1_q30,false_negative,-0.14000000000000004,-0.32999999999999996,0.05
TOTAL,40,B1_q30,false_positive,-0.039999999999999994,-0.19000000000000003,0.10999999999999999
TOTAL,40,B1_q30,keyhole_recall,0.01563203463203463,-0.007307242063492074,0.04082946428571429
TOTAL,40,full81,accuracy,0.004320987654320979,0.0007407407407407339,0.008395061728395051
TOTAL,40,full81,balanced_accuracy,0.010671480261032524,0.0013607029786134588,0.021924327227498885
TOTAL,40,full81,conduction_recall,0.0006286748077792859,-0.0016395296246042434,0.0028991406603346894
TOTAL,40,full81,false_negative,-0.30999999999999994,-0.6500000000000001,-0.039999999999999994
TOTAL,40,full81,false_positive,-0.039999999999999994,-0.19,0.11000000000000001
TOTAL,40,full81,keyhole_recall,0.020714285714285713,0.0017607142857142778,0.04480952380952381
TOTAL,60,B1_q20,accuracy,0.007058823529411761,-1.0260889360402791e-17,0.01411764705882353
TOTAL,60,B1_q20,balanced_accuracy,0.006241452991452984,-0.0015688058469308572,0.013609734015984002
