benchmark,metric,best_optimized_classifier_variant,best_optimized_classifier_method,best_optimized_classifier_value,regressor_reference_method,regressor_reference_value,regressor_reference_source,optimized_classifier_beats_regressor_reference
branin,global_error,optimized_ard_gpc,classifier_gated_diversity,0.035150,lookahead_boundary_uncertainty_reduction,0.055900,outputs\week5_2_lookahead_boundary_uncertainty\branin\final_metrics_table.csv,True
branin,near_boundary_error_q20,optimized_ard_gpc,classifier_gated_diversity,0.163750,lookahead_boundary_uncertainty_reduction,0.235500,outputs\week5_2_lookahead_boundary_uncertainty\branin\final_metrics_table.csv,True
branin,near_boundary_error_q30,optimized_ard_gpc,classifier_gated_diversity,0.114333,lookahead_boundary_uncertainty_reduction,0.175333,outputs\week5_2_lookahead_boundary_uncertainty\branin\final_metrics_table.csv,True
ackley,global_error,optimized_iso_gpc,random,0.197640,straddle,0.168400,outputs\week5_3_gated_geometric_boundary_contraction\ackley\final_metrics_table.csv,False
ackley,near_boundary_error_q20,optimized_iso_gpc,random,0.423600,randomized_straddle,0.408400,outputs\week5_3_gated_geometric_boundary_contraction\ackley\final_metrics_table.csv,False
ackley,near_boundary_error_q30,optimized_iso_gpc,random,0.381333,randomized_straddle,0.368200,outputs\week5_3_gated_geometric_boundary_contraction\ackley\final_metrics_table.csv,False
