benchmark,metric,surrogate_variant,acquisition_rule,method,value,field
branin,global_error,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,0.035150,mean_final_global_error
branin,near_boundary_error_q20,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,0.163750,mean_final_near_boundary_error_q20
branin,near_boundary_error_q30,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,0.114333,mean_final_near_boundary_error_q30
branin,median_query_distance,fixed_iso_gpc,classifier_entropy,classifier_entropy,8.267937,median_query_distance
ackley,global_error,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0.175900,mean_final_global_error
ackley,near_boundary_error_q20,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0.417500,mean_final_near_boundary_error_q20
ackley,near_boundary_error_q30,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0.379667,mean_final_near_boundary_error_q30
ackley,median_query_distance,fixed_iso_gpc,classifier_entropy,classifier_entropy,0.844044,median_query_distance
