metric,mean,ci_lower,ci_upper,repeat_blocks,bootstrap_draws
top_Q5_net_fix_rate,0.0003193649736199492,-0.0006099725777491597,0.001287088629517366,20,10000
early_top_Q5_net_fix_rate,0.0012896219625615722,-0.00270051564014372,0.0060520787664228035,20,10000
keyhole_top_Q5_net_fix_rate,0.004278391699286422,0.00242305686944127,0.006300567599948488,20,10000
top_Q5_q20_like_enrichment,2.9240546702421932,2.7530231444109012,3.09302338269037,20,10000
