path,scope,metric,mean,median,n
P0,B40,residual_sd,0.8074148744169166,1.0,100
P0,B40,residual_sd_upper_bound_hit,0.57,1.0,100
P0,B40,any_length_upper_bound_hit,0.83,1.0,100
P0,B40,optimizer_converged,0.98,1.0,100
P0,B40,anisotropy_ratio,985.8437842438407,261.7641598080619,100
P0,B40,l_P,36.15093188725472,2.424867024801795,100
P0,B40,l_VX,11.429168212915258,0.4218185944837105,100
P0,B40,l_LS,47.378000377592635,15.713550028541356,100
P0,B40,l_ST,78.2548364407474,100.00000000000004,100
P0,all_selected,residual_sd,0.7787601041581707,0.9813104409931928,500
P0,all_selected,residual_sd_upper_bound_hit,0.488,0.0,500
P0,all_selected,any_length_upper_bound_hit,0.79,1.0,500
P0,all_selected,optimizer_converged,0.97,1.0,500
P0,all_selected,anisotropy_ratio,759.4844719945778,276.8211480980777,500
P0,all_selected,l_P,39.20700339086949,2.56675925372711,500
P0,all_selected,l_VX,18.470764216946826,0.44131894238791064,500
P0,all_selected,l_LS,50.616393268279246,46.8263284533774,500
P0,all_selected,l_ST,59.57968537796642,100.00000000000004,500
P1,B40,residual_sd,0.9610970407014464,1.0,100
P1,B40,residual_sd_upper_bound_hit,0.86,1.0,100
P1,B40,any_length_upper_bound_hit,0.9,1.0,100
P1,B40,optimizer_converged,0.98,1.0,100
P1,B40,anisotropy_ratio,450.1713036585827,233.75057024946994,100
P1,B40,l_P,58.21610733406335,100.00000000000004,100
P1,B40,l_VX,6.389166596052758,0.4306721170917315,100
P1,B40,l_LS,46.28556637764778,4.998638498344775,100
P1,B40,l_ST,68.90400751288715,100.00000000000004,100
P1,all_selected,residual_sd,0.81473480536628,1.0,1000
P1,all_selected,residual_sd_upper_bound_hit,0.657,1.0,1000
P1,all_selected,any_length_upper_bound_hit,0.751,1.0,1000
P1,all_selected,optimizer_converged,0.96,1.0,1000
P1,all_selected,anisotropy_ratio,442.2146845298668,211.51004890622244,1000
P1,all_selected,l_P,42.9783846896162,2.5451490829552967,1000
P1,all_selected,l_VX,8.832199304113765,0.4942391934044402,1000
P1,all_selected,l_LS,50.24677426357738,43.09992949314901,1000
P1,all_selected,l_ST,54.52081630782552,100.00000000000004,1000
