name,hash,P,VX,LS,ST,reaches_conduction,first_conduction_timestep,first_conduction_frame_index_0based,total_frames,conduction_frames,conduction_fraction,screenshot_bug_any,screenshot_bug_before_first_conduction,keyhole_any,label_change_count,conduction_entry_count,unexpected_start,return_to_forming_or_initial_after_conduction,suspicious_transition,transition_pattern,bug_free_field,correctly_finished_field,first_observed_conduction_timestep,first_observed_conduction_frame_index_0based,screenshot_bug_frames_before_first_observed_conduction,latest_valid_preconduction_timestep,latest_valid_preconduction_label,first_screenshot_bug_timestep_before_first_observed_conduction,last_screenshot_bug_timestep_before_first_observed_conduction,observational_ambiguity_interval_lower_bound,observational_ambiguity_interval_upper_bound,observational_ambiguity_interval_width,observational_ambiguity_lower_bound_exists,first_persistent_conduction_timestep,first_persistent_conduction_frame_index_0based,persistent_onset_exists,persistent_onset_differs_from_first_observed,persistent_minus_first_observed_timestep,intervening_reversion_count,intervening_reversion_frame_count,final_observed_timestep,final_stored_frame_index_0based,final_observed_label,final_valid_non_bug_timestep,final_valid_label,right_censored_no_conduction,exact_clean_observed_target,interval_ambiguous_due_to_pretransition_bug,other_transition_ambiguity,target_status_primary
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,b0e5aed98c,101.127472137,0.52394730996,4.5e-05,300.0,True,11779.0,60.0,352,292,0.8295454545454546,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,11779,60,0,11582,Forming Phase,,,11582,11779,197,True,11779,60,True,False,0,0,0,68795,351,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,6014a1f9c3,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,True,71553.0,243.0,390,61,0.1564102564102564,True,True,False,4,1,True,False,True,Screenshot Bug → Initial Emptiness → Forming Phase → Conduction → Screenshot Bug,1,1,71553,243,36,71263,Forming Phase,0,10713,71263,71553,290,True,71553,243,True,False,0,0,0,115599,389,Screenshot Bug,89522,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,bf889bf790,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,True,29945.0,50.0,121,71,0.5867768595041323,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,29945,50,24,29389,Forming Phase,0,14974,29389,29945,556,True,29945,50,True,False,0,0,0,68795,120,Conduction,68795,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,8daf8adcd4,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,True,53796.0,65.0,141,76,0.5390070921985816,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,53796,65,36,52968,Forming Phase,0,28951,52968,53796,828,True,53796,65,True,False,0,0,0,115599,140,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,fb250c7cf9,109.759946449,0.241926176876,4.5e-05,300.0,True,28904.0,68.0,163,95,0.5828220858895705,False,False,False,2,1,False,False,False,Initial Emptiness → Forming Phase → Conduction,1,1,28904,68,0,28479,Forming Phase,,,28479,28904,425,True,28904,68,True,False,0,0,0,68795,162,Conduction,68795,Conduction,False,True,False,False,exact_clean_observed_target
P-110p234671953_VX-0p866589137882_LS-8p08580037422e-05_ST-348p980680204_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56679098795e-06_H-6705b84f8a,6705b84f8a,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,True,61578.0,201.0,375,110,0.29333333333333333,True,True,False,4,1,True,False,True,Screenshot Bug → Initial Emptiness → Forming Phase → Conduction → Screenshot Bug,1,1,61578,201,37,61271,Forming Phase,0,11024,61271,61578,307,True,61578,201,True,False,0,0,0,115599,374,Screenshot Bug,95909,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-110p642328299_VX-0p274154737479_LS-7p4676600105e-05_ST-358p612942181_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p7596342297e-05_H-b40dbd8ddd,b40dbd8ddd,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,True,83293.0,86.0,121,35,0.2892561983471074,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,83293,86,35,82324,Forming Phase,0,32909,82324,83293,969,True,83293,86,True,False,0,0,0,115599,120,Conduction,115599,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-112p428225508_VX-0p704865651228_LS-6p30987392704e-05_ST-309p241492678_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p84402849623e-06_H-30d8d23b36,30d8d23b36,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,True,38782.0,101.0,304,195,0.6414473684210527,True,True,False,3,1,True,False,True,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug,1,1,38782,101,35,38405,Forming Phase,0,13554,38405,38782,377,True,38782,101,True,False,0,0,0,115599,303,Screenshot Bug,112646,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,bf889bf790,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,True,32956.0,47.0,103,56,0.5436893203883495,True,True,False,2,1,True,False,True,Screenshot Bug → Forming Phase → Conduction,1,1,32956,47,25,32296,Forming Phase,0,17795,32296,32956,660,True,32956,47,True,False,0,0,0,68795,102,Conduction,68795,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
P-113p286681534_VX-0p56768277259_LS-5p80401726566e-05_ST-302p148970527_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p13495658689e-05_H-bf889bf790,bf889bf790,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,True,33713.0,52.0,110,58,0.5272727272727272,True,True,False,3,1,True,False,True,Screenshot Bug → Initial Emptiness → Forming Phase → Conduction,1,1,33713,52,25,33088,Forming Phase,0,16231,33088,33713,625,True,33713,52,True,False,0,0,0,68795,109,Conduction,68795,Conduction,False,False,True,False,interval_ambiguous_due_to_pretransition_bug
