run_id,repeat,path,budget,eps,full81_accuracy,full81_balanced_accuracy,full81_keyhole_recall,B1_q20_accuracy,B1_q20_balanced_accuracy,B1_q20_keyhole_recall,B1_q30_accuracy,B1_q30_balanced_accuracy,B1_q30_keyhole_recall,exception_acc,ordinary_acc,brier_full,agree_with_m3_decisions
w85__r01_f01,1,A0,16,0.0,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.051889585287738516,1.0
w85__r01_f01,1,A0,16,0.02,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.0518891637812876,1.0
w85__r01_f01,1,A0,16,0.05,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.053127450540863264,1.0
w85__r01_f01,1,A0,16,0.1,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.05849485757162718,1.0
w85__r01_f01,1,A0,17,0.0,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.04263659959362733,1.0
w85__r01_f01,1,A0,17,0.02,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.04307876997706621,1.0
w85__r01_f01,1,A0,17,0.05,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.044972149424279746,1.0
w85__r01_f01,1,A0,17,0.1,0.9382716049382716,0.8333333333333333,0.6666666666666666,0.8235294117647058,0.7857142857142857,0.5714285714285714,0.88,0.8125,0.625,0.0,0.9743589743589743,0.05141034921064357,1.0
w85__r01_f01,1,A0,18,0.0,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.031913069752737354,1.0
w85__r01_f01,1,A0,18,0.02,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.03354864443743373,1.0
w85__r01_f01,1,A0,18,0.05,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.0371097859031267,1.0
w85__r01_f01,1,A0,18,0.1,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.04600054235298097,1.0
w85__r01_f01,1,A0,19,0.0,0.9876543209876543,0.9666666666666667,0.9333333333333333,0.9411764705882353,0.9285714285714286,0.8571428571428571,0.96,0.9375,0.875,0.6666666666666666,1.0,0.030775651078765284,1.0
w85__r01_f01,1,A0,19,0.02,0.9876543209876543,0.9666666666666667,0.9333333333333333,0.9411764705882353,0.9285714285714286,0.8571428571428571,0.96,0.9375,0.875,0.6666666666666666,1.0,0.03321806716723403,1.0
w85__r01_f01,1,A0,19,0.05,0.9876543209876543,0.9666666666666667,0.9333333333333333,0.9411764705882353,0.9285714285714286,0.8571428571428571,0.96,0.9375,0.875,0.6666666666666666,1.0,0.03788672222301701,1.0
w85__r01_f01,1,A0,19,0.1,0.9876543209876543,0.9666666666666667,0.9333333333333333,0.9411764705882353,0.9285714285714286,0.8571428571428571,0.96,0.9375,0.875,0.6666666666666666,1.0,0.048321817125527806,1.0
w85__r01_f01,1,A0,20,0.0,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.03443884661437429,1.0
w85__r01_f01,1,A0,20,0.02,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.036373573311911045,1.0
w85__r01_f01,1,A0,20,0.05,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.040331311155411574,1.0
w85__r01_f01,1,A0,20,0.1,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.04972777515751809,1.0
w85__r01_f01,1,A0,21,0.0,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.034236821016912306,1.0
w85__r01_f01,1,A0,21,0.02,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.03592672490811078,1.0
w85__r01_f01,1,A0,21,0.05,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.03955888542718119,1.0
w85__r01_f01,1,A0,21,0.1,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.0485314772560006,1.0
w85__r01_f01,1,A0,22,0.0,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.030950733739429623,1.0
w85__r01_f01,1,A0,22,0.02,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.03265702788426629,1.0
w85__r01_f01,1,A0,22,0.05,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.036338212736923454,1.0
w85__r01_f01,1,A0,22,0.1,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.04542685189318788,1.0
w85__r01_f01,1,A0,23,0.0,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.027724134590061993,1.0
w85__r01_f01,1,A0,23,0.02,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.029471715782543557,1.0
w85__r01_f01,1,A0,23,0.05,0.9629629629629629,0.9,0.8,0.8823529411764706,0.8571428571428572,0.7142857142857143,0.92,0.875,0.75,0.0,1.0,0.03322576001495114,1.0
