policy,endpoint,estimate,repeat_blocks,kind
P1_PHASE121_CANDIDATE_B,B1_q20_keyhole_recall_B32,0.7497598605098605,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_false_negative_B32,1.6766666666666667,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_false_positive_B32,0.9666666666666667,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q30_accuracy_B32,0.8868,60,checkpoint
P1_PHASE121_CANDIDATE_B,full81_accuracy_B32,0.9645267489711936,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_accuracy_B40,0.8496078431372549,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_balanced_accuracy_B40,0.8348384855884856,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_keyhole_recall_B40,0.7577864357864358,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_false_negative_B40,1.62,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_false_positive_B40,0.9366666666666666,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q30_accuracy_B40,0.8924000000000001,60,checkpoint
P1_PHASE121_CANDIDATE_B,full81_accuracy_B40,0.9665432098765431,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_accuracy_B80,0.8594117647058823,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_balanced_accuracy_B80,0.840165478040478,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_keyhole_recall_B80,0.744529822029822,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_false_negative_B80,1.71,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q20_false_positive_B80,0.68,60,checkpoint
P1_PHASE121_CANDIDATE_B,B1_q30_accuracy_B80,0.9022666666666667,60,checkpoint
P1_PHASE121_CANDIDATE_B,full81_accuracy_B80,0.9694650205761316,60,checkpoint
P2_H_SEED_COVERAGE_B40,q20_accuracy_AULC_B16_B40,0.8264583333333333,60,AULC
P2_H_SEED_COVERAGE_B40,q20_accuracy_AULC_B16_B80,0.8439108455882354,60,AULC
P2_H_SEED_COVERAGE_B40,q20_balanced_accuracy_AULC_B16_B40,0.8099223049327217,60,AULC
P2_H_SEED_COVERAGE_B40,q20_balanced_accuracy_AULC_B16_B80,0.8261879816508723,60,AULC
