mean_difference,ci_lower,ci_upper,positive_repeats,zero_repeats,negative_repeats,repeat_blocks,signflip_p,contrast,candidate,control,endpoint,candidate_mean,control_mean,primary_family,holm_p_primary_family
-0.005543705715580721,-0.008947753200756145,-0.0023137160266310896,19,0,41,60,0.0012899871001289987,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,q20_balanced_accuracy_AULC_B16_B80,0.8261879816508723,0.8317316873664531,False,
-0.01871340638528137,-0.032893811690816885,-0.005000428203162569,21,0,39,60,0.010389896101038989,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,q20_keyhole_recall_AULC_B16_B40,0.7279993411295494,0.7467127475148309,False,
-0.006800812251984127,-0.013816828135333985,-0.00020837931960977673,27,1,32,60,0.054829451705482944,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,q20_keyhole_recall_AULC_B16_B80,0.7389823993281023,0.7457832115800865,False,
-0.011308333333333337,-0.01553340277777777,-0.00709152777777781,15,0,45,60,9.99990000099999e-06,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,q30_accuracy_AULC_B16_B40,0.8689083333333334,0.8802166666666668,False,
-0.005508333333333321,-0.007746901041666631,-0.0032968750000000003,16,0,44,60,9.99990000099999e-06,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,q30_accuracy_AULC_B16_B80,0.8865375,0.8920458333333333,False,
-0.005306927297668044,-0.006843321330589862,-0.0038091563786008436,13,0,47,60,9.99990000099999e-06,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,full81_accuracy_AULC_B16_B40,0.9570061728395062,0.9623131001371743,False,
-0.0024308770576131475,-0.0032728989840534834,-0.0016148887602880316,14,0,46,60,9.99990000099999e-06,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,full81_accuracy_AULC_B16_B80,0.9637371399176954,0.9661680169753083,False,
-0.01914153439153441,-0.03333528439153441,-0.005269808201058207,17,7,36,60,0.00994990050099499,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,B1_q20_keyhole_recall_B40,0.7386449013949012,0.7577864357864358,False,
0.12000000000000002,0.026666666666666658,0.21666666666666667,32,12,16,60,0.017319826801731983,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,B1_q20_false_negative_B40,1.74,1.6199999999999999,False,
-0.0002469135802469084,-0.0009053497942386727,0.0004115226337448671,13,29,18,60,0.5057549424505755,P2-P1,P2_H_SEED_COVERAGE_B40,P1_PHASE121_CANDIDATE_B,full81_accuracy_B80,0.9692181069958848,0.9694650205761317,False,
-0.0028880718954248227,-0.006156147875816993,0.0003922589869281363,24,0,36,60,0.0948390516094839,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q20_accuracy_AULC_B16_B40,0.8351348039215687,0.8380228758169933,True,0.1896781032189678
-0.0010585171568627595,-0.002464805453431406,0.0003584941789215628,29,0,31,60,0.15321846781532183,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q20_accuracy_AULC_B16_B80,0.8477711397058824,0.848829656862745,False,
-0.0017728371165871282,-0.0053413300482311,0.0017016018558987341,29,0,31,60,0.33455665443345567,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q20_balanced_accuracy_AULC_B16_B40,0.8213010803818097,0.8230739174983966,False,
-0.0004892844062766151,-0.0020238228152779053,0.0010223390243654,34,0,26,60,0.5302446975530245,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q20_balanced_accuracy_AULC_B16_B80,0.8312424029601765,0.8317316873664531,False,
0.0049840668590668625,-0.0013793948913740463,0.01137321403519319,32,0,28,60,0.13598864011359887,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q20_keyhole_recall_AULC_B16_B40,0.7516968143738977,0.7467127475148309,False,
0.0023582542313011156,-0.0004456590646043666,0.005215052073938803,34,0,26,60,0.11147888521114789,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q20_keyhole_recall_AULC_B16_B80,0.7481414658113876,0.7457832115800865,False,
-0.0016833333333333385,-0.004175069444444441,0.0008584027777777713,24,0,36,60,0.2007279927200728,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q30_accuracy_AULC_B16_B40,0.8785333333333333,0.8802166666666668,False,
-0.000628125000000009,-0.0016635416666666866,0.00043854166666665686,25,0,35,60,0.25406745932540675,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,q30_accuracy_AULC_B16_B80,0.8914177083333333,0.8920458333333333,False,
-0.0005109739368998519,-0.0012877229080932532,0.00031809413580246936,22,0,38,60,0.22315776842231577,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,full81_accuracy_AULC_B16_B40,0.9618021262002742,0.9623131001371743,False,
-0.00017811213991769287,-0.0005134387860082193,0.0001678321116255466,24,0,36,60,0.31357686423135767,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,full81_accuracy_AULC_B16_B80,0.9659899048353912,0.9661680169753083,False,
0.008235569985569987,-0.0014932960557960603,0.018348169191919173,26,18,16,60,0.11148888511114889,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,B1_q20_keyhole_recall_B40,0.7660220057720059,0.7577864357864358,False,
-0.05666666666666667,-0.12333333333333334,0.00666666666666668,15,21,24,60,0.1003789962100379,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,B1_q20_false_negative_B40,1.5633333333333335,1.6199999999999999,False,
-3.7007434154171884e-18,-0.00016460905349794755,0.00016460905349794015,2,56,2,60,1.0,P3-P1,P3_EARLY8_RMBC_B40,P1_PHASE121_CANDIDATE_B,full81_accuracy_B80,0.9694650205761317,0.9694650205761317,False,
0.012083333333333343,0.007818423202614394,0.0163481413398693,46,0,14,60,1.999980000199998e-05,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q20_accuracy_AULC_B16_B40,0.8354207516339869,0.8233374183006537,True,7.999920000799993e-05
0.005690870098039221,0.003054419424019607,0.008167892156862729,44,1,15,60,7.999920000799993e-05,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q20_accuracy_AULC_B16_B80,0.8477910539215687,0.8421001838235295,False,
0.012102545698899873,0.007219227825608024,0.016970911028593338,44,0,16,60,1.999980000199998e-05,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q20_balanced_accuracy_AULC_B16_B40,0.8189274649925693,0.8068249192936692,False,
0.0063470021370412005,0.0033500392800197448,0.00927050481528019,43,0,17,60,0.00012999870001299986,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q20_balanced_accuracy_AULC_B16_B80,0.8305597700910204,0.8242127679539789,False,
0.011423816538399877,0.0012488146594917396,0.02093713192189756,42,0,18,60,0.029019709802901972,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q20_keyhole_recall_AULC_B16_B40,0.7372000035072951,0.7257761869688952,False,
0.007324567287457904,0.0018282624656159696,0.012781840258988675,40,0,20,60,0.013249867501324987,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q20_keyhole_recall_AULC_B16_B80,0.7436575116868086,0.7363329443993506,False,
0.010172222222222223,0.006633333333333349,0.01368888888888889,42,0,18,60,9.99990000099999e-06,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q30_accuracy_AULC_B16_B40,0.8786805555555557,0.8685083333333332,False,
0.004611458333333336,0.0026030729166666494,0.006584375000000002,43,0,17,60,9.99990000099999e-05,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,q30_accuracy_AULC_B16_B80,0.8912364583333333,0.886625,False,
0.0032193072702331998,0.0018861239711934195,0.004542181069958828,44,0,16,60,1.999980000199998e-05,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,full81_accuracy_AULC_B16_B40,0.9615252057613168,0.9583058984910837,False,
0.001544817386831282,0.0008310506687242766,0.0022543724279835402,43,0,17,60,0.00012999870001299986,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,full81_accuracy_AULC_B16_B80,0.9658265817901235,0.9642817644032922,False,
0.013928451178451179,-0.00044469696969696336,0.028775165343915343,31,4,25,60,0.06323936760632394,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,B1_q20_keyhole_recall_B40,0.7547004569504571,0.7407720057720059,False,
-0.07000000000000003,-0.16000000000000006,0.019999999999999983,19,13,28,60,0.12675873241267588,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,B1_q20_false_negative_B40,1.6433333333333335,1.7133333333333336,False,
-0.0002057613168724289,-0.0007818930041152324,0.0003703703703703783,13,28,19,60,0.5096449035509645,P4-P0,P4_PG_RMBC_ADAPTIVE,P0_M3_MARGIN_B16,full81_accuracy_B80,0.9691358024691359,0.9693415637860083,False,
