policy,run_id,repeat,fold,budget,h_separable,adaptive_switch_budget,switched_by_budget
P0_M3_MARGIN_B16,w85__r121_f01,121,1,16,True,,False
P0_M3_MARGIN_B16,w85__r121_f01,121,1,20,True,,False
P0_M3_MARGIN_B16,w85__r121_f01,121,1,24,False,,False
P0_M3_MARGIN_B16,w85__r121_f01,121,1,32,False,,False
P0_M3_MARGIN_B16,w85__r121_f01,121,1,40,False,,False
P0_M3_MARGIN_B16,w85__r121_f02,121,2,16,True,,False
P0_M3_MARGIN_B16,w85__r121_f02,121,2,20,True,,False
P0_M3_MARGIN_B16,w85__r121_f02,121,2,24,False,,False
P0_M3_MARGIN_B16,w85__r121_f02,121,2,32,False,,False
P0_M3_MARGIN_B16,w85__r121_f02,121,2,40,False,,False
P0_M3_MARGIN_B16,w85__r121_f03,121,3,16,True,,False
P0_M3_MARGIN_B16,w85__r121_f03,121,3,20,True,,False
P0_M3_MARGIN_B16,w85__r121_f03,121,3,24,True,,False
P0_M3_MARGIN_B16,w85__r121_f03,121,3,32,False,,False
P0_M3_MARGIN_B16,w85__r121_f03,121,3,40,False,,False
P0_M3_MARGIN_B16,w85__r121_f04,121,4,16,False,,False
P0_M3_MARGIN_B16,w85__r121_f04,121,4,20,False,,False
P0_M3_MARGIN_B16,w85__r121_f04,121,4,24,False,,False
P0_M3_MARGIN_B16,w85__r121_f04,121,4,32,False,,False
P0_M3_MARGIN_B16,w85__r121_f04,121,4,40,False,,False
P0_M3_MARGIN_B16,w85__r121_f05,121,5,16,True,,False
P0_M3_MARGIN_B16,w85__r121_f05,121,5,20,False,,False
P0_M3_MARGIN_B16,w85__r121_f05,121,5,24,False,,False
P0_M3_MARGIN_B16,w85__r121_f05,121,5,32,False,,False
P0_M3_MARGIN_B16,w85__r121_f05,121,5,40,False,,False
P0_M3_MARGIN_B16,w85__r122_f01,122,1,16,False,,False
P0_M3_MARGIN_B16,w85__r122_f01,122,1,20,False,,False
P0_M3_MARGIN_B16,w85__r122_f01,122,1,24,False,,False
P0_M3_MARGIN_B16,w85__r122_f01,122,1,32,False,,False
