policy,run_id,repeat,fold,seed_kind,effective_seed_size,first_both_classes_budget,seed_completed_by_B16
P0_M3_MARGIN_B16,w85__r121_f01,121,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r121_f02,121,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r121_f03,121,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r121_f04,121,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r121_f05,121,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r122_f01,122,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r122_f02,122,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r122_f03,122,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r122_f04,122,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r122_f05,122,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r123_f01,123,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r123_f02,123,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r123_f03,123,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r123_f04,123,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r123_f05,123,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r124_f01,124,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r124_f02,124,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r124_f03,124,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r124_f04,124,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r124_f05,124,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r125_f01,125,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r125_f02,125,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r125_f03,125,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r125_f04,125,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r125_f05,125,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r126_f01,126,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r126_f02,126,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r126_f03,126,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r126_f04,126,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r126_f05,126,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r127_f01,127,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r127_f02,127,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r127_f03,127,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r127_f04,127,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r127_f05,127,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r128_f01,128,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r128_f02,128,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r128_f03,128,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r128_f04,128,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r128_f05,128,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r129_f01,129,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r129_f02,129,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r129_f03,129,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r129_f04,129,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r129_f05,129,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r130_f01,130,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r130_f02,130,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r130_f03,130,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r130_f04,130,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r130_f05,130,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r131_f01,131,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r131_f02,131,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r131_f03,131,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r131_f04,131,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r131_f05,131,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r132_f01,132,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r132_f02,132,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r132_f03,132,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r132_f04,132,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r132_f05,132,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r133_f01,133,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r133_f02,133,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r133_f03,133,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r133_f04,133,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r133_f05,133,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r134_f01,134,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r134_f02,134,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r134_f03,134,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r134_f04,134,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r134_f05,134,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r135_f01,135,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r135_f02,135,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r135_f03,135,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r135_f04,135,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r135_f05,135,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r136_f01,136,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r136_f02,136,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r136_f03,136,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r136_f04,136,4,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r136_f05,136,5,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r137_f01,137,1,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r137_f02,137,2,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r137_f03,137,3,frozen_feature_maximin_B16,16,16,True
P0_M3_MARGIN_B16,w85__r137_f04,137,4,frozen_feature_maximin_B16,16,16,True
