population,candidate_id,unit,descriptive_direction,descriptive_threshold,band_half_width,band_semantics,within_band_count,within_band_keyhole_positive_count,within_band_keyhole_negative_count,negative_edge_score,positive_edge_score,class_gap_in_positive_direction,empty_class_gap,threshold_inside_empty_gap,nearest_below_experiment,nearest_below_value,nearest_below_distance,nearest_above_experiment,nearest_above_value,nearest_above_distance
new-data,G3,um,higher,100.9587625,2.0,micrometre band,0,0,0,98.565725,103.3518,4.786074999999997,True,True,P-335p17845091_VX-0p53366627312_LS-7p35439468085e-05_ST-327p916348879_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p03958306155e-06_H-1d842653b1,98.565725,2.3930375000000055,P-394p301389958_VX-0p965504599187_LS-4p1845661123e-05_ST-386p588977515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p99647604691e-06_H-aae9cbe76f,103.3518,2.3930374999999913
new-data,G3,um,higher,100.9587625,5.0,micrometre band,5,2,3,98.565725,103.3518,4.786074999999997,True,True,P-335p17845091_VX-0p53366627312_LS-7p35439468085e-05_ST-327p916348879_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p03958306155e-06_H-1d842653b1,98.565725,2.3930375000000055,P-394p301389958_VX-0p965504599187_LS-4p1845661123e-05_ST-386p588977515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p99647604691e-06_H-aae9cbe76f,103.3518,2.3930374999999913
new-data,G3,um,higher,100.9587625,10.0,micrometre band,14,6,8,98.565725,103.3518,4.786074999999997,True,True,P-335p17845091_VX-0p53366627312_LS-7p35439468085e-05_ST-327p916348879_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p03958306155e-06_H-1d842653b1,98.565725,2.3930375000000055,P-394p301389958_VX-0p965504599187_LS-4p1845661123e-05_ST-386p588977515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p99647604691e-06_H-aae9cbe76f,103.3518,2.3930374999999913
new-data,R3,dimensionless,higher,0.5782153663226665,0.02,ratio analogue,0,0,0,0.6922254374489708,0.6101000122399665,-0.08212542520900434,False,False,P-336p384535968_VX-0p857000372961_LS-5p14827567032e-05_ST-367p720955238_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p62907643359e-06_H-1d842653b1,0.5463307204053665,0.0318846459173,P-375p190327887_VX-0p471971299611_LS-7p58652830639e-05_ST-330p289975384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p02212160082e-05_H-1553ff852f,0.6101000122399665,0.0318846459173
new-data,R3,dimensionless,higher,0.5782153663226665,0.05,ratio analogue,4,2,2,0.6922254374489708,0.6101000122399665,-0.08212542520900434,False,False,P-336p384535968_VX-0p857000372961_LS-5p14827567032e-05_ST-367p720955238_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p62907643359e-06_H-1d842653b1,0.5463307204053665,0.0318846459173,P-375p190327887_VX-0p471971299611_LS-7p58652830639e-05_ST-330p289975384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p02212160082e-05_H-1553ff852f,0.6101000122399665,0.0318846459173
new-data,R3,dimensionless,higher,0.5782153663226665,0.1,ratio analogue,14,5,9,0.6922254374489708,0.6101000122399665,-0.08212542520900434,False,False,P-336p384535968_VX-0p857000372961_LS-5p14827567032e-05_ST-367p720955238_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p62907643359e-06_H-1d842653b1,0.5463307204053665,0.0318846459173,P-375p190327887_VX-0p471971299611_LS-7p58652830639e-05_ST-330p289975384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p02212160082e-05_H-1553ff852f,0.6101000122399665,0.0318846459173
new-data,max_depth,um,higher,108.601,2.0,micrometre band,0,0,0,111.5838,111.1982,-0.3855999999999966,False,False,P-324p489523844_VX-0p639524903021_LS-7p4699050731e-05_ST-392p096101418_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p54328811939e-06_H-eed8ed7ef3,106.0038,2.597200000000001,P-423p354289604_VX-0p98992750487_LS-4p35270321082e-05_ST-379p923005206_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p87320594618e-06_H-4d45e0bf17,111.1982,2.597200000000001
new-data,max_depth,um,higher,108.601,5.0,micrometre band,5,2,3,111.5838,111.1982,-0.3855999999999966,False,False,P-324p489523844_VX-0p639524903021_LS-7p4699050731e-05_ST-392p096101418_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p54328811939e-06_H-eed8ed7ef3,106.0038,2.597200000000001,P-423p354289604_VX-0p98992750487_LS-4p35270321082e-05_ST-379p923005206_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p87320594618e-06_H-4d45e0bf17,111.1982,2.597200000000001
new-data,max_depth,um,higher,108.601,10.0,micrometre band,10,4,6,111.5838,111.1982,-0.3855999999999966,False,False,P-324p489523844_VX-0p639524903021_LS-7p4699050731e-05_ST-392p096101418_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p54328811939e-06_H-eed8ed7ef3,106.0038,2.597200000000001,P-423p354289604_VX-0p98992750487_LS-4p35270321082e-05_ST-379p923005206_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p87320594618e-06_H-4d45e0bf17,111.1982,2.597200000000001
new-data,T0_depth,um,higher,82.41506749999999,2.0,micrometre band,9,4,5,94.62022,74.3066,-20.31362,False,False,P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,82.340345,0.07472249999999292,P-389p770210211_VX-0p908238681403_LS-4p3221586392e-05_ST-323p581279452_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31151194261e-06_H-8b3ff695c9,82.48979,0.07472250000000713
