material,bundles,unique_conditions,mode_C,mode_K,repeated_conditions,discordant_conditions,folds,repeats,both_classes_every_heldout_fold
Ti64,48,32,26,22,14,0,5,20,True
316L,48,32,37,11,14,0,5,20,True
