dataset,material,setting,repeat,model,roc_auc,pr_auc,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,accuracy,false_negative,false_positive,true_negative,true_positive
transition_inclusive,Ti64,R1_C1,0,H,0.9773755656108597,0.9852415966386555,0.9072398190045249,0.8529411764705882,0.9615384615384616,0.076076175634032,0.9,5,1,25,29
transition_inclusive,Ti64,R1_C1,0,G,0.9932126696832579,0.9944530443756451,0.9513574660633484,0.9411764705882353,0.9615384615384616,0.06354012812999052,0.95,2,1,25,32
transition_inclusive,Ti64,R1_C1,1,H,0.9773755656108597,0.9846706602670415,0.9366515837104072,0.9117647058823529,0.9615384615384616,0.07169013271443846,0.9333333333333333,3,1,25,31
transition_inclusive,Ti64,R1_C1,1,G,0.994343891402715,0.9952233524988944,0.9705882352941176,0.9411764705882353,1.0,0.060738804358387,0.9666666666666667,2,0,26,32
transition_inclusive,Ti64,R1_C1,2,H,0.9762443438914027,0.9834063678626692,0.9174208144796381,0.9117647058823529,0.9230769230769231,0.07607935188151506,0.9166666666666666,3,2,24,31
transition_inclusive,Ti64,R1_C1,2,G,0.9886877828054299,0.9915152757333533,0.9513574660633484,0.9411764705882353,0.9615384615384616,0.06657973758086179,0.95,2,1,25,32
transition_inclusive,Ti64,R1_C1,3,H,0.9773755656108597,0.9852415966386555,0.9366515837104072,0.9117647058823529,0.9615384615384616,0.07511497392826368,0.9333333333333333,3,1,25,31
transition_inclusive,Ti64,R1_C1,3,G,0.995475113122172,0.9959345900522372,0.9513574660633484,0.9411764705882353,0.9615384615384616,0.06116805298967512,0.95,2,1,25,32
transition_inclusive,Ti64,R1_C1,4,H,0.9773755656108597,0.9846706602670415,0.9366515837104072,0.9117647058823529,0.9615384615384616,0.07121097225054838,0.9333333333333333,3,1,25,31
transition_inclusive,Ti64,R1_C1,4,G,0.9932126696832579,0.994453044375645,0.9411764705882353,0.8823529411764706,1.0,0.0641572621809803,0.9333333333333333,4,0,26,30
transition_inclusive,Ti64,R1_C1,5,H,0.9717194570135747,0.9816672374278866,0.8880090497737556,0.8529411764705882,0.9230769230769231,0.07410003653681282,0.8833333333333333,5,2,24,29
transition_inclusive,Ti64,R1_C1,5,G,0.9909502262443439,0.9926705131813491,0.9513574660633484,0.9411764705882353,0.9615384615384616,0.06540340794374301,0.95,2,1,25,32
transition_inclusive,Ti64,R1_C1,6,H,0.9796380090497738,0.9863019009986284,0.9366515837104072,0.9117647058823529,0.9615384615384616,0.07257995302440867,0.9333333333333333,3,1,25,31
transition_inclusive,Ti64,R1_C1,6,G,0.9932126696832579,0.9944530443756451,0.9705882352941176,0.9411764705882353,1.0,0.06337804015208567,0.9666666666666667,2,0,26,32
transition_inclusive,Ti64,R1_C1,7,H,0.9728506787330317,0.9814501505931527,0.8880090497737556,0.8529411764705882,0.9230769230769231,0.0787885363375575,0.8833333333333333,5,2,24,29
transition_inclusive,Ti64,R1_C1,7,G,0.9920814479638009,0.9934408213045985,0.9513574660633484,0.9411764705882353,0.9615384615384616,0.06196431508601816,0.95,2,1,25,32
transition_inclusive,Ti64,R1_C1,8,H,0.9773755656108597,0.9846706602670415,0.9366515837104072,0.9117647058823529,0.9615384615384616,0.0724380188371873,0.9333333333333333,3,1,25,31
transition_inclusive,Ti64,R1_C1,8,G,0.994343891402715,0.9952233524988944,0.9513574660633484,0.9411764705882353,0.9615384615384616,0.06029606378511925,0.95,2,1,25,32
transition_inclusive,Ti64,R1_C1,9,H,0.9739819004524888,0.9824174157090303,0.9174208144796381,0.9117647058823529,0.9230769230769231,0.07580398294145395,0.9166666666666666,3,2,24,31
transition_inclusive,Ti64,R1_C1,9,G,0.9898190045248868,0.9919957493486906,0.9513574660633484,0.9411764705882353,0.9615384615384616,0.06407956338229075,0.95,2,1,25,32
transition_inclusive,Ti64,R1_C1,10,H,0.9773755656108597,0.9846706602670415,0.9174208144796381,0.9117647058823529,0.9230769230769231,0.0736620798484692,0.9166666666666666,3,2,24,31
