dataset,material,setting,repeat,model,roc_auc,pr_auc,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,accuracy,false_negative,false_positive,true_negative,true_positive
strict_C_vs_K,316L,R1_C1,0,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02277284076265636,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,1,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02185652282708179,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,1,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02256352385109638,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,2,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021744453203649924,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,2,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.024151787001868878,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,3,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.020187021131130526,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,3,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.023713902210309695,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,4,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02046946718451294,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,4,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02396716615762838,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,5,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021199060859623763,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,5,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.023307598586287854,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,6,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02011419348371336,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,6,G,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02141307855650018,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,7,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.019544080993627522,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,7,G,0.9999999999999999,1.0,0.9545454545454546,0.9090909090909091,1.0,0.021058820754221812,0.9791666666666666,1,0,37,10
strict_C_vs_K,316L,R1_C1,8,H,1.0,1.0,0.9545454545454546,0.9090909090909091,1.0,0.02076437994903285,0.9791666666666666,1,0,37,10
