field,value
repository,ioandanielc/sph_v2
analysis revision,d69dac5bda8b622bc0de316b112815c6056c06ec
floating main at retrieval,d69dac5bda8b622bc0de316b112815c6056c06ec
retrieval started UTC,2026-08-08T15:13:58+00:00
experiment count,18
labelled frame count,4286
partition names,"new-data, old-data-local, old-data-remote-clean"
repository tree items,13636
