experiment_name,folder_name_valid,P,VX,LS,ST,XI,XF,XL,TE,DT,material,folder_hash,partition,P_unit,VX_unit,LS_unit,ST_unit,parameter_values_match_folder_and_partition,parameter_units_match_week6,label_frame_count,frames_csv_row_count,frames_csv_schema_valid,frames_csv_frame_index_valid,frames_csv_timestep_matches_partition_ledger,frames_csv_label_matches_final_label,parameters_path,parameters_sha256,frames_csv_path,frames_csv_sha256
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,True,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,0.0002,0.0014,0.0012,0.0021,7.61136145079e-06,TI64,6c9c68731f,new-data,W,m/s,m,K,True,True,274,274,True,True,True,True,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/parameters.json,bcd12a566337ae9fbce76f758476b495fd861e00c348268cc2fa4112f35721ab,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/frames.csv,5d6d8eeca5c42b985416b74d02b020ef4200b6d599d12adcd41c71c675694fab
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,True,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,0.0002,0.0014,0.0012,0.0021,5.27208541466e-06,TI64,0e4c2fc094,new-data,W,m/s,m,K,True,True,388,388,True,True,True,True,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/parameters.json,f0045cac7db05c59706a6cab40089cbdaa9ebf55e4f4a2ceba3a1cca83fe041b,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/frames.csv,c1aa8de1b1a702512245a2570695b8386132ea901bbddaeab9c1fd04f05693e1
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,True,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,0.0002,0.0014,0.0012,0.0021,9.80469807196e-06,TI64,0602c4a780,new-data,W,m/s,m,K,True,True,215,215,True,True,True,True,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/parameters.json,9dbf508947a61cb37a68c4a5c02612cd77fdfe5a50b438a9cbb72b9837ad1388,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/frames.csv,9252d414ed1a4b86a112dcbd4b16b28ddf57cc41ae5a931afa67059b5ae09bad
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,True,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,0.0002,0.0014,0.0012,0.0021,7.45628343159e-06,TI64,0e4c2fc094,new-data,W,m/s,m,K,True,True,280,280,True,True,True,True,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094/parameters.json,872124d2827a6650c3d15d1b01ded0eb6c3222c7d1093cde769320de4218990b,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094/frames.csv,8ce3b79076bb451f799616e85c1c28041ded296f0a56d77aff649a5426821ae2
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,True,208.096600196,0.256636148953,4.52492384214e-05,395.602757306,0.0002,0.0014,0.0012,0.0021,1.87975101041e-05,TI64,1980b1708d,new-data,W,m/s,m,K,True,True,113,113,True,True,True,True,P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d/parameters.json,0d0ed71f7048e9568e706685a43b54b20eab24b8bce1e371f3d37322e1708657,P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d/frames.csv,55aaf21d2ad0a8a64e44426019dc1718cd2e94f7a2f1f4b6a73e256f465e543f
P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,True,339.704237738,0.701398887747,5.24684299583e-05,300.218383071,0.0002,0.0014,0.0012,0.0021,6.87785607775e-06,TI64,1d842653b1,new-data,W,m/s,m,K,True,True,303,303,True,True,True,True,P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1/parameters.json,adcdbaf790460b62e0d9eaea586ff87ffd6d2d94a22b250aacefd7827aded6e5,P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1/frames.csv,fec2daceac9da8981e8faaadda577f28f9aa220eb2c7c74c80b61130a2fe1d6a
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,True,101.127472137,0.52394730996,4.5e-05,300.0,-0.0002,0.0012,0.0014,0.00125,3.56864695376e-06,TI64,b0e5aed98c,old-data-local,W,m/s,m,K,True,True,352,352,True,True,True,True,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c/parameters.json,b56dde67003d3e7ce38b479e41044fd3c2e6adca0d1e9d5be1949d6def66738a,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c/frames.csv,7cf311064664b6d636500d9a04c69b93998e0e2527a9d6f8847053d78ccfc149
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,0.0002,0.0014,0.0012,0.0021,5.2634634783e-06,TI64,6014a1f9c3,old-data-local,W,m/s,m,K,True,True,390,390,True,True,True,True,P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3/parameters.json,dcc30937d9b72c2e5a0ab1fc1144fec4dc22211de8b4614d4b993da48f0d0c4c,P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3/frames.csv,6c13f25464ef85a27ae70ef109c6a943214b389e191540f0816dd3790054685b
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,True,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,0.0002,0.0014,0.0012,0.00125,1.00822530836e-05,TI64,bf889bf790,old-data-local,W,m/s,m,K,True,True,121,121,True,True,True,True,P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790/parameters.json,a3b7caae4916330b32e97ad56accd36f1a0428412675977ffd5ce441ff3fd278,P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790/frames.csv,4d3091420ca9e01d2f93278a75498aa712d51804128f5424a61fb813575e568f
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,True,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,0.0002,0.0014,0.0012,0.0021,1.50400296819e-05,TI64,8daf8adcd4,old-data-local,W,m/s,m,K,True,True,141,141,True,True,True,True,P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4/parameters.json,bf9c852b6be55eed4010197ea92a30aa472141e4c3026d894f64cef139bafbb3,P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4/frames.csv,b83954534644b67688c4bf63887374d375b67bbd8a1deae7ffb4a9c34321370e
