source,partition,feature,unit,count,missing_count,min,q05,q25,median,mean,q75,q95,max,std,unique_count
sph_v2,new-data,P,W,6,0,102.928146519,104.6314892865,110.08076588649999,112.414007225,164.21641941533335,184.50482606475,306.8023283525,339.704237738,94.67381142414264,6
sph_v2,new-data,VX,m/s,6,0,0.256636148953,0.3154824446585,0.52746730331225,0.6403962534350001,0.6076466147188334,0.68779598804675,0.86162283166275,0.915030812968,0.22003820047187855,6
sph_v2,new-data,LS,m,6,0,4.52492384214e-05,4.59396405474e-05,4.9125242683625e-05,5.27039333141e-05,6.024213448225e-05,7.321683384815e-05,8.210065806842499e-05,8.28088886776e-05,1.665433106279587e-05,6
sph_v2,new-data,ST,K,6,0,300.218383071,301.1148950945,307.40927015575,323.550933095,332.10653190833335,341.65333505399997,383.180006409,395.602757306,35.33658512686241,6
sph_v2,old-data-local,P,W,6,0,83.4130417347,87.84164933527501,101.870989513,104.6889184585,106.05052873945,106.70119363525001,128.2005363585,135.208661893,16.688643243537335,6
sph_v2,old-data-local,VX,m/s,6,0,0.295797438033,0.3020360951885,0.321187294197,0.42322014339150005,0.5030930834393333,0.61026608432325,0.84715702731825,0.916529700054,0.24441037577995262,6
sph_v2,old-data-local,LS,m,6,0,4.5e-05,4.5e-05,5.2909208573250005e-05,7.70333711598e-05,6.998087579121667e-05,8.500514812544999e-05,8.8098770241575e-05,8.82882842693e-05,1.9955045222221832e-05,5
sph_v2,old-data-local,ST,K,6,0,300.0,300.0,316.8621457625,369.36479805650004,354.59294211699995,388.2149862185,394.69122047325,394.968412652,43.76434705652678,5
sph_v2,old-data-remote-clean,P,W,6,0,100.408926704,100.8130637165,102.13148335150001,106.2802025595,124.71467808566666,110.126699585,194.90396272524998,223.161294482,48.41274507237625,6
sph_v2,old-data-remote-clean,VX,m/s,6,0,0.225166085115,0.274881911362,0.430934853196,0.5081727823094999,0.5271385668296668,0.5750132856897501,0.8337413007532499,0.918837420936,0.23021242805580244,6
sph_v2,old-data-remote-clean,LS,m,6,0,4.86833733719e-05,5.0299322644825e-05,5.5443185802875e-05,6.0100954360400004e-05,6.506084490641667e-05,7.5572773176425e-05,8.501272669405e-05,8.6859144947e-05,1.5013426403467975e-05,6
sph_v2,old-data-remote-clean,ST,K,6,0,326.092691949,329.43729700875,342.095832984,352.1040635415,351.75105600016667,357.88527160499996,376.00031113424996,381.633419878,18.790867538082082,6
sph_v2,combined,P,W,18,0,83.4130417347,97.859543958605,102.56916848775,108.458838672,131.66054208015,113.071755448,240.64273597039983,339.704237738,63.48283422249836,18
sph_v2,combined,VX,m/s,18,0,0.225166085115,0.2519156393773,0.347877080143,0.544320816052,0.5459594216626111,0.64500021898725,0.9168758581863,0.918837420936,0.22251733063167256,18
sph_v2,combined,LS,m,18,0,4.5e-05,4.5e-05,4.96296375185e-05,6.0100954360400004e-05,6.509461839329444e-05,7.9850342664475e-05,8.764393657503499e-05,8.82882842693e-05,1.6784809728191457e-05,17
sph_v2,combined,ST,K,18,0,300.0,300.0,320.19101333325,347.94087454500004,346.1501766751667,370.32290555975,395.06356435009997,395.602757306,33.767970987021485,17
Week 6,Week 6 exact population,P,W,241,0,52.5445860993,77.1412079225,113.286681534,153.721476211,158.17914139994892,206.272219756,238.319282705,248.695097131,53.077130046052524,241
Week 6,Week 6 exact population,VX,m/s,241,0,0.201002332148,0.237113609615,0.40901295179,0.621036488786,0.6170430614295352,0.844140965531,0.963213148682,0.998321353283,0.24080860656029449,230
Week 6,Week 6 exact population,LS,m,241,0,4.5e-05,4.5e-05,5.40074605054e-05,6.45833025222e-05,6.468328810827841e-05,7.55711119508e-05,8.56302518524e-05,8.97039861056e-05,1.3418983866031391e-05,215
Week 6,Week 6 exact population,ST,K,241,0,300.0,300.0,319.105471156,349.969995372,348.48158867275527,378.601004081,395.193912826,399.457924021,32.4974955523508,215
