method,budget,top_candidate_occurrences,keyhole_fraction_posthoc,q20_concentration_posthoc,q30_concentration_posthoc,median_B1_distance_posthoc,median_nearest_revealed_distance,median_P,median_VX,median_LS,median_ST,median_h
M3_EMI,16,100,0.48,0.67,0.79,0.7714297074862677,1.2354589891001209,243.4895796525,0.426690912013,5.29893041493e-05,351.677261216,925938528.4968743
M3_EMI,24,100,0.43,0.79,0.85,0.7769609261255269,1.093408870911203,220.6485658945,0.43725646984050004,5.29394366699e-05,340.774386379,889879348.9322891
M3_EMI,32,100,0.41,0.75,0.93,0.7735585831182544,0.8715537246478005,243.936893462,0.527188574964,5.29394366699e-05,330.289975384,880518309.0740157
M3_EMI,40,100,0.47,0.75,0.9,0.7914133471407223,0.7903946679163236,277.93408650799995,0.4725281393355,5.6904291389e-05,330.289975384,832018707.8732502
M3_EMI,60,100,0.4,0.54,0.66,0.8428972010418976,0.7690512149105369,353.971838789,0.8980979522195001,4.49939505126e-05,374.88257619850003,1343660346.3735683
M3_EMI,80,100,0.34,0.34,0.58,1.0232400033929963,0.711311336058702,245.08554195800002,0.781444456167,4.64611349328e-05,375.783913497,662544677.8814384
M3_MARGIN,16,100,0.51,0.68,0.81,0.7714297074862677,1.2246235999382775,245.1175567885,0.39316412565250003,5.2629448430700003e-05,351.677261216,940986589.2095225
M3_MARGIN,24,100,0.51,0.84,0.88,0.7701562401109819,0.9335041165663669,224.33632387149999,0.300981342968,5.0138950825600004e-05,349.246855583,920768477.1977149
M3_MARGIN,32,100,0.39,0.79,0.93,0.7647688655124604,0.7944935691844335,243.936893462,0.471971299611,5.3177056457e-05,338.445130091,884374398.5047132
M3_MARGIN,40,100,0.47,0.76,0.9,0.7914133471407223,0.7707013125283705,243.042265843,0.43725646984050004,5.47380727674e-05,332.06755964900003,832018707.8732502
M3_MARGIN,60,100,0.42,0.58,0.7,0.7942090572816913,0.6928757795828637,264.370573209,0.6123480850225,4.78236029631e-05,378.378118453,820542153.5581484
M3_MARGIN,80,100,0.25,0.44,0.69,1.0232400033929963,0.7102724987521433,240.986949999,0.703685008905,5.74396795379e-05,366.829607628,654143584.0181193
M3_SMOCU_APPROX,16,100,0.47,0.67,0.82,0.8122287012719311,1.2415458875729022,235.083850856,0.351323873231,5.19118052277e-05,351.894554175,920768477.1977149
M3_SMOCU_APPROX,24,100,0.35,0.79,0.89,0.7680273644789952,0.9185073491488471,211.816522505,0.300981342968,5.19118052277e-05,343.389931374,897128159.6130042
M3_SMOCU_APPROX,32,100,0.37,0.77,0.94,0.6267876347617916,0.7924715052190601,229.384485496,0.374546448601,5.23440775955e-05,334.763632341,895193348.0992994
M3_SMOCU_APPROX,40,100,0.41,0.72,0.89,0.7914133471407223,0.7903946679163236,266.594749714,0.456291821731,5.698561059035e-05,334.763632341,863628053.9740608
M3_SMOCU_APPROX,60,100,0.58,0.32,0.51,1.0848949869378746,0.7760142179154648,270.660461155,0.731973782988,4.78236029631e-05,362.949632289,1237924485.016901
M3_SMOCU_APPROX,80,100,0.34,0.25,0.32,1.5831222227177468,1.0590015658782352,218.315594294,0.741891960581,6.57722012124e-05,349.4899118465,347997707.70487934
M3_STRADDLE,16,100,0.53,0.69,0.81,0.7735585831182544,1.225138718928378,245.1175567885,0.426690912013,5.23440775955e-05,351.894554175,940986589.2095225
M3_STRADDLE,24,100,0.51,0.89,0.92,0.7647688655124604,1.013197434827756,226.30324970499998,0.300981342968,5.24684299583e-05,348.956388187,920768477.1977149
M3_STRADDLE,32,100,0.44,0.76,0.96,0.7735585831182544,0.8684727030482687,246.298220115,0.544746586635,5.19118052277e-05,330.289975384,884374398.5047132
M3_STRADDLE,40,100,0.46,0.73,0.88,0.7999789192149107,0.8126140059629543,282.804328276,0.4829871108085,5.47380727674e-05,330.289975384,832018707.8732502
M3_STRADDLE,60,100,0.41,0.58,0.71,0.7838639661339589,0.7608315844924941,353.971838789,0.8980979522195001,4.526514691455e-05,375.783913497,1334441327.7894726
M3_STRADDLE,80,100,0.36,0.41,0.71,1.0232400033929963,0.6954683508922497,251.6022239,0.77115452106,4.98713368602e-05,371.3167425885,662544677.8814384
M3_SUR_APPROX,16,100,0.46,0.74,0.9,0.7914133471407223,1.236455807994616,229.384485496,0.310101846937,5.2065765230200004e-05,346.005476369,920768477.1977149
M3_SUR_APPROX,24,100,0.39,0.81,0.89,0.7638361980524048,0.9177832762460466,223.161294482,0.3021588416295,5.29893041493e-05,340.774386379,897128159.6130042
M3_SUR_APPROX,32,100,0.23,0.75,0.96,0.7647688655124604,0.8416656850750386,246.298220115,0.397009615502,5.3362114496e-05,336.786172861,882446353.7893645
M3_SUR_APPROX,40,100,0.44,0.83,0.9,0.7110969329759915,0.7608263151896186,238.364831187,0.4725281393355,5.45268436948e-05,348.90315394649997,825010661.2496309
M3_SUR_APPROX,60,100,0.65,0.57,0.75,0.8556466796201523,0.763853301255479,353.24272675550003,0.791215989527,4.5121594467e-05,369.06696787650003,1343660346.3735683
M3_SUR_APPROX,80,100,0.59,0.32,0.56,1.0848949869378746,0.6903689271543798,346.358455612,0.735158781064,4.55363433165e-05,362.949632289,1413480735.1247072
