target,input,week6_spearman_rho,week6_simulation_count,week6_ci_low,week6_ci_high,new_data_spearman_rho,new_data_ci_low,new_data_ci_high,new_data_simulation_count,same_sign,new_data_ci_includes_zero,absolute_magnitude_change,comparison_status
width,P,0.503091457768938,241,0.3984665263541857,0.5948746447700105,0.023922299457238855,-0.14864229107853474,0.19910816054380917,164,True,True,-0.4791691583116992,INCONCLUSIVE_CI_INCLUDES_ZERO
width,VX,-0.6886744229080755,241,-0.7455073784657738,-0.6190395689710564,-0.7303361310244446,-0.795828161059628,-0.6444843308251562,164,True,False,0.041661708116369156,SAME_SIGN_SIMILAR
width,LS,0.4691680529025124,241,0.3591535479960093,0.5708095267643162,0.49554500564525994,0.3548817370264044,0.6124470794592123,164,True,False,0.02637695274274754,SAME_SIGN_SIMILAR
width,ST,0.1997853997857262,241,0.0668366882492598,0.3276465170996394,0.029730795913647922,-0.12249578905275778,0.18855208918980157,164,True,True,-0.1700546038720783,INCONCLUSIVE_CI_INCLUDES_ZERO
depth,P,0.7888421178971916,241,0.7290979226830009,0.8326980492725904,0.8382381347516765,0.774960762486693,0.8818498425117847,164,True,False,0.049396016854484914,SAME_SIGN_SIMILAR
depth,VX,-0.4378353829161571,241,-0.5259121017732498,-0.3390334294733103,-0.44542053786405117,-0.5484971330781027,-0.3247503584031063,164,True,False,0.007585154947894079,SAME_SIGN_SIMILAR
depth,LS,-0.0192155130431078,241,-0.1540861129952191,0.1158244059801479,-0.5180661923741379,-0.617950718403844,-0.3899067551907602,164,True,False,0.49885067933103006,SAME_SIGN_STRONGER
depth,ST,0.0514609935877212,241,-0.0780568884451429,0.1808463486824821,0.09417381959653393,-0.06066202061214105,0.25719509833037646,164,True,True,0.042712826008812724,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,P,0.9680952299303868,241,0.9398755264672412,0.982112120825936,0.9348196917551995,0.8930674806941278,0.9624997489822619,164,True,False,-0.03327553817518725,SAME_SIGN_SIMILAR
kinetic_energy,VX,-0.0155027627933266,241,-0.1337717600744683,0.1063325072295214,-0.07253683022050521,-0.2160104229262254,0.07658879205118636,164,True,True,0.057034067427178606,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,LS,0.2232733146037548,241,0.0940200803279036,0.3461575113220249,-0.41797777263885294,-0.5296634881882982,-0.2784638402455815,164,False,False,0.19470445803509814,SIGN_REVERSAL
kinetic_energy,ST,0.1327730353196936,241,0.0063988032731344,0.2516865190583691,0.051155577924992854,-0.11383392841528119,0.21005767647848622,164,True,True,-0.08161745739470073,INCONCLUSIVE_CI_INCLUDES_ZERO
total_height,P,0.8010673502280444,241,0.7420432509043907,0.8478045894967374,0.7784310258049596,0.6926047119979677,0.8423576128437327,164,True,False,-0.02263632442308483,SAME_SIGN_SIMILAR
total_height,VX,-0.3096583206692034,241,-0.4113672176716718,-0.1973905644811752,-0.4791859943139307,-0.5873602694811195,-0.35751723028933874,164,True,False,0.16952767364472732,SAME_SIGN_STRONGER
total_height,LS,0.1333375414176651,241,0.0026365416947939,0.263031766116794,-0.3886659502400936,-0.5084766795501271,-0.24908577476438912,164,False,False,0.25532840882242847,SIGN_REVERSAL
total_height,ST,0.0799067818710647,241,-0.0515342562485526,0.2091099226480382,0.07379375076517078,-0.0815228866304414,0.22501729689069233,164,True,True,-0.0061130311058939235,INCONCLUSIVE_CI_INCLUDES_ZERO
