experiment_name,selection_reason,row_index,time_us,depth_um,inside_T0,T0_depth_um,max_depth_um,G3_um,T0_start_time_us,T0_end_time_us,keyhole_timing_relative_to_T0
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,30704,558.2430999999999,2.7539450000000003,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,30776,559.5507,2.674661,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,30848,560.8582,2.843778,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,30920,562.1658000000001,3.028567,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,30992,563.4734,2.90917,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31064,564.781,2.9154609999999996,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31136,566.0885000000001,3.169224,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31208,567.3961,3.532166,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31280,568.7036999999999,3.612937,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31352,570.0113,3.2296329999999998,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31424,571.3188,3.334907,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31496,572.6264,3.576835,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31568,573.934,3.30643,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31640,575.2416,3.18887,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31712,576.5492,3.1072,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31784,577.8566999999999,2.961703,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31856,579.1642999999999,3.152326,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,31928,580.4719,3.4444980000000003,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32000,581.7795,3.306088,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32072,583.087,3.258931,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32144,584.3946,2.9895349999999996,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32216,585.7022,3.057711,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32288,587.0098,2.83485,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32360,588.3172999999999,3.1220700000000003,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32432,589.6249,3.408792,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32504,590.9325,5.99999,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32576,592.2401,5.645609,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32648,593.5477,5.577266000000001,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32720,594.8552,5.953725,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,top consensus depth error,32792,596.1628,5.838995,False,210.0328,215.5489,214.5366,1789.29,2100.003,spans_multiple_T0_regions
