target_population,variable,unit,n,minimum,q25,median,q75,maximum,mean,std
width,P,W,164,102.928146519,202.17320000249998,266.447686986,371.36128434399996,449.762375807,277.78088749717074,101.48598632665647
width,VX,m/s,164,0.20359066256,0.447792659764,0.6410327725989999,0.83546154118075,0.993777087019,0.6318431809459452,0.22369801325177452
width,LS,um,164,40.0293473664,44.333152910425,56.50856070155,72.3043313511,88.7652204691,59.642483209342686,15.374617486238973
width,ST,K,164,300.218383071,324.059163866,348.19189117999997,375.81951593175,399.817710522,349.62988101587194,30.374978003516823
width,width,um,164,111.529485,142.73545000000001,166.656785,191.14615125,300.26985,171.41866481707316,36.546741360022146
depth,P,W,164,102.928146519,202.17320000249998,266.447686986,371.36128434399996,449.762375807,277.78088749717074,101.48598632665647
depth,VX,m/s,164,0.20359066256,0.447792659764,0.6410327725989999,0.83546154118075,0.993777087019,0.6318431809459452,0.22369801325177452
depth,LS,um,164,40.0293473664,44.333152910425,56.50856070155,72.3043313511,88.7652204691,59.642483209342686,15.374617486238973
depth,ST,K,164,300.218383071,324.059163866,348.19189117999997,375.81951593175,399.817710522,349.62988101587194,30.374978003516823
depth,depth,um,164,26.90932,58.75920125,74.74146999999999,100.7426,300.5299,104.53975390243902,73.04079053513087
total_height,P,W,164,102.928146519,202.17320000249998,266.447686986,371.36128434399996,449.762375807,277.78088749717074,101.48598632665647
total_height,VX,m/s,164,0.20359066256,0.447792659764,0.6410327725989999,0.83546154118075,0.993777087019,0.6318431809459452,0.22369801325177452
total_height,LS,um,164,40.0293473664,44.333152910425,56.50856070155,72.3043313511,88.7652204691,59.642483209342686,15.374617486238973
total_height,ST,K,164,300.218383071,324.059163866,348.19189117999997,375.81951593175,399.817710522,349.62988101587194,30.374978003516823
total_height,total_height,um,164,51.44415,88.29979,100.6287575,125.7058175,322.61455,128.8807881707317,71.14033074604124
kinetic_energy,P,W,164,102.928146519,202.17320000249998,266.447686986,371.36128434399996,449.762375807,277.78088749717074,101.48598632665647
kinetic_energy,VX,m/s,164,0.20359066256,0.447792659764,0.6410327725989999,0.83546154118075,0.993777087019,0.6318431809459452,0.22369801325177452
kinetic_energy,LS,um,164,40.0293473664,44.333152910425,56.50856070155,72.3043313511,88.7652204691,59.642483209342686,15.374617486238973
kinetic_energy,ST,K,164,300.218383071,324.059163866,348.19189117999997,375.81951593175,399.817710522,349.62988101587194,30.374978003516823
kinetic_energy,kinetic_energy,nJ,164,0.7339642,2.16219925,3.34997725,4.52607275,8.876052,3.4403432716463422,1.7050741451060387
