target,target_label,target_unit,grid_index,P,VX,predicted_mean,predictive_std,nearest_training_distance_standardized,inside_pairwise_convex_hull,within_observed_support,plot_value_masked_outside_support,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
total_height,T0 total vertical melt-pool height,um,0,102.928146519,0.20359066256,80.13600273782117,34.41077579911101,0.7520074132121419,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,1,114.48928749526667,0.20359066256,77.65048379774439,32.935367153916125,0.7249758493813542,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,2,126.05042847153334,0.20359066256,74.86308256987738,31.857119921723378,0.7153872656803594,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,3,137.61156944779998,0.20359066256,71.82595835237382,31.14793878046274,0.72393509561302,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,4,149.17271042406668,0.20359066256,68.6398591713669,30.724722326329694,0.7499994869825249,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,5,160.73385140033332,0.20359066256,65.45200576156,30.47841602731586,0.7918526146569669,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,6,172.2949923766,0.20359066256,62.44615730314585,30.311823124405862,0.8471576129949525,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,7,183.85613335286666,0.20359066256,59.82690310174394,30.16741364804078,0.9134744682927614,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,8,195.41727432913333,0.20359066256,57.80061275791785,30.03497917662945,0.8881191972948029,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,9,206.9784153054,0.20359066256,56.55525568012649,29.939382308613467,0.8730538683298481,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,10,218.53955628166668,0.20359066256,56.24123660054036,29.91551173957629,0.8728141442821975,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,11,230.10069725793335,0.20359066256,56.95505813375725,29.98152540547044,0.8838581105666873,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,12,241.6618382342,0.20359066256,58.72662114500116,30.12180839922975,0.8873968605910664,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,13,253.22297921046666,0.20359066256,61.51040548527419,30.285653233835937,0.9054586361675795,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,14,264.78412018673333,0.20359066256,65.18223233488405,30.398750316935484,0.9372041509112262,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,15,276.34526116300003,0.20359066256,69.54596373997501,30.378928896313006,0.9502818832973272,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,16,287.9064021392667,0.20359066256,74.35482978817724,30.14900223255817,0.9760785391371032,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,17,299.4675431155333,0.20359066256,79.34799975434426,29.645155806347447,0.9115463448193789,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,18,311.0286840918,0.20359066256,84.29691996328428,28.824122527628827,0.8144787941285302,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,19,322.5898250680667,0.20359066256,89.0521756490837,27.674236430526413,0.7224602400601474,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
total_height,T0 total vertical melt-pool height,um,20,334.15096604433336,0.20359066256,93.5817084524173,26.234877200282213,0.6376801830868466,False,False,,56.50856070155,348.19189117999997,matern32_no_nugget,164,True
