target,target_label,target_unit,varying_input,input_unit,profile,grid_index,input_value,predicted_mean,predictive_std,interval_lower_95,interval_upper_95,nearest_training_distance_standardized,support_distance_threshold,within_observed_support,reference_P,reference_VX,reference_LS,reference_ST,model_configuration,training_sample_size,interpretive_fit_not_out_of_sample_evaluation
width,T0 melt-pool width,um,P,W,median_reference,0,102.928146519,128.37139607680638,2.6721228209827665,123.13403534768015,133.6087568059326,0.4857455020206053,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,1,106.39648881187999,129.5815948316021,2.6149146863812587,124.45636204629484,134.70682761690938,0.4742796842086529,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,2,109.86483110476,130.77874494742662,2.5656615746451434,125.75004826112213,135.8074416337311,0.46506345397964527,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,3,113.33317339764,131.96217867013513,2.524242822869725,127.01466273731047,136.9096946029598,0.45823256634214077,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,4,116.80151569051999,133.13119966866685,2.4904433733407556,128.24993065691896,138.01246868041474,0.45389472869834013,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,5,120.26985798339999,134.2850837508828,2.463950402275401,129.455740962423,139.1144265393426,0.4521217047194082,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,6,123.73820027628,135.42308142846383,2.444355775462995,130.63214410855636,140.2140187483713,0.45294361489178353,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,7,127.20654256915999,136.5444226284109,2.431164515636317,131.77934017776371,141.30950507905808,0.45634643848582557,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,8,130.67488486204,137.64832361400954,2.4238086378155588,132.89765868389105,142.39898854412803,0.4622731841895732,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,9,134.14322715492,138.73399593046733,2.421664991181942,133.98753254775073,143.48045931318393,0.4706285084622959,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,10,137.61156944779998,139.80065694889203,2.4240753114579654,135.04946933843442,144.55184455934963,0.48128594451607676,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,11,141.07991174068,140.84754142640085,2.4303666201472285,136.08402285091228,145.61106000188943,0.4940965483128046,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,12,144.54825403356,141.87391343728717,2.439870367716466,137.0917675165629,146.65605935801145,0.5088977392120461,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,13,148.01659632643998,142.8790780641557,2.451939184655442,138.07327726223102,147.68487886608037,0.5255213508034132,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,14,151.48493861932,143.8623923437435,2.465960622700378,139.02910952325075,148.69567516423623,0.5438002782087973,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,15,154.9532809122,144.82327509110078,2.481367716408191,139.95979436694074,149.68675581526082,0.563573479028507,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
width,T0 melt-pool width,um,P,W,median_reference,16,158.42162320507998,145.76121536261238,2.497646504596908,140.86582821360244,150.6566025116223,0.5829772694972534,1.1837705590429421,True,266.447686986,0.6410327725989999,56.50856070155,348.19189117999997,matern32_learned_nugget,164,True
