target,configuration,configuration_label,kernel_family,noise_treatment,training_population,training_sample_size,optimized_kernel,support_distance_threshold,fit_warning_count,fit_warnings,runtime_seconds,interpretive_fit_not_out_of_sample_evaluation,new_model_family_introduced
width,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matérn 3/2,learned shared nugget,new-data target-ready only,164,"7.67**2 * Matern(length_scale=22.7, nu=1.5) + WhiteKernel(noise_level=0.00214)",1.1837705590429421,0,,0.10488930001156405,True,False
depth,matern32_no_nugget,"Matérn 3/2, numerical jitter",Matérn 3/2,numerical jitter only,new-data target-ready only,164,"1.01**2 * Matern(length_scale=1.8, nu=1.5)",1.1837705590429421,0,,0.11132650001673028,True,False
total_height,matern32_no_nugget,"Matérn 3/2, numerical jitter",Matérn 3/2,numerical jitter only,new-data target-ready only,164,"1.02**2 * Matern(length_scale=1.7, nu=1.5)",1.1837705590429421,0,,0.14037979999557137,True,False
kinetic_energy,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matérn 3/2,learned shared nugget,new-data target-ready only,164,"1.78**2 * Matern(length_scale=4.78, nu=1.5) + WhiteKernel(noise_level=0.0611)",1.1837705590429421,0,,0.1289896999951452,True,False
