benchmark,surrogate_variant,acquisition_rule,method,seed,budget,global_error,classifier_uncertainty_region_fraction_eps005,classifier_uncertainty_region_fraction_eps010,near_boundary_error_q10,near_boundary_test_size_q10,classifier_uncertainty_region_fraction_q10_eps005,classifier_uncertainty_region_fraction_q10_eps010,near_boundary_error_q20,near_boundary_test_size_q20,classifier_uncertainty_region_fraction_q20_eps005,classifier_uncertainty_region_fraction_q20_eps010,near_boundary_error_q30,near_boundary_test_size_q30,classifier_uncertainty_region_fraction_q30_eps005,classifier_uncertainty_region_fraction_q30_eps010
ackley,fixed_iso_gpc,random,random,0,12,0.404,0.6524,0.9332,0.49,1000,0.715,0.98,0.488,2000,0.7055,0.9695,0.47933333333333333,3000,0.712,0.9683333333333334
ackley,fixed_iso_gpc,random,random,0,13,0.3938,0.6544,0.9365,0.471,1000,0.705,0.98,0.4795,2000,0.7,0.9695,0.4696666666666667,3000,0.7033333333333334,0.969
ackley,fixed_iso_gpc,random,random,0,14,0.3766,0.6934,0.9498,0.464,1000,0.768,0.982,0.473,2000,0.7575,0.9755,0.4633333333333333,3000,0.7553333333333333,0.9743333333333334
ackley,fixed_iso_gpc,random,random,0,15,0.3763,0.6591,0.9299,0.465,1000,0.703,0.965,0.473,2000,0.699,0.9605,0.46266666666666667,3000,0.6963333333333334,0.9596666666666667
ackley,fixed_iso_gpc,random,random,0,16,0.3975,0.632,0.9289,0.474,1000,0.652,0.961,0.48,2000,0.6545,0.956,0.4703333333333333,3000,0.647,0.9536666666666667
ackley,fixed_iso_gpc,random,random,0,17,0.3979,0.6086,0.9066,0.474,1000,0.621,0.933,0.4795,2000,0.6185,0.929,0.469,3000,0.613,0.9293333333333333
ackley,fixed_iso_gpc,random,random,0,18,0.4069,0.5872,0.9014,0.47,1000,0.589,0.926,0.4785,2000,0.5915,0.9215,0.4686666666666667,3000,0.585,0.9173333333333333
ackley,fixed_iso_gpc,random,random,0,19,0.4013,0.5564,0.858,0.475,1000,0.556,0.898,0.483,2000,0.557,0.8955,0.4693333333333333,3000,0.5523333333333333,0.8936666666666667
ackley,fixed_iso_gpc,random,random,0,20,0.4027,0.5508,0.8491,0.473,1000,0.536,0.897,0.482,2000,0.5435,0.8915,0.469,3000,0.54,0.8876666666666667
ackley,fixed_iso_gpc,random,random,0,21,0.4029,0.5402,0.8472,0.477,1000,0.521,0.895,0.486,2000,0.5295,0.8885,0.471,3000,0.527,0.8846666666666667
