benchmark,metric,tolerance,surrogate_variant,acquisition_rule,method,mean_curve_first_budget,seed_0_first_budget,seed_1_first_budget,seed_2_first_budget,seed_3_first_budget,seed_4_first_budget
ackley,global_error,0.3,fixed_iso_gpc,classifier_entropy,classifier_entropy,42,43,41,28,51,51
ackley,global_error,0.3,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,30,29,30,32,41,25
ackley,global_error,0.3,fixed_iso_gpc,classifier_margin,classifier_margin,42,43,41,28,51,51
ackley,global_error,0.3,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,33,29,41,35,29,31
ackley,global_error,0.3,fixed_iso_gpc,random,random,56,80,37,37,73,52
ackley,global_error,0.3,optimized_ard_gpc,classifier_entropy,classifier_entropy,45,50,null,37,45,25
ackley,global_error,0.3,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,null,25,null,49,57,63
ackley,global_error,0.3,optimized_ard_gpc,classifier_margin,classifier_margin,45,50,null,37,45,25
ackley,global_error,0.3,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,59,57,61,41,55,58
ackley,global_error,0.3,optimized_ard_gpc,random,random,58,48,53,44,60,36
ackley,global_error,0.3,optimized_iso_gpc,classifier_entropy,classifier_entropy,null,39,null,32,null,null
ackley,global_error,0.3,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,26,null,null
ackley,global_error,0.3,optimized_iso_gpc,classifier_margin,classifier_margin,null,39,null,32,null,null
ackley,global_error,0.3,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,33,null,33,null,null
ackley,global_error,0.3,optimized_iso_gpc,random,random,48,54,37,36,58,46
ackley,global_error,0.25,fixed_iso_gpc,classifier_entropy,classifier_entropy,57,56,56,39,77,61
ackley,global_error,0.25,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,45,31,48,35,46,32
ackley,global_error,0.25,fixed_iso_gpc,classifier_margin,classifier_margin,57,56,56,39,77,61
ackley,global_error,0.25,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,45,46,46,40,45,47
ackley,global_error,0.25,fixed_iso_gpc,random,random,null,null,63,67,null,71
ackley,global_error,0.25,optimized_ard_gpc,classifier_entropy,classifier_entropy,80,62,null,57,59,67
ackley,global_error,0.25,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,null,67,null,73,72,null
ackley,global_error,0.25,optimized_ard_gpc,classifier_margin,classifier_margin,80,62,null,57,59,67
ackley,global_error,0.25,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,null,75,65,57,75
ackley,global_error,0.25,optimized_ard_gpc,random,random,null,77,58,68,null,65
ackley,global_error,0.25,optimized_iso_gpc,classifier_entropy,classifier_entropy,null,65,null,43,null,null
ackley,global_error,0.25,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,33,null,null
ackley,global_error,0.25,optimized_iso_gpc,classifier_margin,classifier_margin,null,65,null,43,null,null
ackley,global_error,0.25,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,60,null,37,null,null
ackley,global_error,0.25,optimized_iso_gpc,random,random,57,71,55,49,72,56
ackley,global_error,0.2,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,null,null,57,null,null
ackley,global_error,0.2,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,62,63,58,58,63,59
ackley,global_error,0.2,fixed_iso_gpc,classifier_margin,classifier_margin,null,null,null,57,null,null
ackley,global_error,0.2,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,66,58,57,69,68,62
ackley,global_error,0.2,fixed_iso_gpc,random,random,null,null,null,null,null,null
ackley,global_error,0.2,optimized_ard_gpc,classifier_entropy,classifier_entropy,null,null,null,null,null,null
ackley,global_error,0.2,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,null,null,null
ackley,global_error,0.2,optimized_ard_gpc,classifier_margin,classifier_margin,null,null,null,null,null,null
ackley,global_error,0.2,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,null,null,null,80,null
ackley,global_error,0.2,optimized_ard_gpc,random,random,null,null,58,null,null,null
ackley,global_error,0.2,optimized_iso_gpc,classifier_entropy,classifier_entropy,null,65,null,47,null,null
ackley,global_error,0.2,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,43,null,null
ackley,global_error,0.2,optimized_iso_gpc,classifier_margin,classifier_margin,null,65,null,47,null,null
ackley,global_error,0.2,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,60,null,50,null,null
ackley,global_error,0.2,optimized_iso_gpc,random,random,80,null,55,65,null,77
ackley,global_error,0.15,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,null,null,null,null,null
ackley,global_error,0.15,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,null,null,null
ackley,global_error,0.15,fixed_iso_gpc,classifier_margin,classifier_margin,null,null,null,null,null,null
ackley,global_error,0.15,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,null,null,null,null,null
ackley,global_error,0.15,fixed_iso_gpc,random,random,null,null,null,null,null,null
ackley,global_error,0.15,optimized_ard_gpc,classifier_entropy,classifier_entropy,null,null,null,null,null,null
ackley,global_error,0.15,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,null,null,null
ackley,global_error,0.15,optimized_ard_gpc,classifier_margin,classifier_margin,null,null,null,null,null,null
ackley,global_error,0.15,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,null,null,null,null,null
ackley,global_error,0.15,optimized_ard_gpc,random,random,null,null,null,null,null,null
ackley,global_error,0.15,optimized_iso_gpc,classifier_entropy,classifier_entropy,null,null,null,68,null,null
ackley,global_error,0.15,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,52,null,null
ackley,global_error,0.15,optimized_iso_gpc,classifier_margin,classifier_margin,null,null,null,68,null,null
ackley,global_error,0.15,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,60,null,63,null,null
ackley,global_error,0.15,optimized_iso_gpc,random,random,null,null,null,null,null,null
ackley,global_error,0.1,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,null,null,null,null,null
ackley,global_error,0.1,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,null,null,null,null,null
ackley,global_error,0.1,fixed_iso_gpc,classifier_margin,classifier_margin,null,null,null,null,null,null
ackley,global_error,0.1,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,null,null,null,null,null
ackley,global_error,0.1,fixed_iso_gpc,random,random,null,null,null,null,null,null
