benchmark_population,run_id,method,formulation,mean_query_boundary_distance,median_query_boundary_distance,minimum_query_boundary_distance,query_count
primary_common,primary_common__r01_f01,binary_margin,binary,0.9654444602886562,0.845426464940154,0.1705316360150575,80
primary_common,primary_common__r01_f01,binary_random,binary,1.4450676062680345,1.3751375781267305,0.4040986836694981,80
primary_common,primary_common__r01_f01,binary_uncertainty_repulsion,binary,0.968002955466838,0.8705959833447965,0.1705316360150575,80
primary_common,primary_common__r01_f01,max_depth_boundary_proximity,max_depth,1.0038921213776761,0.8956584080303351,0.1705316360150575,80
primary_common,primary_common__r01_f01,max_depth_expected_feasibility,max_depth,1.3917192097439346,1.2412030810244947,0.27479774882523406,80
primary_common,primary_common__r01_f01,max_depth_random,max_depth,1.4450676062680345,1.3751375781267305,0.4040986836694981,80
primary_common,primary_common__r01_f01,max_depth_randomized_straddle,max_depth,1.2044082506239353,0.9950555445834725,0.27479774882523406,80
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,1.2102386468076123,0.9950555445834725,0.1705316360150575,80
primary_common,primary_common__r01_f02,binary_margin,binary,0.951126547700371,0.8523510479799867,0.1705316360150575,80
primary_common,primary_common__r01_f02,binary_random,binary,1.4514256544919517,1.4071127533053562,0.4040986836694981,80
primary_common,primary_common__r01_f02,binary_uncertainty_repulsion,binary,0.951126547700371,0.8523510479799867,0.1705316360150575,80
primary_common,primary_common__r01_f02,max_depth_boundary_proximity,max_depth,1.029868675484816,0.9638266870544954,0.1705316360150575,80
primary_common,primary_common__r01_f02,max_depth_expected_feasibility,max_depth,1.3431187585620894,1.2258237445556392,0.35088821695067496,80
primary_common,primary_common__r01_f02,max_depth_random,max_depth,1.4514256544919517,1.4071127533053562,0.4040986836694981,80
primary_common,primary_common__r01_f02,max_depth_randomized_straddle,max_depth,1.2077562715182633,1.0064650357933527,0.1705316360150575,80
primary_common,primary_common__r01_f02,max_depth_straddle,max_depth,1.2442903161347274,1.0813242899349702,0.1705316360150575,80
primary_common,primary_common__r01_f03,binary_margin,binary,0.9806489266085447,0.8899321142614571,0.1705316360150575,80
primary_common,primary_common__r01_f03,binary_random,binary,1.4831263575756846,1.363010215705774,0.1705316360150575,80
primary_common,primary_common__r01_f03,binary_uncertainty_repulsion,binary,0.9740640234820729,0.8595693281596368,0.1705316360150575,80
primary_common,primary_common__r01_f03,max_depth_boundary_proximity,max_depth,1.1191377394838102,0.9531410392270185,0.1705316360150575,80
primary_common,primary_common__r01_f03,max_depth_expected_feasibility,max_depth,1.3745966333937916,1.2301669036276075,0.1705316360150575,80
primary_common,primary_common__r01_f03,max_depth_random,max_depth,1.4831263575756846,1.363010215705774,0.1705316360150575,80
primary_common,primary_common__r01_f03,max_depth_randomized_straddle,max_depth,1.2146314720672355,0.9711667083365494,0.1705316360150575,80
primary_common,primary_common__r01_f03,max_depth_straddle,max_depth,1.2357957389117797,1.0673479573229803,0.1705316360150575,80
primary_common,primary_common__r01_f04,binary_margin,binary,0.9388679313711841,0.8640374408259308,0.1705316360150575,80
primary_common,primary_common__r01_f04,binary_random,binary,1.434932114442152,1.3402055947326454,0.27479774882523406,80
primary_common,primary_common__r01_f04,binary_uncertainty_repulsion,binary,0.9394812399059752,0.8785700120126094,0.1705316360150575,80
primary_common,primary_common__r01_f04,max_depth_boundary_proximity,max_depth,1.2383834911538982,1.2022713586822222,0.1705316360150575,80
primary_common,primary_common__r01_f04,max_depth_expected_feasibility,max_depth,1.4579313255303579,1.3479987864466758,0.27479774882523406,80
primary_common,primary_common__r01_f04,max_depth_random,max_depth,1.434932114442152,1.3402055947326454,0.27479774882523406,80
primary_common,primary_common__r01_f04,max_depth_randomized_straddle,max_depth,1.1989815896444544,1.036298510859051,0.1705316360150575,80
primary_common,primary_common__r01_f04,max_depth_straddle,max_depth,1.2997797855202986,1.1828709129913757,0.27479774882523406,80
primary_common,primary_common__r01_f05,binary_margin,binary,0.9298480528145472,0.841714100762023,0.1705316360150575,80
primary_common,primary_common__r01_f05,binary_random,binary,1.480075340228526,1.4352689892017352,0.1705316360150575,80
primary_common,primary_common__r01_f05,binary_uncertainty_repulsion,binary,0.9361393795688382,0.8478829353136927,0.1705316360150575,80
primary_common,primary_common__r01_f05,max_depth_boundary_proximity,max_depth,1.1864127642550548,0.9930933525033727,0.1705316360150575,80
primary_common,primary_common__r01_f05,max_depth_expected_feasibility,max_depth,1.3433952638363094,1.2593737879741695,0.1705316360150575,80
primary_common,primary_common__r01_f05,max_depth_random,max_depth,1.480075340228526,1.4352689892017352,0.1705316360150575,80
primary_common,primary_common__r01_f05,max_depth_randomized_straddle,max_depth,1.2461716880111864,1.1788112163047484,0.1705316360150575,80
primary_common,primary_common__r01_f05,max_depth_straddle,max_depth,1.2924773680735182,1.214905725772153,0.1705316360150575,80
primary_common,primary_common__r02_f01,binary_margin,binary,0.9644011136087149,0.8865357679908707,0.1705316360150575,80
primary_common,primary_common__r02_f01,binary_random,binary,1.457639499091832,1.400736476892142,0.27479774882523406,80
primary_common,primary_common__r02_f01,binary_uncertainty_repulsion,binary,0.9648085850344099,0.8865357679908707,0.1705316360150575,80
primary_common,primary_common__r02_f01,max_depth_boundary_proximity,max_depth,1.086770372542952,0.8956584080303351,0.1705316360150575,80
primary_common,primary_common__r02_f01,max_depth_expected_feasibility,max_depth,1.4153999583337022,1.271304296812294,0.1705316360150575,80
primary_common,primary_common__r02_f01,max_depth_random,max_depth,1.457639499091832,1.400736476892142,0.27479774882523406,80
primary_common,primary_common__r02_f01,max_depth_randomized_straddle,max_depth,1.251837237458278,0.9950555445834725,0.1705316360150575,80
