label_group,normalized_scan_position,response,unit,contributing_simulations,group_simulations,support_fraction,minimum_support_threshold,display_supported,median,q10,q25,q75,q90,interpolation_used
all,0.0,depth_um,um,25,241,0.1037344398340249,25,True,2.247808,2.1235103000000004,2.205073,2.5475445,4.869037200000005,False
all,0.0,width_um,um,25,241,0.1037344398340249,25,True,36.0,19.987903999999997,35.35778,43.97413,63.18957600000002,False
all,0.0,aspect_ratio,dimensionless,25,241,0.1037344398340249,25,True,0.0697034855806786,0.05122763866449348,0.05785792011451055,0.08691733586609994,0.09895993119541815,False
all,0.005,depth_um,um,27,241,0.11203319502074689,25,True,6.0714310000000005,2.6712458999999997,3.1568815,8.608066,16.018876000000006,False
all,0.005,width_um,um,27,241,0.11203319502074689,25,True,59.93993999999999,42.65441200000001,50.7558125,66.97059999999999,85.05181400000001,False
all,0.005,aspect_ratio,dimensionless,27,241,0.11203319502074689,25,True,0.09928592435640786,0.06625062022471571,0.0733557759423578,0.15044737522739027,0.19623697604277116,False
all,0.01,depth_um,um,27,241,0.11203319502074689,25,True,10.65807,6.4272373,10.14425,16.0966775,27.79500700000001,False
all,0.01,width_um,um,27,241,0.11203319502074689,25,True,74.56406,55.082064,60.445359999999994,79.45540500000001,102.805385,False
all,0.01,aspect_ratio,dimensionless,27,241,0.11203319502074689,25,True,0.15635671179005273,0.11838040016085198,0.14228968265069486,0.22439134060629956,0.2671005911706513,False
all,0.015,depth_um,um,27,241,0.11203319502074689,25,True,14.597775,9.242835,14.13553,20.48745,35.701648000000006,False
all,0.015,width_um,um,27,241,0.11203319502074689,25,True,83.67166,61.848963,65.79690000000001,89.036815,111.68089400000001,False
all,0.015,aspect_ratio,dimensionless,27,241,0.11203319502074689,25,True,0.21077679573370844,0.1539674528751182,0.17564333094818463,0.24984620913948966,0.3137541616040254,False
all,0.02,depth_um,um,27,241,0.11203319502074689,25,True,18.61881,12.728602,18.1880725,24.4071875,39.90141400000001,False
all,0.02,width_um,um,27,241,0.11203319502074689,25,True,91.74604000000001,64.471896,75.3484125,94.3778975,118.954338,False
all,0.02,aspect_ratio,dimensionless,27,241,0.11203319502074689,25,True,0.23876382615139205,0.20083036126962223,0.2181246646740941,0.26833028202058806,0.3375385110324359,False
all,0.025,depth_um,um,27,241,0.11203319502074689,25,True,22.598574999999997,14.374204,18.420437500000002,26.645885,43.90066000000001,False
all,0.025,width_um,um,27,241,0.11203319502074689,25,True,93.248345,71.118011,80.97205500000001,99.864125,123.62737000000001,False
all,0.025,aspect_ratio,dimensionless,27,241,0.11203319502074689,25,True,0.2555178665145372,0.2156243488263237,0.23845864042666842,0.2799889545160814,0.352383685525816,False
