benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30
branin,random,0,1,6,7,171,62.61713381791127,False,False,False
branin,random,0,2,7,8,362,25.36994880037181,False,False,False
branin,random,0,3,8,9,1109,50.22754129362457,False,False,False
branin,random,0,4,9,10,1233,17.764270620644226,False,False,False
branin,random,0,5,10,11,133,28.359214286625225,False,False,False
branin,random,0,6,11,12,11,55.60252173010183,False,False,False
branin,random,0,7,12,13,884,23.462355612735195,False,False,False
branin,random,0,8,13,14,1153,45.65924249577374,False,False,False
branin,random,0,9,14,15,480,37.586102512870696,False,False,False
branin,random,0,10,15,16,495,5.725639305720094,False,True,True
branin,random,0,11,16,17,1181,51.819246359621985,False,False,False
branin,random,0,12,17,18,1440,18.214506459056768,False,False,False
branin,random,0,13,18,19,570,167.66905416131513,False,False,False
branin,random,0,14,19,20,428,11.991949460130655,False,False,True
branin,random,0,15,20,21,1111,36.37115770685958,False,False,False
branin,random,0,16,21,22,948,22.110908073526062,False,False,False
branin,random,0,17,22,23,45,127.34087586889194,False,False,False
branin,random,0,18,23,24,1477,65.07185060709685,False,False,False
branin,random,0,19,24,25,299,18.525120918728774,False,False,False
branin,random,0,20,25,26,1372,9.704889803147427,False,False,True
branin,random,0,21,26,27,646,20.237631716983017,False,False,False
branin,random,0,22,27,28,116,55.780569754672214,False,False,False
branin,random,0,23,28,29,257,17.13466500759828,False,False,False
branin,random,0,24,29,30,1191,10.305729344939472,False,False,True
branin,random,0,25,30,31,163,25.857195747517846,False,False,False
branin,random,0,26,31,32,756,73.5912266725218,False,False,False
branin,random,0,27,32,33,1346,48.679088919579044,False,False,False
branin,random,0,28,33,34,1012,23.55324020211188,False,False,False
branin,random,0,29,34,35,1084,19.114961481873124,False,False,False
branin,random,0,30,35,36,605,90.68676411480509,False,False,False
branin,random,0,31,36,37,942,0.8067879843526384,True,True,True
branin,random,0,32,37,38,181,23.92444595861551,False,False,False
branin,random,0,33,38,39,549,8.663990378349624,False,True,True
branin,random,0,34,39,40,268,4.154283701156505,True,True,True
branin,random,0,35,40,41,1138,22.27216416307368,False,False,False
branin,random,0,36,41,42,1037,3.963209008809173,True,True,True
branin,random,0,37,42,43,342,73.352186758807,False,False,False
branin,random,0,38,43,44,114,2.9867752328859822,True,True,True
branin,random,0,39,44,45,273,0.8214646349381098,True,True,True
branin,random,0,40,45,46,802,23.06410404080522,False,False,False
branin,random,0,41,46,47,103,26.76050033054537,False,False,False
branin,random,0,42,47,48,1106,24.977558142747533,False,False,False
branin,random,0,43,48,49,1491,1.372230449540087,True,True,True
branin,random,0,44,49,50,29,44.81570246669716,False,False,False
branin,random,1,1,6,7,780,14.011109682933835,False,False,False
branin,random,1,2,7,8,300,46.9073315671035,False,False,False
branin,random,1,3,8,9,1104,8.53840317077103,False,True,True
branin,random,1,4,9,10,839,2.188062511494863,True,True,True
branin,random,1,5,10,11,909,43.03896433625238,False,False,False
branin,random,1,6,11,12,110,17.086107357130075,False,False,False
branin,random,1,7,12,13,1336,155.3831624944744,False,False,False
branin,random,1,8,13,14,1128,14.875028278304207,False,False,False
branin,random,1,9,14,15,580,21.54136989196222,False,False,False
branin,random,1,10,15,16,1346,19.474253833306488,False,False,False
branin,random,1,11,16,17,191,167.9488129047466,False,False,False
branin,random,1,12,17,18,1349,5.778262743952908,False,True,True
branin,random,1,13,18,19,1363,76.8421444247113,False,False,False
branin,random,1,14,19,20,1297,15.003709829789727,False,False,False
branin,random,1,15,20,21,88,63.47190497164256,False,False,False
branin,random,1,16,21,22,1002,41.22212920432591,False,False,False
branin,random,1,17,22,23,1049,209.72860092571702,False,False,False
branin,random,1,18,23,24,525,153.9981113575257,False,False,False
branin,random,1,19,24,25,1148,34.22328593228009,False,False,False
branin,random,1,20,25,26,1385,13.787986670776775,False,False,False
branin,random,1,21,26,27,875,16.23074384910569,False,False,False
branin,random,1,22,27,28,1485,27.303334380652093,False,False,False
branin,random,1,23,28,29,998,9.301619272101934,False,False,True
branin,random,1,24,29,30,804,84.14796818606207,False,False,False
branin,random,1,25,30,31,143,147.432555043744,False,False,False
branin,random,1,26,31,32,456,58.33642613561746,False,False,False
branin,random,1,27,32,33,186,4.310809673005636,True,True,True
branin,random,1,28,33,34,51,42.46291796126734,False,False,False
branin,random,1,29,34,35,541,50.74795656484039,False,False,False
branin,random,1,30,35,36,439,54.73308027357082,False,False,False
branin,random,1,31,36,37,268,123.94304504718056,False,False,False
branin,random,1,32,37,38,1007,7.856586030763886,False,True,True
branin,random,1,33,38,39,116,94.94251780661266,False,False,False
branin,random,1,34,39,40,533,113.12932003974228,False,False,False
branin,random,1,35,40,41,710,27.639716658465524,False,False,False
branin,random,1,36,41,42,1392,12.120541656395783,False,False,True
branin,random,1,37,42,43,1137,27.81834215418801,False,False,False
branin,random,1,38,43,44,367,7.875538033493157,False,True,True
branin,random,1,39,44,45,785,11.436149944595357,False,False,True
branin,random,1,40,45,46,669,125.05771859957599,False,False,False
branin,random,1,41,46,47,913,74.98274470001648,False,False,False
branin,random,1,42,47,48,1157,11.209954308587932,False,False,True
branin,random,1,43,48,49,1278,65.4376503275402,False,False,False
branin,random,1,44,49,50,183,8.282354515084087,False,True,True
branin,random,2,1,6,7,901,17.2967512740738,False,False,False
branin,random,2,2,7,8,143,27.95927594915137,False,False,False
branin,random,2,3,8,9,705,66.13864237910181,False,False,False
branin,random,2,4,9,10,509,4.907615849134718,True,True,True
branin,random,2,5,10,11,1117,8.677038401569646,False,True,True
branin,random,2,6,11,12,1270,59.009957608207785,False,False,False
branin,random,2,7,12,13,1491,12.242787885144217,False,False,True
branin,random,2,8,13,14,268,11.56159827903042,False,False,True
branin,random,2,9,14,15,1167,11.09304438827655,False,False,True
branin,random,2,10,15,16,569,22.251602120721852,False,False,False
branin,random,2,11,16,17,1431,126.28171844136219,False,False,False
branin,random,2,12,17,18,1005,6.196576315766073,False,True,True
branin,random,2,13,18,19,140,0.9877177088223839,True,True,True
branin,random,2,14,19,20,1146,27.19971610283146,False,False,False
branin,random,2,15,20,21,1128,24.822318571996956,False,False,False
branin,random,2,16,21,22,1111,2.2177145747401745,True,True,True
branin,random,2,17,22,23,1096,45.62194160545425,False,False,False
branin,random,2,18,23,24,1336,15.519946446691105,False,False,False
branin,random,2,19,24,25,544,47.60808415448885,False,False,False
branin,random,2,20,25,26,927,96.49080341194399,False,False,False
branin,random,2,21,26,27,681,14.005758686245574,False,False,False
branin,random,2,22,27,28,570,14.676081534307684,False,False,False
branin,random,2,23,28,29,679,135.9418187084169,False,False,False
branin,random,2,24,29,30,666,116.02516928444103,False,False,False
branin,random,2,25,30,31,1094,3.9371304387655393,True,True,True
branin,random,2,26,31,32,812,102.49834201996958,False,False,False
branin,random,2,27,32,33,68,7.970065105967933,False,True,True
branin,random,2,28,33,34,1135,6.469973914385292,False,True,True
branin,random,2,29,34,35,319,22.627959585677644,False,False,False
branin,random,2,30,35,36,922,32.28052786694077,False,False,False
branin,random,2,31,36,37,518,12.85973044964404,False,False,True
branin,random,2,32,37,38,981,27.38263107830828,False,False,False
branin,random,2,33,38,39,83,87.58507202274133,False,False,False
branin,random,2,34,39,40,228,6.108156406748122,False,True,True
branin,random,2,35,40,41,399,18.90473893486641,False,False,False
branin,random,2,36,41,42,615,8.0364839221429,False,True,True
branin,random,2,37,42,43,401,52.62769409656437,False,False,False
branin,random,2,38,43,44,1214,134.86943116658728,False,False,False
branin,random,2,39,44,45,167,13.5924521903644,False,False,False
branin,random,2,40,45,46,787,24.29877704565213,False,False,False
branin,random,2,41,46,47,999,3.254250123730131,True,True,True
branin,random,2,42,47,48,295,33.968407429717196,False,False,False
branin,random,2,43,48,49,260,20.280509927011877,False,False,False
branin,random,2,44,49,50,1384,0.9763186353576145,True,True,True
branin,random,3,1,6,7,1196,18.747211676457102,False,False,False
branin,random,3,2,7,8,1156,17.29752472158345,False,False,False
branin,random,3,3,8,9,843,26.45117235932606,False,False,False
branin,random,3,4,9,10,1160,38.14561073468934,False,False,False
branin,random,3,5,10,11,890,120.79901391217928,False,False,False
branin,random,3,6,11,12,496,27.519536355589274,False,False,False
branin,random,3,7,12,13,563,26.241120510789386,False,False,False
branin,random,3,8,13,14,1035,7.316100829879936,False,True,True
branin,random,3,9,14,15,1264,171.90362082714378,False,False,False
branin,random,3,10,15,16,1391,21.556527361251405,False,False,False
branin,random,3,11,16,17,870,44.23277753912001,False,False,False
branin,random,3,12,17,18,748,12.028788511597185,False,False,True
branin,random,3,13,18,19,847,26.451572653599627,False,False,False
branin,random,3,14,19,20,178,12.424166569856645,False,False,False
branin,random,3,15,20,21,123,53.78743684479393,False,False,False
branin,random,3,16,21,22,474,20.573730579410977,False,False,False
branin,random,3,17,22,23,136,5.033249717336247,True,True,True
branin,random,3,18,23,24,382,26.552066477301167,False,False,False
branin,random,3,19,24,25,59,54.65943568290403,False,False,False
branin,random,3,20,25,26,586,22.14842123015662,False,False,False
branin,random,3,21,26,27,1207,21.514889659626952,False,False,False
branin,random,3,22,27,28,502,11.012630940933548,False,False,True
branin,random,3,23,28,29,1208,97.87950360303277,False,False,False
branin,random,3,24,29,30,508,178.26897729639435,False,False,False
branin,random,3,25,30,31,919,6.323683562577472,False,True,True
branin,random,3,26,31,32,1316,16.095733033305848,False,False,False
branin,random,3,27,32,33,881,83.77458190010124,False,False,False
branin,random,3,28,33,34,222,107.55664543258584,False,False,False
branin,random,3,29,34,35,1023,8.475379828736948,False,True,True
branin,random,3,30,35,36,625,10.526553707979474,False,False,True
branin,random,3,31,36,37,462,35.086215779050576,False,False,False
branin,random,3,32,37,38,372,27.395936981071905,False,False,False
branin,random,3,33,38,39,1126,20.61320515756232,False,False,False
branin,random,3,34,39,40,291,35.31058713553085,False,False,False
branin,random,3,35,40,41,553,0.4771108472949237,True,True,True
branin,random,3,36,41,42,182,11.7149247170806,False,False,True
branin,random,3,37,42,43,1048,10.486066695061602,False,False,True
branin,random,3,38,43,44,1283,20.39510025934424,False,False,False
branin,random,3,39,44,45,1256,71.87694928248523,False,False,False
branin,random,3,40,45,46,1270,32.5545546297477,False,False,False
branin,random,3,41,46,47,117,24.44846220737188,False,False,False
branin,random,3,42,47,48,745,89.28903820181644,False,False,False
branin,random,3,43,48,49,1416,145.62481071260675,False,False,False
branin,random,3,44,49,50,217,9.361352535947919,False,False,True
branin,random,4,1,6,7,1035,31.418134676780348,False,False,False
branin,random,4,2,7,8,91,28.710188609326586,False,False,False
branin,random,4,3,8,9,1343,10.660850499514474,False,False,True
branin,random,4,4,9,10,98,106.5236098210421,False,False,False
branin,random,4,5,10,11,1238,10.831551561197816,False,False,True
branin,random,4,6,11,12,729,103.65817725346818,False,False,False
branin,random,4,7,12,13,1141,10.459838245901068,False,False,True
branin,random,4,8,13,14,104,163.41180788470584,False,False,False
branin,random,4,9,14,15,499,4.360254524464622,True,True,True
branin,random,4,10,15,16,6,44.0495970525306,False,False,False
branin,random,4,11,16,17,447,9.502290753274288,False,False,True
branin,random,4,12,17,18,1003,24.530119886301378,False,False,False
branin,random,4,13,18,19,563,0.36441483270499475,True,True,True
branin,random,4,14,19,20,1366,112.12375488390464,False,False,False
branin,random,4,15,20,21,682,142.067851865737,False,False,False
branin,random,4,16,21,22,837,13.9057106978168,False,False,False
branin,random,4,17,22,23,272,40.34486156161677,False,False,False
branin,random,4,18,23,24,346,156.43372335273588,False,False,False
branin,random,4,19,24,25,1432,24.999158264464782,False,False,False
branin,random,4,20,25,26,192,22.684820210230647,False,False,False
branin,random,4,21,26,27,1021,41.93792740289015,False,False,False
branin,random,4,22,27,28,1271,23.76769772275759,False,False,False
branin,random,4,23,28,29,504,1.7461326918354274,True,True,True
branin,random,4,24,29,30,1417,94.29365324152627,False,False,False
branin,random,4,25,30,31,1015,43.79217272574641,False,False,False
branin,random,4,26,31,32,612,54.19382559213609,False,False,False
branin,random,4,27,32,33,358,17.679535449068812,False,False,False
branin,random,4,28,33,34,1464,58.14704755384325,False,False,False
branin,random,4,29,34,35,595,17.609175683558327,False,False,False
branin,random,4,30,35,36,39,37.155565666314686,False,False,False
branin,random,4,31,36,37,1086,74.52216988522507,False,False,False
branin,random,4,32,37,38,14,4.730162451190637,True,True,True
branin,random,4,33,38,39,1273,4.363701772440507,True,True,True
branin,random,4,34,39,40,538,11.438485966599885,False,False,True
branin,random,4,35,40,41,660,51.36604540877663,False,False,False
branin,random,4,36,41,42,1458,164.46754050550902,False,False,False
branin,random,4,37,42,43,392,84.79150937431527,False,False,False
branin,random,4,38,43,44,619,26.288388407913477,False,False,False
branin,random,4,39,44,45,666,25.479358189894228,False,False,False
branin,random,4,40,45,46,1270,25.68871947709895,False,False,False
branin,random,4,41,46,47,693,13.557943359796656,False,False,False
branin,random,4,42,47,48,899,18.844788902294184,False,False,False
branin,random,4,43,48,49,1078,110.97644421771889,False,False,False
branin,random,4,44,49,50,1053,21.111113201733087,False,False,False
branin,smallest_abs_mu,0,1,6,7,13,110.69330734985172,False,False,False
branin,smallest_abs_mu,0,2,7,8,134,4.519286021858228,True,True,True
branin,smallest_abs_mu,0,3,8,9,636,9.509472795290442,False,False,True
branin,smallest_abs_mu,0,4,9,10,1181,51.819246359621985,False,False,False
branin,smallest_abs_mu,0,5,10,11,1,209.32429766383956,False,False,False
branin,smallest_abs_mu,0,6,11,12,1106,24.977558142747533,False,False,False
branin,smallest_abs_mu,0,7,12,13,1062,9.452459842280206,False,False,True
branin,smallest_abs_mu,0,8,13,14,257,17.13466500759828,False,False,False
branin,smallest_abs_mu,0,9,14,15,1390,5.210305187240969,False,True,True
branin,smallest_abs_mu,0,10,15,16,944,24.053445627711262,False,False,False
branin,smallest_abs_mu,0,11,16,17,501,13.107751048851505,False,False,False
branin,smallest_abs_mu,0,12,17,18,77,3.9930886259584,True,True,True
branin,smallest_abs_mu,0,13,18,19,623,21.618898126240158,False,False,False
branin,smallest_abs_mu,0,14,19,20,1260,170.62145775410877,False,False,False
branin,smallest_abs_mu,0,15,20,21,48,17.86775148322078,False,False,False
branin,smallest_abs_mu,0,16,21,22,979,37.80887896937415,False,False,False
branin,smallest_abs_mu,0,17,22,23,819,7.306867404927246,False,True,True
branin,smallest_abs_mu,0,18,23,24,20,19.633304837862283,False,False,False
branin,smallest_abs_mu,0,19,24,25,1230,9.06856232310895,False,False,True
branin,smallest_abs_mu,0,20,25,26,1028,54.44015414341841,False,False,False
branin,smallest_abs_mu,0,21,26,27,719,4.178423718109389,True,True,True
branin,smallest_abs_mu,0,22,27,28,929,1.6384280113108893,True,True,True
branin,smallest_abs_mu,0,23,28,29,883,19.402682234355808,False,False,False
branin,smallest_abs_mu,0,24,29,30,938,14.757838216555117,False,False,False
branin,smallest_abs_mu,0,25,30,31,746,0.986746969345262,True,True,True
branin,smallest_abs_mu,0,26,31,32,399,104.58209251657581,False,False,False
branin,smallest_abs_mu,0,27,32,33,862,48.18372806034482,False,False,False
branin,smallest_abs_mu,0,28,33,34,39,7.556761788346975,False,True,True
branin,smallest_abs_mu,0,29,34,35,687,7.1241819240849935,False,True,True
branin,smallest_abs_mu,0,30,35,36,984,10.64576464876334,False,False,True
branin,smallest_abs_mu,0,31,36,37,404,33.27659392278757,False,False,False
branin,smallest_abs_mu,0,32,37,38,306,7.8934170695171275,False,True,True
branin,smallest_abs_mu,0,33,38,39,1322,77.81932706840684,False,False,False
branin,smallest_abs_mu,0,34,39,40,418,46.47485212517097,False,False,False
branin,smallest_abs_mu,0,35,40,41,1025,1.0529729738778109,True,True,True
branin,smallest_abs_mu,0,36,41,42,976,15.881826663154243,False,False,False
branin,smallest_abs_mu,0,37,42,43,893,5.179192619733435,False,True,True
branin,smallest_abs_mu,0,38,43,44,100,2.6615628617721896,True,True,True
branin,smallest_abs_mu,0,39,44,45,347,11.117961636246779,False,False,True
branin,smallest_abs_mu,0,40,45,46,1328,1.3967161011682983,True,True,True
branin,smallest_abs_mu,0,41,46,47,450,8.135268254537174,False,True,True
branin,smallest_abs_mu,0,42,47,48,155,3.71194237394117,True,True,True
branin,smallest_abs_mu,0,43,48,49,1176,13.432100807679248,False,False,False
branin,smallest_abs_mu,0,44,49,50,634,4.503604985256828,True,True,True
branin,smallest_abs_mu,1,1,6,7,664,25.707174844508003,False,False,False
branin,smallest_abs_mu,1,2,7,8,268,123.94304504718056,False,False,False
branin,smallest_abs_mu,1,3,8,9,108,146.55551689330122,False,False,False
branin,smallest_abs_mu,1,4,9,10,1100,115.80708567805894,False,False,False
branin,smallest_abs_mu,1,5,10,11,307,16.762886173214625,False,False,False
branin,smallest_abs_mu,1,6,11,12,1392,12.120541656395783,False,False,True
branin,smallest_abs_mu,1,7,12,13,1188,13.817579566213738,False,False,False
branin,smallest_abs_mu,1,8,13,14,161,20.76093514800145,False,False,False
branin,smallest_abs_mu,1,9,14,15,490,56.35849763103538,False,False,False
branin,smallest_abs_mu,1,10,15,16,631,21.822047046355497,False,False,False
branin,smallest_abs_mu,1,11,16,17,1406,15.595613602580778,False,False,False
