model,subset,repeat_blocks,mean_roc_auc,ci_lower_roc_auc,ci_upper_roc_auc,mean_pr_auc,ci_lower_pr_auc,ci_upper_pr_auc,mean_balanced_accuracy,ci_lower_balanced_accuracy,ci_upper_balanced_accuracy,mean_keyhole_recall,ci_lower_keyhole_recall,ci_upper_keyhole_recall,mean_conduction_recall,ci_lower_conduction_recall,ci_upper_conduction_recall
gpc_4d,B1_q20,20,0.9197102702959477,0.9164156302787685,0.9231817584213315,0.8672534019587548,0.860378269121715,0.8735948765980165,0.8159087539762373,0.8032977630471829,0.8287516358624333,0.7323267063423609,0.7093661252715895,0.7536230630632017,0.8994908016101133,0.8886205051920784,0.9101209145583729
gpc_4d,B1_q30,20,0.9522768983490018,0.9504396215464113,0.9541652912531543,0.8974546417944227,0.8933006606045628,0.9017279347849737,0.8487619262148918,0.8389318663667251,0.8580518150687481,0.7613329759671225,0.7431134581881534,0.7786001044179398,0.9361908764626611,0.9284659796602867,0.9432642677412797
gpc_4d,full81,20,0.992587473180393,0.9922965835946524,0.9928928040930849,0.9682864446329029,0.9673110978775462,0.9693416548197733,0.92508664796171,0.9198743604555208,0.9299153892969139,0.8664383561643835,0.8561643835616438,0.8760273972602739,0.9837349397590363,0.9817771084337348,0.985542168674699
log_h_logistic,B1_q20,20,0.9038989842546789,0.9019411122439095,0.9058334871721815,0.8044134945004118,0.7994079502447016,0.8091461975650682,0.8104312396235205,0.8055408814122182,0.8153249199661317,0.7095494462447736,0.7017479160377493,0.7174207891551049,0.9113130330022671,0.9061327227819044,0.9161560422733843
log_h_logistic,B1_q30,20,0.9379293592578243,0.9367972743927334,0.9389535057062784,0.8343467564918615,0.8275633282028133,0.8405600281904692,0.8428755558424177,0.8398506196136266,0.8457702589747104,0.7501973331546503,0.7448439593942643,0.7549878830519072,0.9355537785301848,0.9323769312642399,0.9391480353699339
log_h_logistic,full81,20,0.989697144743357,0.9893670056940087,0.9899777190955603,0.9500547851409002,0.9471470451527514,0.9526646201203831,0.9221963195246741,0.9209770589206141,0.9232577570556195,0.8609589041095891,0.858219178082192,0.863013698630137,0.9834337349397592,0.9825301204819276,0.9844879518072288
physics_ridge_residual_gp,B1_q20,20,0.9105944252088941,0.9090435089601924,0.9121873212139635,0.8115261812934783,0.8073633109913644,0.8156566989831204,0.8194934445035665,0.8154540755256464,0.8238881366276952,0.7171834543934876,0.7076586550309273,0.7279133453418024,0.9218034346136454,0.9149482699659445,0.9281540126355331
physics_ridge_residual_gp,B1_q30,20,0.9437879609412771,0.9426631464174821,0.9447824260566897,0.8436576922116629,0.8374840991928222,0.8497238389697636,0.8528117136888123,0.849647153147501,0.8558863310184223,0.7564823997141071,0.7517860409407666,0.7609811182212097,0.949141027663517,0.9438686244881814,0.9538200710797068
physics_ridge_residual_gp,full81,20,0.99099273807559,0.990751361610827,0.991197031275788,0.9567241565556138,0.9547109656269008,0.9583732322351056,0.9257158772074598,0.9244285360620562,0.9269770692358476,0.8643835616438358,0.8616438356164384,0.8671232876712329,0.9870481927710845,0.9856927710843376,0.9882530120481929
