method,metric,full_population_model_stable_heldouts,stable_only_refit,absolute_change,relative_change,percent_change,rmse_materiality_threshold_absolute_relative,rmse_change_is_material,materiality_interpretation
B_learned_nugget,mae_um,1.9977667913039168,1.8022708399891896,-0.1954959513147272,-0.09785724348092176,-9.785724348092176,,,
B_learned_nugget,rmse_um,3.3822904196617753,2.7289428268687326,-0.6533475927930428,-0.1931672067528656,-19.31672067528656,0.05,True,"5% absolute relative RMSE change is descriptive only, not a formal statistical test"
B_learned_nugget,r2,0.9521843819004459,0.9688730292735509,0.016688647373105048,0.017526697234622256,1.7526697234622257,,,
B_learned_nugget,mean_nlpd,2.7258251362319683,2.4404252296264897,-0.28539990660547865,-0.10470220661329724,-10.470220661329725,,,
B_learned_nugget,latent_95_coverage,0.9391304347826087,0.8782608695652174,-0.060869565217391286,-0.0648148148148148,-6.48148148148148,,,
B_learned_nugget,observation_95_coverage,0.9782608695652174,0.9521739130434783,-0.02608695652173909,-0.026666666666666627,-2.6666666666666625,,,
B_learned_nugget,optimized_length_scale_median,5.172579560514922,6.644820212337624,1.4722406518227018,0.284624070949262,28.4624070949262,,,
B_learned_nugget,optimized_signal_variance_median_normalized,3.7700712563262497,5.997089235758337,2.2270179794320875,0.5907097845153748,59.070978451537485,,,
B_learned_nugget,optimized_noise_variance_median_normalized,0.04844261366794475,0.013180093056253922,-0.03526252061169083,-0.7279235768202285,-72.79235768202284,,,
B_learned_nugget,training_alpha_normalized_median_across_folds,1e-08,1e-08,0.0,0.0,0.0,,,
C_heteroskedastic,mae_um,2.2674743076871766,2.076666935338183,-0.1908073723489938,-0.08414973951507186,-8.414973951507186,,,
C_heteroskedastic,rmse_um,3.5178017501905647,3.0137977501380315,-0.5040040000525332,-0.14327242859130151,-14.327242859130152,0.05,True,"5% absolute relative RMSE change is descriptive only, not a formal statistical test"
C_heteroskedastic,r2,0.9482761665638353,0.9620356304793878,0.013759463915552494,0.014509975469921553,1.4509975469921552,,,
C_heteroskedastic,mean_nlpd,2.8060316859961945,2.703816760990351,-0.1022149250058435,-0.03642686057893009,-3.642686057893009,,,
C_heteroskedastic,latent_95_coverage,0.9391304347826087,0.9130434782608695,-0.026086956521739202,-0.027777777777777853,-2.7777777777777852,,,
C_heteroskedastic,observation_95_coverage,0.9391304347826087,0.9130434782608695,-0.026086956521739202,-0.027777777777777853,-2.7777777777777852,,,
C_heteroskedastic,optimized_length_scale_median,1.5193423503412382,2.3614235095171674,0.8420811591759292,0.5542405626926684,55.42405626926684,,,
C_heteroskedastic,optimized_signal_variance_median_normalized,0.8654438145080023,1.2399956505097882,0.3745518360017859,0.4327858489747431,43.27858489747431,,,
C_heteroskedastic,optimized_noise_variance_median_normalized,,,,,,,,
C_heteroskedastic,training_alpha_normalized_median_across_folds,1.1988721841296104e-06,1.2262146985261866e-06,2.734251439657616e-08,0.022806863616096837,2.2806863616096837,,,
