benchmark_population,run_id,repeat,fold,method,formulation,train_pool_count,untouched_test_count,nominal_warm_start,effective_warm_start,final_budget,fit_count,fit_status_counts_json,optimizer_warning_count,unique_optimizer_warning_count,kernel_bound_hit_count,runtime_seconds,query_trajectory_sha256,warm_start_sha256,split_sha256,checkpoint_fingerprint
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,324,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,1.6936687999987043,66c62debe26db8dab5912da0f9337f81131339e5cfcc5b8c250874aa6bbeecc1,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,90d5d6426053f1b2efb48e5ccab1b0f3b05ea06889eff1f9a5956be51e957e34
primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,324,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,1.8682737000053748,9e13fc5f71eacee1053b73250129a6b7b6634957a5100f59672f554e782a953d,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,e596fafafa31f96cf99b704ff2d204f385e9bcca2b429f5702dbc37a89985472
primary_common,primary_common__r01_f01,1,1,binary_random,binary,324,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,1.341628700029105,66c62debe26db8dab5912da0f9337f81131339e5cfcc5b8c250874aa6bbeecc1,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,81b0e006cbab8293bb60e729c8fdab568424f62bdb53b616a5e167c34788fd90
primary_common,primary_common__r01_f01,1,1,binary_margin,binary,324,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,0.8008180999895558,e74c987781579f69919e3c46cb150775329ac5d5b551f5d5c9c87b8a26f222f6,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,267ae5bec973fc7c6b2ab842c22744df50b81e4dd4c689ef09a502b8bc3cf49f
primary_common,primary_common__r01_f02,1,2,max_depth_random,max_depth,324,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,1.720856299973093,55e374b151b22aec193a92d633ed684369cb95c2c20cd860602c2b8f243aff12,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,139922d1eae9bff21ad0dd134c851b10884fa35149043e1749e22f5e6b76136c
primary_common,primary_common__r01_f02,1,2,max_depth_straddle,max_depth,324,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,1.8819276999565773,027e84f2d0495893db32dd269bfd9a592a3c5c1e5bd915e5fa95c2a899dd1fa2,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,dc021bac2dfd71c2af38d200b91f7ea236c64b16bf9ffac268d0eb5a68280651
primary_common,primary_common__r01_f02,1,2,binary_random,binary,324,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,1.2708003999432549,55e374b151b22aec193a92d633ed684369cb95c2c20cd860602c2b8f243aff12,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,2f80212da03d32958772ce062716422f5bff441f95d2529ee2d1abee93edfefa
primary_common,primary_common__r01_f02,1,2,binary_margin,binary,324,81,12,12,30,19,"{""optimized_primary"": 19}",2,1,2,0.853733399999328,48216d76155f018ad3ed740036bee37df8fa376559cf8adfc46995e206d7dcd1,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,e86f1c4a7c9d41302a5c3e712f04cfae1c0801a82f464eb7f759b81e21e46ceb
secondary_g3_common,secondary_g3_common__r01_f01,1,1,g3_random,g3,323,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,0.6209631999954581,805bab089cf4c9777e1992309596cfbcb93780e5323f12921b762ac6957db061,bcca39ca84cc4c8c0ea5258529c2d24df6976c1466b9b3155e8321c594a4a878,d3122846ede703bcc87baaddbf1093fc5c4879695132addd89c58270e1b4bdcf,22995bc9d84a74f0f1257fda2634da753042b98f63a0ccfc6268f77d2f4a5577
secondary_g3_common,secondary_g3_common__r01_f01,1,1,g3_straddle,g3,323,81,12,12,30,19,"{""optimized_primary"": 19}",0,0,0,0.7907760999514721,7f92270eb8ee67316febb69c6e46d8f5511fcface9ddc0bcca7eddf3562d70d7,bcca39ca84cc4c8c0ea5258529c2d24df6976c1466b9b3155e8321c594a4a878,d3122846ede703bcc87baaddbf1093fc5c4879695132addd89c58270e1b4bdcf,7b1bbc434c57f6572cdb438f9a0fb84f0550441e146258dac734e3c5cc7db647
