simulation_id,numeric_simulation_id,target,target_label,target_definition,target_definition_label,aggregation,available,target_value_m,target_value_um,window_observation_count,within_window_cv,within_window_relative_trend,within_window_absolute_relative_trend,window_unstable,instability_cv_threshold,in_target_modelling_population,minimum_50_row_fallback_used,fewer_than_50_valid_rows,selected_rows_after_90pct_cutoff,selected_rows_after_full_domain_exit,sentinel_rows_excluded,P,VX,LS,ST
sim_00007,7,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,5.074234e-05,50.74234,8184,0.0009071278208536422,-0.001996990413969095,0.001996990413969095,False,0.15,True,False,False,0,0,True,110.642328299,0.274154737479,7.4676600105e-05,358.612942181
sim_00008,8,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,3.643805e-05,36.438050000000004,7155,0.043552407003450595,-0.14427533816748783,0.14427533816748783,False,0.15,True,False,False,0,0,True,112.428225508,0.704865651228,6.30987392704e-05,309.241492678
sim_00009,9,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,5.4483355000000004e-05,54.483355,5088,0.0028049245950014412,-0.005293285587946366,0.005293285587946366,False,0.15,True,False,False,0,0,True,112.904894498,0.537693260466,4.63068354409e-05,322.169166627
sim_00010,10,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,4.680208e-05,46.802080000000004,5202,0.001098341890302617,-0.0016369557615056722,0.0016369557615056722,False,0.15,True,False,False,0,0,True,113.286681534,0.56768277259,5.80401726566e-05,302.148970527
sim_00011,11,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,3.4793295000000004e-05,34.79329500000001,5312,0.0046441476813633194,-0.00813565647103625,0.00813565647103625,False,0.15,True,False,False,0,0,True,114.820217584,0.948189613582,6.03705790634e-05,353.560035146
sim_00012,12,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,5.446736e-05,54.46736,9331,0.026091108472772594,-0.07995610968764767,0.07995610968764767,False,0.15,True,False,False,0,0,True,115.281467344,0.424433079834,5.4086019252e-05,352.652659088
sim_00001,1,depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,median,True,5.0755655e-05,50.755655000000004,20616,0.0020049401208029794,-0.0026742251166483716,0.0026742251166483716,False,0.15,True,False,False,0,0,True,101.127472137,0.52394730996,4.5e-05,300.0
sim_00002,2,depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,median,True,2.666062e-05,26.66062,16359,0.007349838225962157,-0.00606024722475752,0.00606024722475752,False,0.15,True,False,False,0,0,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652
sim_00003,3,depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,median,True,3.487608e-05,34.87608,16097,0.0031437014653278843,-0.005505704203145982,0.005505704203145982,False,0.15,True,False,False,0,0,True,105.276295276,0.639039009111,7.6636834293e-05,367.44858305
sim_00004,4,depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,median,True,4.676874e-05,46.76874,25928,0.0033439842852056798,-0.009242609448305834,0.009242609448305834,False,0.15,True,False,False,0,0,True,107.176159755,0.320752066655,8.75302281584e-05,393.859643937
sim_00005,5,depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,median,True,6.64078e-05,66.40780000000001,20619,0.028480950027318198,0.08605166369876222,0.08605166369876222,False,0.15,True,False,False,0,0,True,109.759946449,0.241926176876,4.5e-05,300.0
sim_00006,6,depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,median,True,2.690587e-05,26.90587,17391,0.0034327281236436534,-0.0015209838971764617,0.0015209838971764617,False,0.15,True,False,False,0,0,True,110.234671953,0.866589137882,8.08580037422e-05,348.980680204
