benchmark_population,formulation,model,metric,run_count,mean,std,median,minimum,maximum
primary_common,binary,logistic,balanced_accuracy,2,0.9462121212121213,0.028927095593995117,0.9462121212121213,0.9257575757575758,0.9666666666666667
primary_common,binary,logistic,sensitivity,2,0.9,0.04714045207910316,0.9,0.8666666666666667,0.9333333333333333
primary_common,binary,logistic,specificity,2,0.9924242424242424,0.010713739108887075,0.9924242424242424,0.9848484848484849,1.0
primary_common,binary,logistic,precision,2,0.9642857142857143,0.05050762722761051,0.9642857142857143,0.9285714285714286,1.0
primary_common,binary,logistic,f1,2,0.9310344827586208,0.04876598490941709,0.9310344827586208,0.896551724137931,0.9655172413793104
primary_common,binary,logistic,roc_auc,2,0.9944444444444445,0.0007142492739257316,0.9944444444444445,0.993939393939394,0.9949494949494949
primary_common,binary,logistic,average_precision,2,0.9802287581699345,0.004390532301485005,0.9802287581699345,0.9771241830065359,0.9833333333333332
primary_common,binary,logistic,brier_score,2,0.020728969866758446,0.0045522622860012536,0.020728969866758446,0.017510034334587185,0.023947905398929707
primary_common,binary,logistic,global_error,2,0.024691358024691357,0.017459426695964134,0.024691358024691357,0.012345679012345678,0.037037037037037035
primary_common,binary,logistic,q10_error,2,0.16666666666666666,0.07856742013183861,0.16666666666666666,0.1111111111111111,0.2222222222222222
primary_common,binary,logistic,q20_error,2,0.08823529411764705,0.04159451654038515,0.08823529411764705,0.058823529411764705,0.11764705882352941
primary_common,binary,logistic,q30_error,2,0.08,0.0565685424949238,0.08,0.04,0.12
primary_common,binary,logistic,mae,0,,,,,
primary_common,binary,logistic,rmse,0,,,,,
primary_common,binary,logistic,relative_mae,0,,,,,
primary_common,binary,logistic,relative_rmse,0,,,,,
primary_common,binary,logistic,r2,0,,,,,
primary_common,binary,matern32_gpc,balanced_accuracy,2,0.9424242424242424,0.012856486930664504,0.9424242424242424,0.9333333333333333,0.9515151515151515
primary_common,binary,matern32_gpc,sensitivity,2,0.9,0.04714045207910316,0.9,0.8666666666666667,0.9333333333333333
primary_common,binary,matern32_gpc,specificity,2,0.9848484848484849,0.02142747821777415,0.9848484848484849,0.9696969696969697,1.0
primary_common,binary,matern32_gpc,precision,2,0.9375,0.08838834764831845,0.9375,0.875,1.0
primary_common,binary,matern32_gpc,f1,2,0.9158986175115207,0.017922061274313457,0.9158986175115207,0.9032258064516129,0.9285714285714286
primary_common,binary,matern32_gpc,roc_auc,2,0.9893939393939395,0.006428243465332292,0.9893939393939395,0.9848484848484849,0.993939393939394
primary_common,binary,matern32_gpc,average_precision,2,0.9718954248366012,0.007394580718290745,0.9718954248366012,0.9666666666666666,0.9771241830065359
primary_common,binary,matern32_gpc,brier_score,2,0.02445607477397108,0.000512624573103912,0.02445607477397108,0.024093594462126444,0.024818555085815715
primary_common,binary,matern32_gpc,global_error,2,0.030864197530864196,0.008729713347982067,0.030864197530864196,0.024691358024691357,0.037037037037037035
