benchmark_population,formulation,model,probability_bin,row_count,mean_predicted_probability,observed_keyhole_fraction,status
primary_common,binary,logistic,"(-0.001, 0.1]",116,0.015275243299211483,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.1, 0.2]",8,0.14289977181308752,0.125,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.2, 0.3]",4,0.22125523869660202,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.3, 0.4]",3,0.3819827859053783,0.6666666666666666,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.4, 0.5]",3,0.4518374427625837,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.5, 0.6]",1,0.5071883498948957,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.6, 0.7]",2,0.660836707593601,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.7, 0.8]",1,0.7787376116680177,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.8, 0.9]",2,0.8881120559548258,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.9, 1.0]",22,0.9702472569870203,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(-0.001, 0.1]",115,0.018747102597098605,0.008695652173913044,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.1, 0.2]",6,0.1416025828956625,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.2, 0.3]",6,0.23929679593173128,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.3, 0.4]",3,0.36683954197031693,0.6666666666666666,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.4, 0.5]",3,0.47477524834883766,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.5, 0.6]",1,0.5561915940952815,0.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.6, 0.7]",2,0.6594060547081426,0.5,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.7, 0.8]",1,0.7871627409842858,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.8, 0.9]",3,0.8455606854686645,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.9, 1.0]",22,0.9756552791306696,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(-0.001, 0.1]",115,0.014289745910274059,0.008695652173913044,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.1, 0.2]",8,0.14669753055503065,0.0,held_out_20_fold_pooled_diagnostic
