balanced_accuracy,sensitivity,specificity,precision,f1,global_error,true_positive,true_negative,false_positive,false_negative,roc_auc,average_precision,brier_score,q10_error,q10_count,q10_keyhole_count,q20_error,q20_count,q20_keyhole_count,q30_error,q30_count,q30_keyhole_count,benchmark_population,run_id,repeat,fold,method,formulation,budget,effective_warm_start,mean_predicted_uncertainty,uncertainty_band_fraction,fit_status,kernel,kernel_constant,kernel_length_scale,kernel_bound_hit,optimizer_warning_count,threshold,threshold_point_estimate_probability_caveat,mae,rmse,relative_mae,relative_rmse,r2
0.9666666666666667,0.9333333333333333,1.0,1.0,0.9655172413793104,0.012345679012345678,14,66,0,1,0.9838383838383838,0.9655913978494624,0.06270232389856431,0.1111111111111111,9,4,0.058823529411764705,17,8,0.04,25,9,primary_common,primary_common__r01_f01,1,1,binary_margin,binary,30,12,0.44511831398078017,0.024691358024691357,optimized_primary,"3.38**2 * Matern(length_scale=4.6, nu=1.5)",11.43021343080163,4.601708944443338,False,0,,False,,,,,
0.9590909090909091,0.9333333333333333,0.9848484848484849,0.9333333333333333,0.9333333333333333,0.024691358024691357,14,65,1,1,0.9747474747474747,0.9583333333333333,0.05285076087436256,0.1111111111111111,9,4,0.11764705882352941,17,8,0.08,25,9,primary_common,primary_common__r01_f01,1,1,binary_random,binary,30,12,0.36191325607280594,0.04938271604938271,optimized_primary,"12.6**2 * Matern(length_scale=5.93, nu=1.5)",159.94771757028323,5.926490363459357,False,0,,False,,,,,
0.8363636363636364,0.7333333333333333,0.9393939393939394,0.7333333333333333,0.7333333333333333,0.09876543209876543,11,62,4,4,0.9595959595959596,0.8048799348799349,0.06788918495672855,0.3333333333333333,9,4,0.29411764705882354,17,8,0.24,25,9,primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,30,12,27.886033527080443,0.5555555555555556,optimized_primary,"1.62**2 * Matern(length_scale=2.78, nu=1.5)",2.6094726924489677,2.780841513979441,False,0,104.965995,True,33.57405599251976,66.5610113234195,0.33987316458992184,0.6738030567958908,0.43400583903691126
0.9363636363636364,0.9333333333333333,0.9393939393939394,0.7777777777777778,0.8484848484848485,0.06172839506172839,14,62,4,1,0.9787878787878788,0.9544117647058823,0.041882594519441846,0.3333333333333333,9,4,0.17647058823529413,17,8,0.12,25,9,primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,30,12,35.35814543409701,0.6790123456790124,optimized_primary,"1.62**2 * Matern(length_scale=3.09, nu=1.5)",2.635142249187759,3.0884454866363225,False,0,113.74000000000001,True,25.968346773048733,44.555056265869176,0.26287989151179597,0.45103481018012337,0.7463901484738156
0.9030303030303031,0.8666666666666667,0.9393939393939394,0.7647058823529411,0.8125,0.07407407407407407,13,62,4,2,0.9818181818181818,0.9489130434782609,0.05325344525029738,0.2222222222222222,9,4,0.23529411764705882,17,5,0.24,25,7,primary_common,primary_common__r01_f02,1,2,binary_margin,binary,30,12,0.28958009645301397,0.037037037037037035,optimized_primary,"24.5**2 * Matern(length_scale=7.82, nu=1.5)",597.862390298064,7.8180188599725815,False,0,,False,,,,,
0.9181818181818182,0.8666666666666667,0.9696969696969697,0.8666666666666667,0.8666666666666667,0.04938271604938271,13,64,2,2,0.9898989898989898,0.9637566137566138,0.04983032777950905,0.2222222222222222,9,4,0.17647058823529413,17,5,0.16,25,7,primary_common,primary_common__r01_f02,1,2,binary_random,binary,30,12,0.3386462365126664,0.04938271604938271,optimized_primary,"7.23**2 * Matern(length_scale=6.84, nu=1.5)",52.32971857283727,6.835709523131475,False,0,,False,,,,,
0.8878787878787879,0.8666666666666667,0.9090909090909091,0.6842105263157895,0.7647058823529411,0.09876543209876543,13,60,6,2,0.9808080808080808,0.9385520759433803,0.07495422727036875,0.2222222222222222,9,4,0.29411764705882354,17,5,0.32,25,7,primary_common,primary_common__r01_f02,1,2,max_depth_random,max_depth,30,12,39.542824913168644,0.7407407407407407,optimized_primary,"1.11**2 * Matern(length_scale=2.09, nu=1.5)",1.2285429035021806,2.085098015358435,False,0,111.38377499999999,True,18.039771388663482,27.592155340059193,0.19095546571858918,0.29206982503401985,0.8765701261637608
0.8878787878787879,0.8666666666666667,0.9090909090909091,0.6842105263157895,0.7647058823529411,0.09876543209876543,13,60,6,2,0.9737373737373738,0.9370468611847922,0.06483343792972132,0.2222222222222222,9,4,0.35294117647058826,17,5,0.32,25,7,primary_common,primary_common__r01_f02,1,2,max_depth_straddle,max_depth,30,12,36.743656735965665,0.6049382716049383,optimized_primary,"1.34**2 * Matern(length_scale=2.38, nu=1.5)",1.7989199843451193,2.3783896811327607,False,0,112.5759,True,19.29831760351664,26.851974352743007,0.20427749033896092,0.28423482523807847,0.8831035076504006
0.9257575757575758,0.8666666666666667,0.9848484848484849,0.9285714285714286,0.896551724137931,0.037037037037037035,13,65,1,2,0.9959595959595959,0.9838235294117647,0.027486405689340982,0.2222222222222222,9,3,0.17647058823529413,17,8,0.12,25,10,secondary_g3_common,secondary_g3_common__r01_f01,1,1,binary_g3_common_margin,binary,30,12,0.16063090136450353,0.012345679012345678,optimized_primary,"31.6**2 * Matern(length_scale=14, nu=1.5)",999.9999999999998,13.997391474776746,True,1,,False,,,,,
0.8515151515151516,0.7333333333333333,0.9696969696969697,0.8461538461538461,0.7857142857142857,0.07407407407407407,11,64,2,4,0.9666666666666667,0.8973112073112073,0.05274044651262106,0.3333333333333333,9,3,0.23529411764705882,17,8,0.2,25,10,secondary_g3_common,secondary_g3_common__r01_f01,1,1,g3_random,g3,30,12,19.988847039331063,0.41975308641975306,optimized_primary,"2.46**2 * Matern(length_scale=4.18, nu=1.5)",6.074540294570886,4.179494334101024,False,0,101.79797500000001,True,23.991719435141967,51.50731235999649,0.2641099361082934,0.56701200650849,0.5346488823521924
