benchmark_population,experiment_name,partition,has_keyhole,P,VX,LS,ST,empirical_boundary_distance,nearest_opposite_experiment,nearest_opposite_label,boundary_rank,boundary_rank_fraction,global_q10,global_q20,global_q30,knn_k,knn_positive_fraction,knn_label_entropy_bits,knn_opposite_fraction,standardized_P,standardized_VX,standardized_LS,standardized_ST
primary_common,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,False,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,1.276116345764307,P-211p816522505_VX-0p520710876808_LS-4p80782604054e-05_ST-318p660442183_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p26448979247e-06_H-5a4acb0e81,1,162.0,0.4,False,False,False,10,0.0,0.0,0.0,-1.0773672397939258,0.04610557715314132,-0.6728123851170925,-0.9727658528470138
primary_common,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,False,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,2.681387091414769,P-243p042265843_VX-0p642372627708_LS-5p19118052277e-05_ST-314p809567363_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p50984770355e-06_H-ac0fcec187,1,390.0,0.9629629629629629,False,False,False,10,0.0,0.0,0.0,-1.0065692210175265,1.2501210167632122,1.201988523909346,-1.4293213131206914
primary_common,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,False,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,1.2323568421478737,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,1,148.0,0.3654320987654321,False,False,False,10,0.0,0.0,0.0,-0.9924686490160863,-0.5609159422949854,-1.0145768304739462,-0.09609061416252661
primary_common,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,False,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,2.07959961687215,P-228p959503311_VX-0p480404321045_LS-6p0796636822e-05_ST-336p115873803_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00417926977e-05_H-ba17ade68b,1,342.0,0.8444444444444444,False,False,False,10,0.0,0.0,0.0,-0.9651298937575401,0.1025421793551609,1.3984325810350589,-0.6354224118293169
primary_common,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,new-data,False,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,1.3434564370696966,P-211p816522505_VX-0p520710876808_LS-4p80782604054e-05_ST-318p660442183_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p26448979247e-06_H-5a4acb0e81,1,182.0,0.44938271604938274,False,False,False,10,0.0,0.0,0.0,-0.9418140687859098,0.025623418158617448,-0.31014417622975354,-1.2881044134351398
primary_common,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,new-data,False,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,1.441396279611247,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,1,209.0,0.5160493827160494,False,False,False,10,0.0,0.0,0.0,-0.9290253339987267,-1.3864923996533813,0.24634473265189533,1.5849598789879324
primary_common,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,new-data,False,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,1.370776733317071,P-202p397397496_VX-0p555230188132_LS-4p52196790327e-05_ST-397p348654616_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p68850560746e-06_H-0011cc30ec,1,194.0,0.47901234567901235,False,False,False,10,0.0,0.0,0.0,-0.9182699685293482,0.45345533277507516,-0.46153448772668765,1.4715112384350169
primary_common,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,new-data,False,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,2.182277520928077,P-202p397397496_VX-0p555230188132_LS-4p52196790327e-05_ST-397p348654616_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p68850560746e-06_H-0011cc30ec,1,355.0,0.8765432098765432,False,False,False,10,0.0,0.0,0.0,-0.9049240783801382,1.0135712516351687,0.30865359785040575,1.3908824989993507
primary_common,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,new-data,False,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,2.545994554543613,P-243p936893462_VX-0p545516283598_LS-5p6904291389e-05_ST-360p082453969_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p84322017154e-06_H-e0ed0fec98,1,386.0,0.9530864197530864,False,False,False,10,0.0,0.0,0.0,-0.899142478810844,-0.05405652617159622,1.4064326620763434,1.5744716268197063
primary_common,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,new-data,False,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,1.3688640746619687,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,1,193.0,0.4765432098765432,False,False,False,10,0.0,0.0,0.0,-0.8905558510223186,0.10468007312787965,-0.15721489746044623,0.3347455250368579
primary_common,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,new-data,False,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,1.7106122844227576,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,1,276.0,0.6814814814814815,False,False,False,10,0.0,0.0,0.0,-0.8773012301876973,1.1095115811175025,-0.887679162417079,0.6789445399594959
primary_common,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,new-data,False,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,1.0856820670032545,P-202p397397496_VX-0p555230188132_LS-4p52196790327e-05_ST-397p348654616_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p68850560746e-06_H-0011cc30ec,1,113.0,0.27901234567901234,False,False,True,10,0.0,0.0,0.0,-0.8575350435839095,-0.3662817655791348,-0.6238665089061604,1.120989620225179
primary_common,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,new-data,False,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,1.111455911252964,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,1,114.0,0.2814814814814815,False,False,True,10,0.1,0.4689955935892812,0.1,-0.8336341397068611,-1.7860198679762063,-1.1851224768786743,0.00031067414232208775
primary_common,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,new-data,False,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,1.1302121033969479,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,1,117.0,0.28888888888888886,False,False,True,10,0.0,0.0,0.0,-0.7990043802338579,-0.20947816702307834,-0.4929608640210877,0.651084052947991
primary_common,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,new-data,False,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,1.1855914009050184,P-228p959503311_VX-0p480404321045_LS-6p0796636822e-05_ST-336p115873803_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p00417926977e-05_H-ba17ade68b,1,130.0,0.32098765432098764,False,False,False,10,0.0,0.0,0.0,-0.7836710259964564,-0.8143603332066666,0.3177027038997435,-0.7715660657350886
primary_common,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,new-data,False,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,2.0140353830659943,P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,1,331.0,0.817283950617284,False,False,False,10,0.0,0.0,0.0,-0.7718043122680583,-0.7778477354772844,1.2415992434652547,1.0086350330935328
primary_common,P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,new-data,False,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,1.4215244236818556,P-243p042265843_VX-0p642372627708_LS-5p19118052277e-05_ST-314p809567363_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p50984770355e-06_H-ac0fcec187,1,203.0,0.5012345679012346,False,False,False,10,0.0,0.0,0.0,-0.7685882233267104,0.745803009328945,-1.1179363803410503,-1.4349955825605964
