benchmark_population,run_id,method,split_sha256,warm_start_sha256,candidate_pool_is_outer_training_only,test_set_never_queried,test_labels_used_for_fitting,test_responses_used_for_fitting,hidden_pool_labels_used_for_acquisition,hidden_pool_responses_used_for_acquisition,empirical_boundary_used_for_acquisition,common_final_budget,fixed_outer_training_pool_input_scaler,query_local_response_scaler
primary_common,primary_common__r01_f01,max_depth_random,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,True,True,False,False,False,False,False,30,True,True
primary_common,primary_common__r01_f01,max_depth_straddle,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,True,True,False,False,False,False,False,30,True,True
primary_common,primary_common__r01_f01,binary_random,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,True,True,False,False,False,False,False,30,True,False
primary_common,primary_common__r01_f01,binary_margin,ea0ddcb09a0537b387fb9ad514609eefc4aefbccbefe13aa692f13b946bd1f76,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1,True,True,False,False,False,False,False,30,True,False
primary_common,primary_common__r01_f02,max_depth_random,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,True,True,False,False,False,False,False,30,True,True
primary_common,primary_common__r01_f02,max_depth_straddle,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,True,True,False,False,False,False,False,30,True,True
primary_common,primary_common__r01_f02,binary_random,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,True,True,False,False,False,False,False,30,True,False
primary_common,primary_common__r01_f02,binary_margin,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,True,True,False,False,False,False,False,30,True,False
secondary_g3_common,secondary_g3_common__r01_f01,g3_random,d3122846ede703bcc87baaddbf1093fc5c4879695132addd89c58270e1b4bdcf,bcca39ca84cc4c8c0ea5258529c2d24df6976c1466b9b3155e8321c594a4a878,True,True,False,False,False,False,False,30,True,True
secondary_g3_common,secondary_g3_common__r01_f01,g3_straddle,d3122846ede703bcc87baaddbf1093fc5c4879695132addd89c58270e1b4bdcf,bcca39ca84cc4c8c0ea5258529c2d24df6976c1466b9b3155e8321c594a4a878,True,True,False,False,False,False,False,30,True,True
secondary_g3_common,secondary_g3_common__r01_f01,max_depth_g3_common_straddle,d3122846ede703bcc87baaddbf1093fc5c4879695132addd89c58270e1b4bdcf,bcca39ca84cc4c8c0ea5258529c2d24df6976c1466b9b3155e8321c594a4a878,True,True,False,False,False,False,False,30,True,True
secondary_g3_common,secondary_g3_common__r01_f01,binary_g3_common_margin,d3122846ede703bcc87baaddbf1093fc5c4879695132addd89c58270e1b4bdcf,bcca39ca84cc4c8c0ea5258529c2d24df6976c1466b9b3155e8321c594a4a878,True,True,False,False,False,False,False,30,True,False
