experiment_name,partition,has_keyhole,P_W,VX_m_per_s,LS_um,ST_K,max_depth_um,max_depth_row_index,max_depth_iteration,max_depth_time_s,max_depth_relative_to_T0,max_depth_relative_to_active_region,recording_row_fraction,near_recording_end_last_5pct,laser_exit_time_s,max_depth_minus_laser_exit_time_s,near_laser_exit_within_5pct_exit_time,manual_has_keyhole,first_keyhole_timestep,last_keyhole_timestep,keyhole_frame_count,keyhole_segment_count,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes,keyhole_timing_relative_to_T0,max_depth_exact_saved_frame_join,exact_saved_frame_label_at_max_depth,max_depth_exact_saved_Keyhole_frame,nearest_saved_frame_timestep,nearest_saved_frame_label,nearest_saved_frame_iteration_delta,median_saved_frame_iteration_gap,nearest_saved_frame_within_one_median_gap,nearest_saved_frame_is_diagnostic_only,saved_keyhole_episode_span_relation,saved_keyhole_episode_span_number,episode_span_is_not_exact_morphology_join,depth_ambiguity_score,flag_depth_bounding_box_ambiguity_candidate,recording_ends_before_90pct_domain,flag_primary_window_unstable_week6_rule,label_timestep_alignment_exact,label_timestep_unmatched_count,side_gif_url,frames_csv_url,descriptive_oracle_threshold_um,descriptive_oracle_prediction,descriptive_oracle_error_type,oracle_threshold_status
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,False,102.928146519,0.633805217924,52.939436669900005,318.223787128,43.09636,76544,76544,0.001390734,before_T0,inside_active_region,0.6621510566700404,False,0.0019122594224923715,-0.0005215254224923715,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,76663,Conduction,119.0,419.0,True,True,no_Keyhole,,True,0.22473585705991583,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,False,109.741517589,0.915030812968,79.97596624090001,303.804431165,27.37239,52988,52988,0.0009629381,before_T0,inside_active_region,0.4583776676268826,False,0.0013245455593661908,-0.0003616074593661908,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,53091,Conduction,103.0,290.0,True,True,no_Keyhole,,True,0.3142467392193634,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,False,111.098510779,0.492021331775,48.010846925399996,345.911753718,54.88141,62644,62644,0.001138299,before_T0,inside_active_region,0.5419078019706053,False,0.002463307831852795,-0.0013250088318527951,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,62592,Conduction,52.0,540.0,True,True,no_Keyhole,,True,0.20307868540034305,False,True,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,False,113.729503671,0.646987288946,82.8088886776,328.878079062,35.401709999999994,45603,45603,0.0008288207,before_T0,inside_active_region,0.39449303194664315,False,0.0018732980086431932,-0.0010444773086431933,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,45539,Conduction,64.0,410.0,True,True,no_Keyhole,,True,0.5348605769895136,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,new-data,False,115.973342836,0.629021136955,58.169479874400004,308.264473639,47.09942,71275,71275,0.001295045,before_T0,inside_active_region,0.6165710776044776,False,0.0019268032960976734,-0.0006317582960976733,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,71334,Conduction,59.0,422.0,True,True,no_Keyhole,,True,0.23060355745281755,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,new-data,False,117.204089079,0.299188895548,66.1946140465,399.004242061,54.9824,96568,96568,0.001754385,before_T0,inside_active_region,0.8353705481881332,False,0.004050952485318942,-0.0022965674853189424,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,96741,Conduction,173.0,888.0,True,True,no_Keyhole,,True,0.17394858800561327,False,True,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,new-data,False,118.239150472,0.728951155133,55.986278120099996,395.421202378,46.944770000000005,64900,64900,0.00117927,before_T0,inside_active_region,0.5614235417261395,False,0.0016626628429978491,-0.00048339284299784907,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,64830,Conduction,70.0,364.0,True,True,no_Keyhole,,True,0.18266802934212406,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,new-data,False,119.523515535,0.859779155666,67.0931710444,392.874711106,38.905030000000004,40448,40448,0.0007352018,before_T0,inside_active_region,0.3498992205814929,False,0.001409664321370019,-0.000674462521370019,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,40439,Conduction,9.0,309.0,True,True,no_Keyhole,,True,0.13120096710525728,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,new-data,False,120.079917874,0.610410046914,82.9242579558,398.6729924,39.06833,82868,82868,0.001505583,inside_T0,inside_active_region,0.7168574122613517,False,0.0019855505428316733,-0.00047996754283167326,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,83084,Conduction,216.0,435.0,True,True,no_Keyhole,,True,0.14334401503281563,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,new-data,False,120.906267006,0.64748664338,60.3748750968,359.518818343,47.091249999999995,42711,42711,0.0007762997,before_T0,inside_active_region,0.36947551449407,False,0.0018718532843753132,-0.0010955535843753133,False,False,,,0,0,False,False,False,no_Keyhole,False,,False,42632,Conduction,79.0,410.0,True,True,no_Keyhole,,True,0.18722139134248975,False,False,False,True,0,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67/gif_files/animation_ss_side.gif,https://huggingface.co/datasets/ioandanielc/sph_v2/resolve/b6dc254a2b607a31cb9f97b40990339c3d5ca1e8/P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67/frames.csv,108.601,False,correct,descriptive_full_common_not_valid_active_method
