benchmark,method,seed,budget,global_error,latent_uncertainty_region_fraction,near_boundary_error_q10,latent_uncertainty_region_fraction_q10,near_boundary_test_size_q10,near_boundary_error_q20,latent_uncertainty_region_fraction_q20,near_boundary_test_size_q20,near_boundary_error_q30,latent_uncertainty_region_fraction_q30,near_boundary_test_size_q30
ackley,random,1,24,0.3599,0.9996,0.495,1.0,1000,0.47,0.9995,2000,0.4673333333333333,0.9993333333333333,3000
ackley,random,1,25,0.3598,0.9996,0.495,1.0,1000,0.47,0.9995,2000,0.4673333333333333,0.9993333333333333,3000
ackley,random,1,26,0.3689,0.9996,0.494,1.0,1000,0.4705,0.9995,2000,0.4726666666666667,0.9993333333333333,3000
ackley,random,1,27,0.3658,0.9996,0.488,1.0,1000,0.4605,0.9995,2000,0.46366666666666667,0.9993333333333333,3000
ackley,random,1,28,0.371,0.9996,0.492,1.0,1000,0.465,0.9995,2000,0.469,0.9993333333333333,3000
ackley,random,1,29,0.3782,0.9996,0.495,1.0,1000,0.4665,0.9995,2000,0.4706666666666667,0.9993333333333333,3000
ackley,random,1,30,0.3762,0.9996,0.492,1.0,1000,0.466,0.9995,2000,0.47,0.9993333333333333,3000
ackley,random,1,31,0.3765,0.9996,0.493,1.0,1000,0.4665,0.9995,2000,0.4703333333333333,0.9993333333333333,3000
ackley,random,1,32,0.3791,0.9996,0.492,1.0,1000,0.465,0.9995,2000,0.4686666666666667,0.9993333333333333,3000
ackley,random,1,33,0.3756,0.9995,0.492,1.0,1000,0.464,0.9995,2000,0.4666666666666667,0.9993333333333333,3000
ackley,random,1,34,0.3808,0.9995,0.49,1.0,1000,0.465,0.9995,2000,0.4683333333333333,0.9993333333333333,3000
ackley,random,1,35,0.3788,0.9995,0.491,1.0,1000,0.4665,0.9995,2000,0.4696666666666667,0.9993333333333333,3000
ackley,random,1,36,0.3711,0.9995,0.487,1.0,1000,0.46,0.9995,2000,0.464,0.9993333333333333,3000
ackley,random,1,37,0.379,0.9995,0.487,1.0,1000,0.459,0.9995,2000,0.4646666666666667,0.9993333333333333,3000
ackley,random,1,38,0.3806,0.9995,0.488,1.0,1000,0.46,0.9995,2000,0.4656666666666667,0.9993333333333333,3000
ackley,random,1,39,0.3698,0.9995,0.49,1.0,1000,0.461,0.9995,2000,0.46366666666666667,0.9993333333333333,3000
ackley,random,1,40,0.3608,0.9995,0.483,1.0,1000,0.4565,0.9995,2000,0.45866666666666667,0.9993333333333333,3000
ackley,random,1,41,0.3558,0.9995,0.485,1.0,1000,0.453,0.9995,2000,0.45666666666666667,0.9993333333333333,3000
ackley,random,1,42,0.3501,0.9976,0.484,0.998,1000,0.453,0.997,2000,0.45466666666666666,0.997,3000
ackley,random,1,43,0.3466,0.9946,0.479,0.995,1000,0.4535,0.995,2000,0.454,0.9943333333333333,3000
ackley,random,1,44,0.3389,0.9947,0.482,0.995,1000,0.4515,0.9955,2000,0.45066666666666666,0.995,3000
ackley,random,1,45,0.3342,0.9942,0.479,0.995,1000,0.449,0.995,2000,0.4493333333333333,0.9943333333333333,3000
ackley,random,1,46,0.3347,0.9906,0.477,0.992,1000,0.4485,0.991,2000,0.44866666666666666,0.9913333333333333,3000
ackley,random,1,47,0.3288,0.9909,0.475,0.993,1000,0.447,0.9925,2000,0.447,0.9926666666666667,3000
ackley,random,1,48,0.3255,0.9864,0.475,0.992,1000,0.446,0.9895,2000,0.446,0.9896666666666667,3000
ackley,random,1,49,0.3238,0.985,0.473,0.991,1000,0.443,0.988,2000,0.44366666666666665,0.9886666666666667,3000
ackley,random,1,50,0.3241,0.9834,0.469,0.99,1000,0.441,0.9875,2000,0.443,0.9876666666666667,3000
ackley,random,1,51,0.3246,0.9831,0.47,0.99,1000,0.444,0.9875,2000,0.44433333333333336,0.9876666666666667,3000
ackley,random,1,52,0.3221,0.9803,0.469,0.985,1000,0.442,0.9845,2000,0.44333333333333336,0.9853333333333333,3000
ackley,random,1,53,0.3254,0.9774,0.473,0.985,1000,0.4455,0.9835,2000,0.44766666666666666,0.9843333333333333,3000
ackley,random,1,54,0.3185,0.9729,0.468,0.979,1000,0.4405,0.979,2000,0.44133333333333336,0.9803333333333333,3000
ackley,random,1,55,0.3132,0.9684,0.466,0.978,1000,0.4395,0.9765,2000,0.43966666666666665,0.9763333333333334,3000
ackley,random,1,56,0.312,0.963,0.464,0.973,1000,0.4385,0.9725,2000,0.43833333333333335,0.9726666666666667,3000
ackley,random,1,57,0.3092,0.9596,0.464,0.972,1000,0.436,0.9715,2000,0.43533333333333335,0.9716666666666667,3000
ackley,random,1,58,0.3093,0.9621,0.467,0.974,1000,0.439,0.973,2000,0.43833333333333335,0.9726666666666667,3000
ackley,random,1,59,0.3116,0.9695,0.471,0.976,1000,0.443,0.9755,2000,0.441,0.977,3000
ackley,random,1,60,0.3083,0.9664,0.465,0.974,1000,0.441,0.9745,2000,0.43866666666666665,0.9746666666666667,3000
ackley,random,1,61,0.298,0.9691,0.466,0.976,1000,0.44,0.977,2000,0.437,0.9776666666666667,3000
ackley,random,1,62,0.2944,0.969,0.467,0.975,1000,0.4405,0.9765,2000,0.43566666666666665,0.9773333333333334,3000
ackley,random,1,63,0.2935,0.9656,0.47,0.971,1000,0.4405,0.9725,2000,0.436,0.973,3000
ackley,random,1,64,0.2943,0.9609,0.471,0.97,1000,0.4415,0.968,2000,0.436,0.9686666666666667,3000
ackley,random,1,65,0.2851,0.963,0.47,0.97,1000,0.4385,0.9695,2000,0.43566666666666665,0.9696666666666667,3000
ackley,random,1,66,0.2842,0.9598,0.468,0.97,1000,0.4355,0.9675,2000,0.43366666666666664,0.968,3000
ackley,random,1,67,0.2849,0.9559,0.464,0.966,1000,0.435,0.965,2000,0.434,0.9643333333333334,3000
ackley,random,1,68,0.2836,0.9562,0.468,0.966,1000,0.436,0.965,2000,0.43433333333333335,0.9643333333333334,3000
ackley,random,1,69,0.2856,0.9519,0.466,0.964,1000,0.436,0.9635,2000,0.43533333333333335,0.9616666666666667,3000
ackley,random,1,70,0.2803,0.9546,0.471,0.963,1000,0.4345,0.964,2000,0.43066666666666664,0.9633333333333334,3000
ackley,random,1,71,0.2792,0.9533,0.465,0.964,1000,0.433,0.963,2000,0.42866666666666664,0.962,3000
ackley,random,1,72,0.285,0.9546,0.48,0.963,1000,0.443,0.9625,2000,0.435,0.962,3000
ackley,random,1,73,0.2954,0.9529,0.487,0.96,1000,0.4495,0.96,2000,0.44033333333333335,0.9596666666666667,3000
ackley,random,1,74,0.2972,0.9492,0.488,0.958,1000,0.451,0.958,2000,0.44133333333333336,0.9573333333333334,3000
ackley,random,1,75,0.296,0.9454,0.489,0.957,1000,0.451,0.9565,2000,0.441,0.956,3000
ackley,random,1,76,0.2891,0.9482,0.479,0.959,1000,0.451,0.9585,2000,0.43466666666666665,0.957,3000
ackley,random,1,77,0.2909,0.9469,0.478,0.958,1000,0.4515,0.958,2000,0.434,0.9566666666666667,3000
ackley,random,1,78,0.2913,0.9454,0.477,0.958,1000,0.4515,0.9575,2000,0.43433333333333335,0.9563333333333334,3000
ackley,random,1,79,0.2918,0.9411,0.477,0.956,1000,0.452,0.955,2000,0.435,0.9533333333333334,3000
ackley,random,1,80,0.2951,0.9444,0.481,0.957,1000,0.455,0.9565,2000,0.43533333333333335,0.9556666666666667,3000
ackley,random,2,12,0.4141,0.878,0.497,0.886,1000,0.5,0.8975,2000,0.49033333333333334,0.8956666666666667,3000
ackley,random,2,13,0.4165,0.909,0.514,0.944,1000,0.503,0.947,2000,0.496,0.9426666666666667,3000
ackley,random,2,14,0.4272,0.8817,0.514,0.932,1000,0.505,0.934,2000,0.499,0.9286666666666666,3000
ackley,random,2,15,0.4273,0.8924,0.514,0.935,1000,0.507,0.9365,2000,0.5,0.933,3000
ackley,random,2,16,0.4254,0.8667,0.513,0.922,1000,0.5075,0.922,2000,0.49966666666666665,0.9176666666666666,3000
ackley,random,2,17,0.4103,0.8435,0.508,0.913,1000,0.5045,0.912,2000,0.49566666666666664,0.9096666666666666,3000
ackley,random,2,18,0.3952,0.8166,0.498,0.903,1000,0.4985,0.903,2000,0.48933333333333334,0.8986666666666666,3000
ackley,random,2,19,0.3971,0.7782,0.496,0.884,1000,0.501,0.886,2000,0.49166666666666664,0.8793333333333333,3000
ackley,random,2,20,0.4017,0.8044,0.504,0.893,1000,0.5025,0.8935,2000,0.496,0.8893333333333333,3000
ackley,random,2,21,0.38,0.8379,0.499,0.919,1000,0.501,0.9155,2000,0.492,0.9116666666666666,3000
ackley,random,2,22,0.3858,0.8183,0.5,0.889,1000,0.502,0.8925,2000,0.49366666666666664,0.8893333333333333,3000
ackley,random,2,23,0.3945,0.8461,0.503,0.897,1000,0.4995,0.9,2000,0.492,0.9003333333333333,3000
ackley,random,2,24,0.3969,0.8318,0.506,0.883,1000,0.505,0.8835,2000,0.49466666666666664,0.8833333333333333,3000
