seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
MAXIMIN,M3R05,20,-0.014705882352941162,-0.039623959745682474,0.010212195039800153,0.25
MAXIMIN,M3R05,24,0.008823529411764692,-0.0037924522777498214,0.021439511101279205,0.05
MAXIMIN,M3R05,28,0.008823529411764697,-0.013736873332657431,0.031383932156186824,0.15
MAXIMIN,M3R05,32,0.0029411764705882413,-0.010217673977311072,0.016100026918487553,0.1
MAXIMIN,M3R05,36,-0.008823529411764702,-0.01826817013495226,0.0006211113114228568,0.15
MAXIMIN,M3R05,40,0.014705882352941162,0.000523497244990909,0.028888267460891418,0.0
MAXIMIN,M3R05,44,-0.002941176470588225,-0.018533389293348596,0.012651036352172147,0.2
MAXIMIN,M3R05,48,-0.002941176470588236,-0.016100026918487564,0.010217673977311093,0.15
MAXIMIN,M3R05,52,0.017647058823529422,0.0007106129755866317,0.03458350467147221,0.05
MAXIMIN,M3R05,56,-0.008823529411764707,-0.018268170134952272,0.0006211113114228568,0.15
MAXIMIN,M3R05,60,0.008823529411764697,-0.0121290364547457,0.029776095278275093,0.05
MAXIMIN,M3R05,64,0.0,-0.008364314413033078,0.008364314413033078,0.05
MAXIMIN,M3R05,68,0.0029411764705882305,-0.00721724808788083,0.01309960102905729,0.05
MAXIMIN,M3R05,72,-0.005882352941176466,-0.022400550386427083,0.010635844504074149,0.15
MAXIMIN,M3R05,76,0.005882352941176472,-0.0020527324421111947,0.01381743832446414,0.0
MAXIMIN,M3R05,80,0.0,0.0,0.0,0.0
MAXIMIN,M3R05,84,0.002941176470588236,-0.0028235294117647065,0.008705882352941178,0.0
MAXIMIN,M3R05,88,-0.002941176470588236,-0.008705882352941178,0.0028235294117647065,0.05
MAXIMIN,M3R05,92,0.0,-0.016728628826066138,0.016728628826066138,0.05
MAXIMIN,M3R05,96,-0.008823529411764707,-0.018268170134952272,0.0006211113114228568,0.15
MAXIMIN,M3R05,100,-5.551115123125783e-18,-0.008364314413033074,0.008364314413033064,0.05
MAXIMIN,M3R05,104,0.002941176470588236,-0.0028235294117647065,0.008705882352941178,0.0
MAXIMIN,M3R05,108,-0.005882352941176472,-0.01381743832446414,0.0020527324421111947,0.1
MAXIMIN,M3R05,112,0.005882352941176466,-0.002052732442111194,0.013817438324464127,0.0
MAXIMIN,M3R05,116,0.005882352941176466,-0.002052732442111194,0.013817438324464127,0.0
MAXIMIN,M3R05,120,5.551115123125783e-18,-0.008364314413033064,0.008364314413033074,0.05
MAXIMIN,M3R05,160,0.008823529411764713,-0.010387099437660904,0.02803415826119033,0.1
MAXIMIN,M3R05,200,-0.01176470588235295,-0.031558286441726424,0.008028874677020527,0.2
MAXIMIN,M3R05,260,0.005882352941176472,-0.005647058823529413,0.017411764705882356,0.05
MAXIMIN,M3R05,324,0.008823529411764702,-0.0006211113114228568,0.01826817013495226,0.0
