simulation_id,numeric_simulation_id,in_experiments_csv,in_folder_tree,membership_class,experiments_csv_duplicate_count,metadata_sim_id,metadata_id_matches_folder,master_sim_id_matches_folder,metadata_hash_matches_master,process_parameters_match_master
sim_00001,1,True,True,both,1,1,True,True,True,True
sim_00002,2,True,True,both,1,2,True,True,True,True
sim_00003,3,True,True,both,1,3,True,True,True,True
sim_00004,4,True,True,both,1,4,True,True,True,True
sim_00005,5,True,True,both,1,5,True,True,True,True
sim_00006,6,True,True,both,1,6,True,True,True,True
sim_00007,7,True,True,both,1,7,True,True,True,True
sim_00008,8,True,True,both,1,8,True,True,True,True
sim_00009,9,True,True,both,1,9,True,True,True,True
sim_00010,10,True,True,both,1,10,True,True,True,True
sim_00011,11,True,True,both,1,11,True,True,True,True
sim_00012,12,True,True,both,1,12,True,True,True,True
sim_00013,13,True,True,both,1,13,True,True,True,True
sim_00014,14,True,True,both,1,14,True,True,True,True
sim_00015,15,True,True,both,1,15,True,True,True,True
sim_00016,16,True,True,both,1,16,True,True,True,True
sim_00017,17,True,True,both,1,17,True,True,True,True
sim_00018,18,True,True,both,1,18,True,True,True,True
sim_00019,19,True,True,both,1,19,True,True,True,True
sim_00020,20,True,True,both,1,20,True,True,True,True
sim_00021,21,True,True,both,1,21,True,True,True,True
sim_00022,22,True,True,both,1,22,True,True,True,True
sim_00023,23,True,True,both,1,23,True,True,True,True
sim_00024,24,True,True,both,1,24,True,True,True,True
sim_00025,25,True,True,both,1,25,True,True,True,True
sim_00026,26,True,True,both,1,26,True,True,True,True
sim_00027,27,True,True,both,1,27,True,True,True,True
sim_00028,28,True,True,both,1,28,True,True,True,True
sim_00029,29,True,True,both,1,29,True,True,True,True
sim_00030,30,True,True,both,1,30,True,True,True,True
sim_00031,31,True,True,both,1,31,True,True,True,True
sim_00032,32,True,True,both,1,32,True,True,True,True
sim_00033,33,True,True,both,1,33,True,True,True,True
sim_00034,34,True,True,both,1,34,True,True,True,True
sim_00035,35,True,True,both,1,35,True,True,True,True
sim_00036,36,True,True,both,1,36,True,True,True,True
sim_00037,37,True,True,both,1,37,True,True,True,True
sim_00038,38,True,True,both,1,38,True,True,True,True
sim_00039,39,True,True,both,1,39,True,True,True,True
sim_00040,40,True,True,both,1,40,True,True,True,True
sim_00041,41,True,True,both,1,41,True,True,True,True
sim_00042,42,True,True,both,1,42,True,True,True,True
sim_00043,43,True,True,both,1,43,True,True,True,True
sim_00044,44,True,True,both,1,44,True,True,True,True
sim_00045,45,True,True,both,1,45,True,True,True,True
sim_00046,46,True,True,both,1,46,True,True,True,True
sim_00047,47,True,True,both,1,47,True,True,True,True
sim_00048,48,True,True,both,1,48,True,True,True,True
sim_00049,49,True,True,both,1,49,True,True,True,True
sim_00050,50,True,True,both,1,50,True,True,True,True
sim_00051,51,True,True,both,1,51,True,True,True,True
sim_00052,52,True,True,both,1,52,True,True,True,True
sim_00053,53,True,True,both,1,53,True,True,True,True
sim_00054,54,True,True,both,1,54,True,True,True,True
sim_00055,55,True,True,both,1,55,True,True,True,True
sim_00056,56,True,True,both,1,56,True,True,True,True
sim_00057,57,True,True,both,1,57,True,True,True,True
sim_00058,58,True,True,both,1,58,True,True,True,True
sim_00059,59,True,True,both,1,59,True,True,True,True
sim_00060,60,True,True,both,1,60,True,True,True,True
sim_00061,61,True,True,both,1,61,True,True,True,True
sim_00062,62,True,True,both,1,62,True,True,True,True
sim_00063,63,True,True,both,1,63,True,True,True,True
sim_00064,64,True,True,both,1,64,True,True,True,True
sim_00065,65,True,True,both,1,65,True,True,True,True
sim_00066,66,True,True,both,1,66,True,True,True,True
sim_00067,67,True,True,both,1,67,True,True,True,True
sim_00068,68,True,True,both,1,68,True,True,True,True
sim_00069,69,True,True,both,1,69,True,True,True,True
sim_00070,70,True,True,both,1,70,True,True,True,True
sim_00071,71,True,True,both,1,71,True,True,True,True
sim_00072,72,True,True,both,1,72,True,True,True,True
sim_00073,73,True,True,both,1,73,True,True,True,True
sim_00074,74,True,True,both,1,74,True,True,True,True
sim_00075,75,True,True,both,1,75,True,True,True,True
sim_00076,76,True,True,both,1,76,True,True,True,True
sim_00077,77,True,True,both,1,77,True,True,True,True
sim_00078,78,True,True,both,1,78,True,True,True,True
sim_00079,79,True,True,both,1,79,True,True,True,True
sim_00080,80,True,True,both,1,80,True,True,True,True
sim_00081,81,True,True,both,1,81,True,True,True,True
sim_00082,82,True,True,both,1,82,True,True,True,True
sim_00083,83,True,True,both,1,83,True,True,True,True
sim_00084,84,True,True,both,1,84,True,True,True,True
sim_00085,85,True,True,both,1,85,True,True,True,True
sim_00086,86,True,True,both,1,86,True,True,True,True
sim_00087,87,True,True,both,1,87,True,True,True,True
sim_00088,88,True,True,both,1,88,True,True,True,True
sim_00089,89,True,True,both,1,89,True,True,True,True
sim_00090,90,True,True,both,1,90,True,True,True,True
sim_00091,91,True,True,both,1,91,True,True,True,True
sim_00092,92,True,True,both,1,92,True,True,True,True
sim_00093,93,True,True,both,1,93,True,True,True,True
sim_00094,94,True,True,both,1,94,True,True,True,True
sim_00095,95,True,True,both,1,95,True,True,True,True
sim_00096,96,True,True,both,1,96,True,True,True,True
sim_00097,97,True,True,both,1,97,True,True,True,True
sim_00098,98,True,True,both,1,98,True,True,True,True
sim_00099,99,True,True,both,1,99,True,True,True,True
sim_00100,100,True,True,both,1,100,True,True,True,True
sim_00101,101,True,True,both,1,101,True,True,True,True
sim_00102,102,True,True,both,1,102,True,True,True,True
sim_00103,103,True,True,both,1,103,True,True,True,True
sim_00104,104,True,True,both,1,104,True,True,True,True
sim_00105,105,True,True,both,1,105,True,True,True,True
sim_00106,106,True,True,both,1,106,True,True,True,True
sim_00107,107,True,True,both,1,107,True,True,True,True
sim_00108,108,True,True,both,1,108,True,True,True,True
sim_00109,109,True,True,both,1,109,True,True,True,True
sim_00110,110,True,True,both,1,110,True,True,True,True
sim_00111,111,True,True,both,1,111,True,True,True,True
sim_00112,112,True,True,both,1,112,True,True,True,True
sim_00113,113,True,True,both,1,113,True,True,True,True
sim_00114,114,True,True,both,1,114,True,True,True,True
sim_00115,115,True,True,both,1,115,True,True,True,True
sim_00116,116,True,True,both,1,116,True,True,True,True
sim_00117,117,True,True,both,1,117,True,True,True,True
sim_00118,118,True,True,both,1,118,True,True,True,True
sim_00119,119,True,True,both,1,119,True,True,True,True
sim_00120,120,True,True,both,1,120,True,True,True,True
sim_00121,121,True,True,both,1,121,True,True,True,True
sim_00122,122,True,True,both,1,122,True,True,True,True
sim_00123,123,True,True,both,1,123,True,True,True,True
sim_00124,124,True,True,both,1,124,True,True,True,True
sim_00125,125,True,True,both,1,125,True,True,True,True
sim_00126,126,True,True,both,1,126,True,True,True,True
sim_00127,127,True,True,both,1,127,True,True,True,True
sim_00128,128,True,True,both,1,128,True,True,True,True
sim_00129,129,True,True,both,1,129,True,True,True,True
sim_00130,130,True,True,both,1,130,True,True,True,True
sim_00131,131,True,True,both,1,131,True,True,True,True
sim_00132,132,True,True,both,1,132,True,True,True,True
sim_00133,133,True,True,both,1,133,True,True,True,True
sim_00134,134,True,True,both,1,134,True,True,True,True
sim_00135,135,True,True,both,1,135,True,True,True,True
sim_00137,137,True,True,both,1,137,True,True,True,True
sim_00138,138,True,True,both,1,138,True,True,True,True
sim_00139,139,True,True,both,1,139,True,True,True,True
sim_00140,140,True,True,both,1,140,True,True,True,True
sim_00141,141,True,True,both,1,141,True,True,True,True
sim_00142,142,True,True,both,1,142,True,True,True,True
sim_00143,143,True,True,both,1,143,True,True,True,True
sim_00144,144,True,True,both,1,144,True,True,True,True
sim_00145,145,True,True,both,1,145,True,True,True,True
sim_00146,146,True,True,both,1,146,True,True,True,True
sim_00147,147,True,True,both,1,147,True,True,True,True
sim_00148,148,True,True,both,1,148,True,True,True,True
sim_00149,149,True,True,both,1,149,True,True,True,True
sim_00150,150,True,True,both,1,150,True,True,True,True
sim_00151,151,True,True,both,1,151,True,True,True,True
sim_00152,152,True,True,both,1,152,True,True,True,True
sim_00153,153,True,True,both,1,153,True,True,True,True
sim_00154,154,True,True,both,1,154,True,True,True,True
sim_00155,155,True,True,both,1,155,True,True,True,True
sim_00156,156,True,True,both,1,156,True,True,True,True
sim_00157,157,True,True,both,1,157,True,True,True,True
sim_00158,158,True,True,both,1,158,True,True,True,True
sim_00159,159,True,True,both,1,159,True,True,True,True
sim_00160,160,True,True,both,1,160,True,True,True,True
sim_00161,161,True,True,both,1,161,True,True,True,True
sim_00162,162,True,True,both,1,162,True,True,True,True
sim_00163,163,True,True,both,1,163,True,True,True,True
sim_00164,164,True,True,both,1,164,True,True,True,True
sim_00165,165,True,True,both,1,165,True,True,True,True
sim_00166,166,True,True,both,1,166,True,True,True,True
sim_00167,167,True,True,both,1,167,True,True,True,True
sim_00168,168,True,True,both,1,168,True,True,True,True
sim_00169,169,True,True,both,1,169,True,True,True,True
sim_00170,170,True,True,both,1,170,True,True,True,True
sim_00171,171,True,True,both,1,171,True,True,True,True
sim_00172,172,True,True,both,1,172,True,True,True,True
sim_00173,173,True,True,both,1,173,True,True,True,True
sim_00174,174,True,True,both,1,174,True,True,True,True
sim_00175,175,True,True,both,1,175,True,True,True,True
sim_00176,176,True,True,both,1,176,True,True,True,True
sim_00177,177,True,True,both,1,177,True,True,True,True
sim_00178,178,True,True,both,1,178,True,True,True,True
sim_00179,179,True,True,both,1,179,True,True,True,True
sim_00180,180,True,True,both,1,180,True,True,True,True
sim_00181,181,True,True,both,1,181,True,True,True,True
sim_00182,182,True,True,both,1,182,True,True,True,True
sim_00183,183,True,True,both,1,183,True,True,True,True
sim_00184,184,True,True,both,1,184,True,True,True,True
sim_00185,185,True,True,both,1,185,True,True,True,True
sim_00186,186,True,True,both,1,186,True,True,True,True
sim_00187,187,True,True,both,1,187,True,True,True,True
sim_00188,188,True,True,both,1,188,True,True,True,True
sim_00189,189,True,True,both,1,189,True,True,True,True
sim_00190,190,True,True,both,1,190,True,True,True,True
sim_00191,191,True,True,both,1,191,True,True,True,True
sim_00192,192,True,True,both,1,192,True,True,True,True
sim_00193,193,True,True,both,1,193,True,True,True,True
sim_00194,194,True,True,both,1,194,True,True,True,True
sim_00195,195,True,True,both,1,195,True,True,True,True
sim_00196,196,True,True,both,1,196,True,True,True,True
sim_00197,197,True,True,both,1,197,True,True,True,True
sim_00198,198,True,True,both,1,198,True,True,True,True
sim_00199,199,True,True,both,1,199,True,True,True,True
sim_00200,200,True,True,both,1,200,True,True,True,True
sim_00201,201,True,True,both,1,201,True,True,True,True
sim_00202,202,True,True,both,1,202,True,True,True,True
sim_00203,203,True,True,both,1,203,True,True,True,True
sim_00204,204,True,True,both,1,204,True,True,True,True
sim_00205,205,True,True,both,1,205,True,True,True,True
sim_00206,206,True,True,both,1,206,True,True,True,True
sim_00207,207,True,True,both,1,207,True,True,True,True
sim_00208,208,True,True,both,1,208,True,True,True,True
sim_00209,209,True,True,both,1,209,True,True,True,True
sim_00210,210,True,True,both,1,210,True,True,True,True
sim_00211,211,True,True,both,1,211,True,True,True,True
sim_00212,212,True,True,both,1,212,True,True,True,True
sim_00213,213,True,True,both,1,213,True,True,True,True
sim_00214,214,True,True,both,1,214,True,True,True,True
sim_00215,215,True,True,both,1,215,True,True,True,True
sim_00216,216,True,True,both,1,216,True,True,True,True
sim_00217,217,True,True,both,1,217,True,True,True,True
sim_00218,218,True,True,both,1,218,True,True,True,True
sim_00219,219,True,True,both,1,219,True,True,True,True
sim_00220,220,True,True,both,1,220,True,True,True,True
sim_00221,221,True,True,both,1,221,True,True,True,True
sim_00222,222,True,True,both,1,222,True,True,True,True
sim_00223,223,True,True,both,1,223,True,True,True,True
sim_00224,224,True,True,both,1,224,True,True,True,True
sim_00225,225,True,True,both,1,225,True,True,True,True
sim_00226,226,True,True,both,1,226,True,True,True,True
sim_00227,227,True,True,both,1,227,True,True,True,True
sim_00228,228,True,True,both,1,228,True,True,True,True
sim_00229,229,True,True,both,1,229,True,True,True,True
sim_00230,230,True,True,both,1,230,True,True,True,True
sim_00231,231,True,True,both,1,231,True,True,True,True
sim_00232,232,True,True,both,1,232,True,True,True,True
sim_00233,233,True,True,both,1,233,True,True,True,True
sim_00234,234,True,True,both,1,234,True,True,True,True
sim_00235,235,True,True,both,1,235,True,True,True,True
sim_00236,236,True,True,both,1,236,True,True,True,True
sim_00237,237,True,True,both,1,237,True,True,True,True
sim_00238,238,True,True,both,1,238,True,True,True,True
sim_00239,239,True,True,both,1,239,True,True,True,True
sim_00240,240,True,True,both,1,240,True,True,True,True
sim_00241,241,True,True,both,1,241,True,True,True,True
sim_00242,242,True,True,both,1,242,True,True,True,True
