simulation_id,numeric_simulation_id,bounds_relative_path,time_relative_path,iteration_relative_path,bounds_blob_oid,time_blob_oid,iteration_blob_oid,bounds_size_bytes,time_size_bytes,iteration_size_bytes,row_count,valid_row_count,sentinel_row_count,row_alignment_passed,ordered_bounds_passed,time_monotonic_passed,iteration_monotonic_passed
sim_00001,1,final_data_processed/sim_00001/monitor/position-bounds_melt.dat,final_data_processed/sim_00001/monitor/time.dat,final_data_processed/sim_00001/monitor/iter.dat,846376d0ea6c0fd714519f8db79402446c837058,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5518858,894348,401666,68796,68685,111,True,True,True,True
sim_00002,2,final_data_processed/sim_00002/monitor/position-bounds_melt.dat,final_data_processed/sim_00002/monitor/time.dat,final_data_processed/sim_00002/monitor/iter.dat,2a54ffd56f2105c7107d619c12dee090f551c8d1,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9274681,1502800,698090,115600,78809,36791,True,True,True,True
sim_00003,3,final_data_processed/sim_00003/monitor/position-bounds_melt.dat,final_data_processed/sim_00003/monitor/time.dat,final_data_processed/sim_00003/monitor/iter.dat,840554ff20f8e1e7b954c307c8e0e569feb90024,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5518944,894348,401666,68796,53638,15158,True,True,True,True
sim_00004,4,final_data_processed/sim_00004/monitor/position-bounds_melt.dat,final_data_processed/sim_00004/monitor/time.dat,final_data_processed/sim_00004/monitor/iter.dat,69fd7a3626c286cb278972971fc96f1a14dda360,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9277290,1502800,698090,115600,86427,29173,True,True,True,True
sim_00005,5,final_data_processed/sim_00005/monitor/position-bounds_melt.dat,final_data_processed/sim_00005/monitor/time.dat,final_data_processed/sim_00005/monitor/iter.dat,347ebf7b312f0429faea52a73b2f1ac8786d1429,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5538031,894348,401666,68796,68695,101,True,True,True,True
sim_00006,6,final_data_processed/sim_00006/monitor/position-bounds_melt.dat,final_data_processed/sim_00006/monitor/time.dat,final_data_processed/sim_00006/monitor/iter.dat,4309e91b511767448061f6e540c4c85469bd2eff,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9271950,1502800,698090,115600,84822,30778,True,True,True,True
sim_00007,7,final_data_processed/sim_00007/monitor/position-bounds_melt.dat,final_data_processed/sim_00007/monitor/time.dat,final_data_processed/sim_00007/monitor/iter.dat,5c61f7458b966a0eac200b62b535ad45a0f62018,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9281866,1502800,698090,115600,81836,33764,True,True,True,True
sim_00008,8,final_data_processed/sim_00008/monitor/position-bounds_melt.dat,final_data_processed/sim_00008/monitor/time.dat,final_data_processed/sim_00008/monitor/iter.dat,ce2c815e17842468339190e6ec6cccd5f92a9535,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9260884,1502800,698090,115600,99324,16276,True,True,True,True
sim_00009,9,final_data_processed/sim_00009/monitor/position-bounds_melt.dat,final_data_processed/sim_00009/monitor/time.dat,final_data_processed/sim_00009/monitor/iter.dat,775466cd9880b9495e0f5a4b6896a213e372cbae,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5521733,894348,401666,68796,50863,17933,True,True,True,True
sim_00010,10,final_data_processed/sim_00010/monitor/position-bounds_melt.dat,final_data_processed/sim_00010/monitor/time.dat,final_data_processed/sim_00010/monitor/iter.dat,13582a47d4e3fa5f791b581c8591ace577e209b9,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5520588,894348,401666,68796,52004,16792,True,True,True,True
sim_00011,11,final_data_processed/sim_00011/monitor/position-bounds_melt.dat,final_data_processed/sim_00011/monitor/time.dat,final_data_processed/sim_00011/monitor/iter.dat,8ae3cf1573f18c98b6321db69e09d7343713cec2,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9287003,1502800,698090,115600,76273,39327,True,True,True,True
sim_00012,12,final_data_processed/sim_00012/monitor/position-bounds_melt.dat,final_data_processed/sim_00012/monitor/time.dat,final_data_processed/sim_00012/monitor/iter.dat,b73bf85dd0d183cba8628b01bfb4c7edff4ea89e,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9270426,1502800,698090,115600,93297,22303,True,True,True,True
sim_00013,13,final_data_processed/sim_00013/monitor/position-bounds_melt.dat,final_data_processed/sim_00013/monitor/time.dat,final_data_processed/sim_00013/monitor/iter.dat,832c87956756d495bd2f87d1b9a7342bfe99ee98,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9266949,1502800,698090,115600,100316,15284,True,True,True,True
sim_00014,14,final_data_processed/sim_00014/monitor/position-bounds_melt.dat,final_data_processed/sim_00014/monitor/time.dat,final_data_processed/sim_00014/monitor/iter.dat,4052bf14ff91a7ffbc3da9aff703707c41dda532,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9287496,1502800,698090,115600,76235,39365,True,True,True,True
sim_00015,15,final_data_processed/sim_00015/monitor/position-bounds_melt.dat,final_data_processed/sim_00015/monitor/time.dat,final_data_processed/sim_00015/monitor/iter.dat,2130ef9d75a629e89e960cf0a8a16a3798352d0a,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9266007,1502800,698090,115600,97713,17887,True,True,True,True
sim_00016,16,final_data_processed/sim_00016/monitor/position-bounds_melt.dat,final_data_processed/sim_00016/monitor/time.dat,final_data_processed/sim_00016/monitor/iter.dat,7f9404e6ffaf158cde7617d1c61caa4bd016927a,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9278906,1502800,698090,115600,84827,30773,True,True,True,True
sim_00017,17,final_data_processed/sim_00017/monitor/position-bounds_melt.dat,final_data_processed/sim_00017/monitor/time.dat,final_data_processed/sim_00017/monitor/iter.dat,0ad2c98cdd8551c3c51377cd12b73a3b6b9bfdfb,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5515126,894348,401666,68796,68708,88,True,True,True,True
sim_00018,18,final_data_processed/sim_00018/monitor/position-bounds_melt.dat,final_data_processed/sim_00018/monitor/time.dat,final_data_processed/sim_00018/monitor/iter.dat,9f17d7782ae8590457f2a3abf50ad1bcbfc9b4a8,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9282887,1502800,698090,115600,80593,35007,True,True,True,True
sim_00019,19,final_data_processed/sim_00019/monitor/position-bounds_melt.dat,final_data_processed/sim_00019/monitor/time.dat,final_data_processed/sim_00019/monitor/iter.dat,f186ed10f920179c1c540c95748781830f91031f,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9270826,1502800,698090,115600,92898,22702,True,True,True,True
sim_00020,20,final_data_processed/sim_00020/monitor/position-bounds_melt.dat,final_data_processed/sim_00020/monitor/time.dat,final_data_processed/sim_00020/monitor/iter.dat,cb667238d037d73142f93df7d0c88d5dee2df7cd,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9275320,1502800,698090,115600,82053,33547,True,True,True,True
sim_00021,21,final_data_processed/sim_00021/monitor/position-bounds_melt.dat,final_data_processed/sim_00021/monitor/time.dat,final_data_processed/sim_00021/monitor/iter.dat,93a1870a7dd0744ccbc96745b734f7a5d8fe8940,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5547125,894348,401666,68796,68711,85,True,True,True,True
sim_00022,22,final_data_processed/sim_00022/monitor/position-bounds_melt.dat,final_data_processed/sim_00022/monitor/time.dat,final_data_processed/sim_00022/monitor/iter.dat,b0500d93387cec77f40dd26cd3986217ffd50056,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9272064,1502800,698090,115600,91636,23964,True,True,True,True
sim_00023,23,final_data_processed/sim_00023/monitor/position-bounds_melt.dat,final_data_processed/sim_00023/monitor/time.dat,final_data_processed/sim_00023/monitor/iter.dat,3a839423a7445bf0c843982947c8d7f55e5a247e,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9252232,1502800,698090,115600,102959,12641,True,True,True,True
sim_00024,24,final_data_processed/sim_00024/monitor/position-bounds_melt.dat,final_data_processed/sim_00024/monitor/time.dat,final_data_processed/sim_00024/monitor/iter.dat,049fad5a432d6596d8c44a9fac68a7e1edc0e10d,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5516593,894348,401666,68796,68716,80,True,True,True,True
sim_00025,25,final_data_processed/sim_00025/monitor/position-bounds_melt.dat,final_data_processed/sim_00025/monitor/time.dat,final_data_processed/sim_00025/monitor/iter.dat,88c47f75b6b7d875fbcc255c4d6e20e026c5086d,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9268305,1502800,698090,115600,89295,26305,True,True,True,True
sim_00026,26,final_data_processed/sim_00026/monitor/position-bounds_melt.dat,final_data_processed/sim_00026/monitor/time.dat,final_data_processed/sim_00026/monitor/iter.dat,c55de426f3d705dff5445b00de78d1b6f68276ee,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5518591,894348,401666,68796,68717,79,True,True,True,True
sim_00027,27,final_data_processed/sim_00027/monitor/position-bounds_melt.dat,final_data_processed/sim_00027/monitor/time.dat,final_data_processed/sim_00027/monitor/iter.dat,3541082407213e30d768472c89ee60f2de560b15,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5514982,894348,401666,68796,68717,79,True,True,True,True
sim_00028,28,final_data_processed/sim_00028/monitor/position-bounds_melt.dat,final_data_processed/sim_00028/monitor/time.dat,final_data_processed/sim_00028/monitor/iter.dat,7bb9547d65f3a67b640cfc8fa4255a7579a19c0a,0229496c1e473d714d2329877cfb90ea07384d93,e4db62b645d6870dd59d758b5ac287688df9f9ad,9262698,1502800,698090,115600,101224,14376,True,True,True,True
sim_00029,29,final_data_processed/sim_00029/monitor/position-bounds_melt.dat,final_data_processed/sim_00029/monitor/time.dat,final_data_processed/sim_00029/monitor/iter.dat,2ba810ba71ae0534dfbbe12a98ffe98fec41e565,ec3fcb6890d1a8a4f7521a79524c9acd02fcb3a4,adc76b8421abc68ded0919f3afab55db9f19eefd,5534812,894348,401666,68796,68718,78,True,True,True,True
