relative_path,size_bytes,tree_size_bytes,size_matches_tree,download_reason,huggingface_revision
final_data_processed/sim_00001/experiment_details.json,4074,4074,True,"Per-simulation process inputs, configuration, provenance, or frame index.",0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames.csv,37395,37395,True,"Per-simulation process inputs, configuration, provenance, or frame index.",0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/front/frame_00001.png,1069,1069,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/front/frame_00175.png,1844,1844,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/front/frame_00315.png,1829,1829,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/front/frame_00351.png,1830,1830,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/side/frame_00001.png,1323,1323,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/side/frame_00175.png,3118,3118,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/side/frame_00315.png,3446,3446,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/side/frame_00351.png,3442,3442,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/top/frame_00001.png,3678,3678,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/top/frame_00175.png,11212,11212,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/top/frame_00315.png,10927,10927,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/frames/top/frame_00351.png,12056,12056,True,Limited multi-view frame sample across the complete corrected population.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/labeling_provenance.json,952,952,True,"Per-simulation process inputs, configuration, provenance, or frame index.",0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/metadata.json,283,283,True,"Per-simulation process inputs, configuration, provenance, or frame index.",0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/average-temperature_gas.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/average-temperature_melt.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/average-temperature_substrate.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/dt.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/iter.dat,401666,401666,True,"Complete-population bounds, time, and iteration parsing with row alignment.",0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/kinetic-energy_gas.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/kinetic-energy_melt.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-temperature_gas.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-temperature_melt.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-temperature_substrate.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-thermal-conductivity_gas.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-thermal-conductivity_melt.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-thermal-conductivity_substrate.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-velocity_gas.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-velocity_melt.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-viscosity_gas.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/maximum-viscosity_melt.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
final_data_processed/sim_00001/monitor/minimum-heat-capacity_gas.dat,894348,894348,True,All monitor types for the 13-simulation schema sample spanning IDs and process-parameter extremes.,0e859b748fdbc8454f66e58e101e333ac0479d42
