simulation_id,numeric_simulation_id,file_name,relative_path,delimiter,header_present,row_count,column_count,first_row,last_row,missing_value_count,non_finite_value_count,sentinel_value_count,constant_column_indices,aligns_with_time_dat,aligns_with_iter_dat,time_strictly_increasing,time_duplicate_count,iteration_strictly_increasing,iteration_duplicate_count,embedded_timestep_column,schema_consistent_across_audited_simulations
sim_00001,1,average-temperature_gas.dat,final_data_processed/sim_00001/monitor/average-temperature_gas.dat,whitespace,False,68796,1,[300.0],[476.5099],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00117,117,average-temperature_gas.dat,final_data_processed/sim_00117/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[469.3792],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00118,118,average-temperature_gas.dat,final_data_processed/sim_00118/monitor/average-temperature_gas.dat,whitespace,False,68796,1,[300.0],[613.6447],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00121,121,average-temperature_gas.dat,final_data_processed/sim_00121/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[450.789],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00142,142,average-temperature_gas.dat,final_data_processed/sim_00142/monitor/average-temperature_gas.dat,whitespace,False,68796,1,[300.0],[624.882],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00143,143,average-temperature_gas.dat,final_data_processed/sim_00143/monitor/average-temperature_gas.dat,whitespace,False,68796,1,[300.0],[417.2825],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00152,152,average-temperature_gas.dat,final_data_processed/sim_00152/monitor/average-temperature_gas.dat,whitespace,False,68796,1,[300.0],[429.186],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00201,201,average-temperature_gas.dat,final_data_processed/sim_00201/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[430.4641],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00224,224,average-temperature_gas.dat,final_data_processed/sim_00224/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[659.1091],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00231,231,average-temperature_gas.dat,final_data_processed/sim_00231/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[451.9005],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00236,236,average-temperature_gas.dat,final_data_processed/sim_00236/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[561.0134],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00241,241,average-temperature_gas.dat,final_data_processed/sim_00241/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[413.8887],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00242,242,average-temperature_gas.dat,final_data_processed/sim_00242/monitor/average-temperature_gas.dat,whitespace,False,115600,1,[300.0],[397.3134],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00001,1,average-temperature_melt.dat,final_data_processed/sim_00001/monitor/average-temperature_melt.dat,whitespace,False,68796,1,[0.0],[2234.296],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00117,117,average-temperature_melt.dat,final_data_processed/sim_00117/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[0.0],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00118,118,average-temperature_melt.dat,final_data_processed/sim_00118/monitor/average-temperature_melt.dat,whitespace,False,68796,1,[0.0],[2216.616],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00121,121,average-temperature_melt.dat,final_data_processed/sim_00121/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[0.0],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00142,142,average-temperature_melt.dat,final_data_processed/sim_00142/monitor/average-temperature_melt.dat,whitespace,False,68796,1,[0.0],[2145.253],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00143,143,average-temperature_melt.dat,final_data_processed/sim_00143/monitor/average-temperature_melt.dat,whitespace,False,68796,1,[0.0],[2259.093],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00152,152,average-temperature_melt.dat,final_data_processed/sim_00152/monitor/average-temperature_melt.dat,whitespace,False,68796,1,[0.0],[2298.16],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00201,201,average-temperature_melt.dat,final_data_processed/sim_00201/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[0.0],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00224,224,average-temperature_melt.dat,final_data_processed/sim_00224/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[2118.588],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00231,231,average-temperature_melt.dat,final_data_processed/sim_00231/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[0.0],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00236,236,average-temperature_melt.dat,final_data_processed/sim_00236/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[2278.873],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00241,241,average-temperature_melt.dat,final_data_processed/sim_00241/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[0.0],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00242,242,average-temperature_melt.dat,final_data_processed/sim_00242/monitor/average-temperature_melt.dat,whitespace,False,115600,1,[0.0],[0.0],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00001,1,average-temperature_substrate.dat,final_data_processed/sim_00001/monitor/average-temperature_substrate.dat,whitespace,False,68796,1,[300.0],[377.5078],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00117,117,average-temperature_substrate.dat,final_data_processed/sim_00117/monitor/average-temperature_substrate.dat,whitespace,False,115600,1,[313.9687],[458.4484],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00118,118,average-temperature_substrate.dat,final_data_processed/sim_00118/monitor/average-temperature_substrate.dat,whitespace,False,68796,1,[318.5906],[416.7626],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00121,121,average-temperature_substrate.dat,final_data_processed/sim_00121/monitor/average-temperature_substrate.dat,whitespace,False,115600,1,[329.3828],[440.8803],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
sim_00142,142,average-temperature_substrate.dat,final_data_processed/sim_00142/monitor/average-temperature_substrate.dat,whitespace,False,68796,1,[333.2695],[456.9858],0,0,0,[],True,True,True,0,True,0,none; row position aligns with time.dat and iter.dat,True
