simulation_id,numeric_simulation_id,response,candidate,value_m,available,window_observation_count,window_cv,absolute_relative_trend,relative_difference_from_selected,laser_exits_domain_before_recording_end
sim_00039,39,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.832933e-05,True,10403,0.007219287870433572,0.013939157034364363,0.0,False
sim_00040,40,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.684275e-05,True,12166,0.002035011752560631,0.003456477342899384,0.0,True
sim_00041,41,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.874863e-05,True,8339,0.02606270652571361,0.07301334159179085,0.0,False
sim_00042,42,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.650832e-05,True,11031,0.03623339860169143,0.11104754327691743,0.0,True
sim_00043,43,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.873507e-05,True,15211,0.0014325014380956837,0.001624893494281796,0.0,False
sim_00044,44,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.985055e-05,True,17887,0.05163734072222105,0.16764093871812513,0.0,False
sim_00045,45,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.335957e-05,True,19501,0.051398524744251814,0.16701306799502438,0.0,False
sim_00046,46,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.249203e-05,True,17415,0.00647700067224745,0.012957959034714053,0.0,False
sim_00047,47,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.6563704999999996e-05,True,10312,0.03567598836162725,0.10722572731581823,0.0,True
sim_00048,48,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.273913e-05,True,14186,0.0011597034367615206,0.0022834892336439662,0.0,False
sim_00049,49,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.444253e-05,True,13515,0.0031333691266973314,0.004801115349399287,0.0,False
sim_00050,50,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.475336e-05,True,19523,0.05945748623506024,0.20168694889339975,0.0,False
sim_00051,51,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.2751915e-05,True,15766,0.0008958278410330698,0.00044718696886408046,0.0,False
sim_00052,52,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.8800575e-05,True,11824,0.002982932942667301,0.0001348730727454766,0.0,True
sim_00053,53,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.239804e-05,True,10184,0.027605886162641365,0.06859983348664236,0.0,True
sim_00054,54,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.0221e-05,True,10647,0.02392441134006924,0.04407060376025705,0.0,False
sim_00055,55,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.222291e-05,True,17604,0.05400425310994595,0.18022144176693364,0.0,True
sim_00056,56,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.6782705e-05,True,11498,0.017627742274443293,0.03865856071614963,0.0,True
sim_00057,57,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.219154e-05,True,19262,0.056455913776245696,0.1888396213818124,0.0,False
sim_00058,58,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.1035355e-05,True,13444,0.052670815569341625,0.17507692277004627,0.0,True
sim_00059,59,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.602616e-05,True,19195,0.06537975225133288,0.22293706909913738,0.0,False
sim_00060,60,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.684559e-05,True,10591,0.004799173015646641,0.005507396602387764,0.0,True
sim_00061,61,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.267888e-05,True,10508,0.0016303920312688359,0.0005164423804772193,0.0,False
sim_00062,62,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.267582e-05,True,19255,0.023015122473991893,0.0619348857549691,0.0,False
sim_00063,63,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.681844e-05,True,10764,0.01763524362874214,0.039259718609326665,0.0,True
sim_00064,64,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.667379e-05,True,10235,0.0016642563370210578,0.002710424938543142,0.0,False
sim_00065,65,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.062764e-05,True,10893,0.03320449568193286,0.10113727132526368,0.0,True
sim_00066,66,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.236748e-05,True,19476,0.0430238050235307,0.1365210463217274,0.0,False
